STT,Lĩnh vực cấp chứng chỉ hành nghề,Lĩnh vực cấp chứng chỉ hành nghề,Chuyên môn,Chuyên môn
STT,Lĩnh vực cấp,Nội dung hành nghề,Chuyên ngành đào tạo theo văn bằng,Chuyên môn đào tạo phù hợp thể hiện tại bảng điểm hoặc phụ lục văn bằng trong trường hợp văn bằng không ghi rõ chuyên ngành đào tạo
1,Lĩnh vực khảo sát xây dựng,Lĩnh vực khảo sát xây dựng,Lĩnh vực khảo sát xây dựng,Lĩnh vực khảo sát xây dựng
1.1,Khảo sát địa hình,Khảo sát địa hình,"Chuyên ngành đào tạo về trắc địa, bản đồ hoặc các chuyên ngành kỹ thuật xây dựng có liên quan.","Có môn học về trắc địa, bản đồ."
1.2,Khảo sát địa chất công trình,Khảo sát địa chất công trình,"Chuyên ngành đào tạo về địa chất công trình, địa chất thủy văn hoặc các chuyên ngành kỹ thuật xây dựng có liên quan.","Có môn học về địa chất công trình, địa chất thủy văn."
2,Lĩnh vực lập quy hoạch đô thị và nông thôn,Lĩnh vực lập quy hoạch đô thị và nông thôn,Lĩnh vực lập quy hoạch đô thị và nông thôn,Lĩnh vực lập quy hoạch đô thị và nông thôn
,Lập quy hoạch đô thị và nông thôn,Lập quy hoạch đô thị và nông thôn,"Chuyên ngành đào tạo về kiến trúc (không bao gồm: thiết kế nội thất và kiến trúc nội thất, cảnh quan), quy hoạch xây dựng, giao thông, kỹ thuật điện, cấp nước, thoát nước và xử lý nước thải, tài nguyên nước và hạ tầng kỹ thuật đô thị, kinh tế đô thị.",
3,Lĩnh vực thiết kế xây dựng,Lĩnh vực thiết kế xây dựng,Lĩnh vực thiết kế xây dựng,Lĩnh vực thiết kế xây dựng
3.1,Thiết kế xây dựng công trình,Kết cấu công trình,"Chuyên ngành đào tạo về kết cấu công trình dân dụng, công nghiệp.","Có các môn học, đồ án môn học, đồ án tốt nghiệp về kết cấu công trình dân dụng và công nghiệp."
3.2,Thiết kế xây dựng công trình,Công trình Khai thác mỏ,Chuyên ngành đào tạo về công trình ngầm và mỏ.,"Có các môn học, đồ án môn học, đồ án tốt nghiệp về công trình ngầm và mỏ."
3.3,Thiết kế xây dựng công trình,Công trình Đường bộ,Chuyên ngành đào tạo về công trình giao thông đường bộ.,"Có các môn học, đồ án môn học, đồ án tốt nghiệp về công trình giao thông đường bộ."
3.4,Thiết kế xây dựng công trình,Công trình Đường sắt,Chuyên ngành đào tạo về công trình giao thông đường sắt.,"Có các môn học, đồ án môn học, đồ án tốt nghiệp về công trình giao thông đường sắt."
3.5,Thiết kế xây dựng công trình,Công trình Cầu - Hầm,"Chuyên ngành đào tạo về công trình giao thông cầu, hầm.","Có các môn học, đồ án môn học, đồ án tốt nghiệp về công trình giao thông cầu, hầm."
3.6,Thiết kế xây dựng công trình,Công trình Đường thủy nội địa - Hàng hải,"Chuyên ngành đào tạo về công trình giao thông đường thủy nội địa, cảng đường thủy, công trình trên sông, công trình cảng biển","Có các môn học, đồ án môn học, đồ án tốt nghiệp về công trình giao thông đường thủy nội địa, cảng đường thủy, công trình trên sông, công trình cảng biển."
3.7,Thiết kế xây dựng công trình,"Công trình Thủy lợi, đê điều","Chuyên ngành đào tạo về công trình thủy lợi, thủy điện, đê điều.","Có các môn học, đồ án môn học, đồ án tốt nghiệp về công trình thủy lợi, thủy điện, đê điều."
3.8,Thiết kế xây dựng công trình,Công trình Cấp nước - thoát nước,Chuyên ngành đào tạo về công trình cấp nước - thoát nước.,"Có các môn học, đồ án môn học, đồ án tốt nghiệp về công trình cấp nước - thoát nước."
3.9,Thiết kế xây dựng công trình,Công trình Xử lý chất thải rắn,Chuyên ngành đào tạo về kỹ thuật môi trường.,"Có các môn học, đồ án môn học, đồ án tốt nghiệp về kỹ thuật môi trường."
3.10,Thiết kế cơ - điện công trình,Hệ thống điện,Chuyên ngành đào tạo về kỹ thuật điện.,"Có các môn học, đồ án môn học, đồ án tốt nghiệp về kỹ thuật điện."
3.11,Thiết kế cơ - điện công trình,Hệ thống cấp - thoát nước công trình,"Chuyên ngành đào tạo về cấp nước, thoát nước trong công trình.","Có các môn học, đồ án môn học, đồ án tốt nghiệp về cấp nước, thoát nước trong công trình."
3.12,Thiết kế cơ - điện công trình,Hệ thống thông gió - cấp thoát nhiệt,"Chuyên ngành đào tạo về kỹ thuật thông gió - cấp thoát nhiệt, nhiệt lạnh, vi khí hậu.","Có các môn học, đồ án môn học, đồ án tốt nghiệp về kỹ thuật thông gió - cấp thoát nhiệt, nhiệt lạnh, vi khí hậu."
