STT,Lĩnh vực cấp chứng chỉ hành nghề,Lĩnh vực cấp chứng chỉ hành nghề,Phạm vi hoạt động xây dựng của chứng chỉ hành nghề,Phạm vi hoạt động xây dựng của chứng chỉ hành nghề,Phạm vi hoạt động xây dựng của chứng chỉ hành nghề
STT,Lĩnh vực cấp,Nội dung hành nghề,Hạng I,Hạng II,Hạng III
1,Lĩnh vực khảo sát xây dựng,Lĩnh vực khảo sát xây dựng,Lĩnh vực khảo sát xây dựng,Lĩnh vực khảo sát xây dựng,Lĩnh vực khảo sát xây dựng
1.1,Khảo sát địa hình,Khảo sát địa hình,"Được làm chủ nhiệm khảo sát địa hình, giám sát khảo sát địa hình tất cả các nhóm dự án, các cấp công trình","Được làm chủ nhiệm khảo sát địa hình, giám sát khảo sát địa hình các dự án từ nhóm B trở xuống, công trình từ cấp II trở xuống.","Được làm chủ nhiệm khảo sát địa hình, giám sát khảo sát địa hình dự án nhóm C, công trình từ cấp III trở xuống."
1.2,Khảo sát địa chất công trình,Khảo sát địa chất công trình,"Được làm chủ nhiệm khảo sát địa chất, giám sát khảo sát địa chất tất cả các cấp công trình.","Được làm chủ nhiệm khảo sát địa chất, giám sát khảo sát địa chất công trình từ cấp II trở xuống.","Được làm chủ nhiệm khảo sát địa chất, giám sát khảo sát địa chất công trình từ cấp III trở xuống."
2,Lĩnh vực lập quy hoạch đô thị và nông thôn,Lĩnh vực lập quy hoạch đô thị và nông thôn,Lĩnh vực lập quy hoạch đô thị và nông thôn,Lĩnh vực lập quy hoạch đô thị và nông thôn,Lĩnh vực lập quy hoạch đô thị và nông thôn
,Lập quy hoạch đô thị và nông thôn,Lập quy hoạch đô thị và nông thôn,Được làm chủ nhiệm lập nhiệm vụ quy hoạch; chủ nhiệm lập quy hoạch; chủ trì lĩnh vực chuyên môn lập quy hoạch đô thị và nông thôn của tất cả các quy hoạch đô thị và nông thôn,"Được làm chủ nhiệm lập nhiệm vụ quy hoạch; chủ nhiệm lập quy hoạch; chủ trì lĩnh vực chuyên môn lập quy hoạch đô thị và nông thôn thuộc thẩm quyền phê duyệt của Ủy ban nhân dân cấp tỉnh, Ủy ban nhân dân cấp xã.",Được làm chủ nhiệm lập nhiệm vụ quy hoạch; chủ nhiệm lập quy hoạch; chủ trì lĩnh vực chuyên môn lập quy hoạch đô thị và nông thôn thuộc thẩm quyền phê duyệt của Ủy ban nhân dân cấp xã.
3,Thiết kế xây dựng,Thiết kế xây dựng,Thiết kế xây dựng,Thiết kế xây dựng,Thiết kế xây dựng
3.1,Thiết kế xây dựng công trình,Kết cấu công trình,"- Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - kết cấu công trình của tất cả các công trình trừ công trình khai thác mỏ, đường bộ, đường sắt, cầu - hầm, đường thủy nội địa - hàng hải, thủy lợi, đê điều, công trình cấp nước - thoát nước, công trình xử lý chất thải rắn. - Được làm chủ nhiệm các công trình tuyến đầu mối chắn nước, tuyến năng lượng của các dự án thủy điện.","- Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - kết cấu công trình của các công trình từ cấp II trở xuống trừ công trình khai thác mỏ, đường bộ, đường sắt, cầu -hầm, đường thủy nội địa - hàng hải, thủy lợi, đê điều, công trình cấp nước - thoát nước, công trình xử lý chất thải rắn. - Được làm chủ nhiệm các công trình tuyến đầu mối chắn nước, tuyến năng lượng của dự án thủy điện từ cấp II trở xuống.","- Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - kết cấu công trình của các công trình từ cấp III trở xuống trừ công trình khai thác mỏ, đường bộ, đường sắt, cầu - hầm, đường thủy nội địa - hàng hải, thủy lợi, đê điều, công trình cấp nước - thoát nước, công trình xử lý chất thải rắn. - Được làm chủ nhiệm các công trình tuyến đầu mối chắn nước, tuyến năng lượng của dự án thủy điện từ cấp III trở xuống."
3.2,Thiết kế xây dựng công trình,Công trình Khai thác mỏ,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình khai thác mỏ và các công trình tương tự tất cả các cấp công trình.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình khai thác mỏ và các công trình tương tự từ cấp II trở xuống.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình khai thác mỏ và các công trình tương tự từ cấp III trở xuống."
3.3,Thiết kế xây dựng công trình,Công trình Đường bộ,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường bộ, đường cất, hạ cánh, đường lăn, sân đỗ tàu bay và các công trình có kết cấu tương tự tất cả các cấp công trình; chủ trì lĩnh vực chuyên môn tất cả các quy hoạch đô thị và nông thôn.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường bộ, đường cất, hạ cánh, đường lăn, sân đỗ tàu bay và các công trình có kết cấu tương tự từ cấp II trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh, Ủy ban nhân dân cấp xã phê duyệt.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường bộ, đường cất, hạ cánh, đường lăn, sân đỗ tàu bay và các công trình có kết cấu tương tự từ cấp III trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp xã phê duyệt."
3.4,Thiết kế xây dựng công trình,Công trình Đường sắt,"Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường sắt và các công trình có kết cấu tương tự tất cả các cấp công trình; chủ trì lĩnh vực chuyên môn tất cả các quy hoạch đô thị và nông thôn.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường sắt và các công trình có kết cấu tương tự từ cấp II trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp tỉnh, Ủy ban nhân dân cấp xã phê duyệt.","Được làm chủ nhiệm thiết kế xây dựng; chủ trì thiết kế, thẩm tra thiết kế xây dựng công trình/hạng mục công trình - công trình đường sắt và các công trình có kết cấu tương tự từ cấp III trở xuống; chủ trì lĩnh vực chuyên môn các quy hoạch đô thị và nông thôn thuộc thẩm quyền của Ủy ban nhân dân cấp xã phê duyệt."
