Mã số,Loại công trình,Loại công trình,Cấp công trình
I,CÔNG TRÌNH DÂN DỤNG,CÔNG TRÌNH DÂN DỤNG,
I.1,Nhà ở,"Các tòa nhà chung cư, nhà ở tập thể khác",Cấp II trở lên
I.2,Công trình công cộng,,
I.2.1,"Công trình giáo dục, đào tạo, nghiên cứu",,Cấp II trở lên
I.2.2,Công trình y tế,,Cấp II trở lên
I.2.3,Công trình thể thao,Sân vận động; nhà thi đấu (các môn thể thao); bể bơi; sân thi đấu các môn thể thao có khán đài,Cấp II trở lên
I.2.4,Công trình văn hóa,"Trung tâm hội nghị, nhà hát, nhà văn hóa, câu lạc bộ, rạp chiếu phim, rạp xiếc, vũ trường; công trình di tích; công trình tu bổ, bảo quản, phục hồi di tích; bảo tàng, thư viện, triển lãm, nhà trưng bày; tượng đài ngoài trời; công trình vui chơi giải trí; công trình văn hóa tập trung đông người và các công trình khác có chức năng tương đương",Cấp II trở lên
I.2.5,Công trình thương mại,"Trung tâm thương mại, siêu thị",Cấp II trở lên
I.2.5,Công trình thương mại,"Nhà hàng, cửa hàng ăn uống, giải khát và các cơ sở tương tự",Cấp II trở lên
I.2.6,Công trình dịch vụ,"Khách sạn, nhà khách, nhà nghỉ; khu nghỉ dưỡng; biệt thự lưu trú; căn hộ lưu trú và các cơ sở tương tự; bưu điện, bưu cục, cơ sở cung cấp dịch vụ bưu chính, viễn thông khác",Cấp II trở lên
I.2.7,"Công trình trụ sở, văn phòng làm việc","Các tòa nhà sử dụng làm trụ sở, văn phòng làm việc",Cấp II trở lên
I.2.8,Các công trình đa năng hoặc hỗn hợp,"Các tòa nhà, kết cấu khác sử dụng đa năng hoặc hỗn hợp khác",Cấp II trở lên
I.2.9,Công trình phục vụ dân sinh khác,Các tòa nhà hoặc kết cấu khác được xây dựng phục vụ dân sinh,Cấp II trở lên
II,CÔNG TRÌNH CÔNG NGHIỆP,CÔNG TRÌNH CÔNG NGHIỆP,CÔNG TRÌNH CÔNG NGHIỆP
II.1,"Công trình sản xuất vật liệu, sản phẩm xây dựng",,Cấp II trở lên
II.2,Công trình luyện kim và cơ khí chế tạo,,Cấp II trở lên
II.3,Công trình khai thác mỏ và chế biến khoáng sản,,Cấp II trở lên
II.4,Công trình dầu khí,,Cấp II trở lên
II.5,Công trình năng lượng,,Cấp II trở lên
II.6,Công trình hóa chất,,Cấp II trở lên
II.7,Công trình công nghiệp nhẹ,,Cấp II trở lên
III,CÔNG TRÌNH HẠ TẦNG KỸ THUẬT,CÔNG TRÌNH HẠ TẦNG KỸ THUẬT,CÔNG TRÌNH HẠ TẦNG KỸ THUẬT
III.1,Công trình cấp nước,,Cấp II trở lên
III.2,Công trình thoát nước,,Cấp II trở lên
III.3,Công trình xử lý chất thải rắn,,Cấp II trở lên
III.4,Công trình hạ tầng kỹ thuật viễn thông thụ động,"Nhà, trạm viễn thông, cột ăng ten, cột treo cáp",Cấp II trở lên
III.5,Nhà tang lễ; cơ sở hỏa táng,,Cấp II trở lên
III.6,"Nhà để xe (ngầm và nổi) Cống, bể, hào, hầm tuy nen kỹ thuật",,Cấp II trở lên
IV,CÔNG TRÌNH GIAO THÔNG,CÔNG TRÌNH GIAO THÔNG,CÔNG TRÌNH GIAO THÔNG
IV.1,Đường bộ,Đường ô tô cao tốc,Mọi cấp
IV.1,Đường bộ,"Đường ô tô, đường trong đô thị",Cấp II trở lên
IV.1,Đường bộ,Bến phà,Cấp II trở lên
IV.1,Đường bộ,Bến xe; cơ sở đăng kiểm phương tiện giao thông đường bộ; trạm thu phí; trạm dừng nghỉ,Cấp II trở lên
IV.1,Đường sắt,"Đường sắt quốc gia; đường sắt địa phương (bao gồm đường sắt đô thị: đường sắt trên cao, đường tàu điện ngầm/Metro); đường sắt chuyên dùng.",Mọi cấp
IV.1,Đường sắt,"Ga hành khách, ga hàng hóa, ga kỹ thuật và ga hỗn hợp; khu tập kết bảo dưỡng, sửa chữa tàu (đề-pô)",Cấp II trở lên
IV.1,Cầu,"Cầu đường bộ, cầu bộ hành, cầu đường sắt, cầu phao",Cấp II trở lên
IV.1,Hầm,"Hầm đường ô tô, hầm đường sắt, hầm cho người đi bộ",Cấp II trở lên
IV.1,Hầm,Hầm tàu điện ngầm (Metro),Mọi cấp
IV.2,Công trình đường thủy nội địa,"Cảng, bến thủy nội địa (cho hành khách)",Cấp II trở lên
