STT,Loại kết cấu,Tiêu chí phân cấp,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình,Cấp công trình
STT,Loại kết cấu,Tiêu chí phân cấp,Đặc biệt,I,II,III,IV
2.1,"2.1.1 Nhà, Kết cấu dạng nhà Cấp công trình của nhà ở riêng lẻ, nhà ở riêng lẻ kết hợp các mục đích dân dụng khác được xác định theo quy mô kết cấu quy định tại mục này. Nhà ở biệt thự không thấp hơn cấp III. 2.1.2 Công trình nhiều tầng có sàn (không bao gồm kết cấu mục 2.2) 2.1.3 Kết cấu nhịp lớn dạng khung (không bao gồm kết cấu mục 2.3 và 2.5) Ví dụ: Cổng chào, nhà cầu, cầu băng tải, khung treo biển báo giao thông, kết cấu tại các trạm thu phí trên các tuyến giao thông và các kết cấu nhịp lớn tương tự khác.",a) Chiều cao (m),>H*,>75 ÷ H*,>28 ÷ 75,>6 ÷ 28,≤6
2.1,"2.1.1 Nhà, Kết cấu dạng nhà Cấp công trình của nhà ở riêng lẻ, nhà ở riêng lẻ kết hợp các mục đích dân dụng khác được xác định theo quy mô kết cấu quy định tại mục này. Nhà ở biệt thự không thấp hơn cấp III. 2.1.2 Công trình nhiều tầng có sàn (không bao gồm kết cấu mục 2.2) 2.1.3 Kết cấu nhịp lớn dạng khung (không bao gồm kết cấu mục 2.3 và 2.5) Ví dụ: Cổng chào, nhà cầu, cầu băng tải, khung treo biển báo giao thông, kết cấu tại các trạm thu phí trên các tuyến giao thông và các kết cấu nhịp lớn tương tự khác.",b) Số tầng cao,>50,25 ÷ 50,8 ÷ 24,2 ÷ 7,1
2.1,"2.1.1 Nhà, Kết cấu dạng nhà Cấp công trình của nhà ở riêng lẻ, nhà ở riêng lẻ kết hợp các mục đích dân dụng khác được xác định theo quy mô kết cấu quy định tại mục này. Nhà ở biệt thự không thấp hơn cấp III. 2.1.2 Công trình nhiều tầng có sàn (không bao gồm kết cấu mục 2.2) 2.1.3 Kết cấu nhịp lớn dạng khung (không bao gồm kết cấu mục 2.3 và 2.5) Ví dụ: Cổng chào, nhà cầu, cầu băng tải, khung treo biển báo giao thông, kết cấu tại các trạm thu phí trên các tuyến giao thông và các kết cấu nhịp lớn tương tự khác.",c) Tổng diện tích sàn (nghìn m2),,>30,>10 ÷ 30,1 ÷ 10,<1
2.1,"2.1.1 Nhà, Kết cấu dạng nhà Cấp công trình của nhà ở riêng lẻ, nhà ở riêng lẻ kết hợp các mục đích dân dụng khác được xác định theo quy mô kết cấu quy định tại mục này. Nhà ở biệt thự không thấp hơn cấp III. 2.1.2 Công trình nhiều tầng có sàn (không bao gồm kết cấu mục 2.2) 2.1.3 Kết cấu nhịp lớn dạng khung (không bao gồm kết cấu mục 2.3 và 2.5) Ví dụ: Cổng chào, nhà cầu, cầu băng tải, khung treo biển báo giao thông, kết cấu tại các trạm thu phí trên các tuyến giao thông và các kết cấu nhịp lớn tương tự khác.",d) Nhịp kết cấu lớn nhất (m),>200,100 ÷ 200,50 ÷ <100,15 ÷ <50,<15
2.1,"2.1.1 Nhà, Kết cấu dạng nhà Cấp công trình của nhà ở riêng lẻ, nhà ở riêng lẻ kết hợp các mục đích dân dụng khác được xác định theo quy mô kết cấu quy định tại mục này. Nhà ở biệt thự không thấp hơn cấp III. 2.1.2 Công trình nhiều tầng có sàn (không bao gồm kết cấu mục 2.2) 2.1.3 Kết cấu nhịp lớn dạng khung (không bao gồm kết cấu mục 2.3 và 2.5) Ví dụ: Cổng chào, nhà cầu, cầu băng tải, khung treo biển báo giao thông, kết cấu tại các trạm thu phí trên các tuyến giao thông và các kết cấu nhịp lớn tương tự khác.",đ) Độ sâu ngầm (m),,>18,6 ÷ 18,<6,
2.1,"2.1.1 Nhà, Kết cấu dạng nhà Cấp công trình của nhà ở riêng lẻ, nhà ở riêng lẻ kết hợp các mục đích dân dụng khác được xác định theo quy mô kết cấu quy định tại mục này. Nhà ở biệt thự không thấp hơn cấp III. 2.1.2 Công trình nhiều tầng có sàn (không bao gồm kết cấu mục 2.2) 2.1.3 Kết cấu nhịp lớn dạng khung (không bao gồm kết cấu mục 2.3 và 2.5) Ví dụ: Cổng chào, nhà cầu, cầu băng tải, khung treo biển báo giao thông, kết cấu tại các trạm thu phí trên các tuyến giao thông và các kết cấu nhịp lớn tương tự khác.",e) Số tầng ngầm,,≥5,2 ÷ 4,1,
,"Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2.","Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2.","Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2.","Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2.","Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2.","Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2.","Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2.","Ghi chú: 1. Đối với các nhà thuộc nhóm nguy hiểm cháy theo công năng F1.2, F1.3, F4.2, F4.3 và nhà hỗn hợp quy định tại mục 1.1.3 QCVN 06:2022/BXD: H* = 150 m; với H* là chiều cao phòng cháy chữa cháy quy định tại QCVN 06:2022/BXD. 2. Đối với các trường hợp khác mục 1 của ghi chú này: H* = 200 m; với H* là chiều cao của công trình/kết cấu được xác định theo điểm a mục 3 phần Ghi chú của Bảng 2."
2.2,"2.2.1 Kết cấu dạng cột, trụ, tháp trong các công trình dân dụng, công nghiệp, giao thông (không bao gồm mục 2.2.3) Ví dụ: Tượng đài, cột/tháp quảng cáo, cột truyền tải điện, ống khói, cột tín hiệu giao thông và các kết cấu tương tự khác.",Chiều cao của kết cấu (m),>200,>75 ÷ 200,>28 ÷ 75,>6 ÷ 28,≤6
2.2,"2.2.2 Kết cấu dạng cột, trụ, tháp trong công trình hạ tầng kỹ thuật Ví dụ: Cột ăng ten, tháp thu phát sóng truyền thanh/truyền hình; cột BTS; cột đèn, cột điện trong hệ thống chiếu sáng…",Chiều cao của kết cấu (m),≥300,150 ÷ <300,75 ÷ <150,>45 ÷ <75,≤45
2.2,"2.2.3 Đèn biển, đăng tiêu",Chiều cao của kết cấu (m),,≥58,"26,5 ÷ <58","7,5 ÷ <26,5","<7,5"
