STT,NỘI DUNG CHI PHÍ,GIÁ TRỊ TRƯỚC THUẾ,THUẾ GTGT,GIÁ TRỊ SAU THUẾ,KÝ HIỆU
[1],[2],[3],[4],[5],[6]
1,Chi phí mua sắm thiết bị công trình và thiết bị công nghệ,,,,GMS
1.1,Loại thiết bị 1,,,,
...,...,,,,
2,"Chi phí gia công, chế tạo thiết bị cần gia công, chế tạo (nếu có)",,,,GGC
2.1,Loại thiết bị 1,,,,
...,...,,,,
3,Chi phí quản lý mua sắm thiết bị (nếu có),,,,GQLMSTB
4,Chi phí mua bản quyền (nếu có),,,,GBQ
5,Chi phí đào tạo và chuyển giao công nghệ (nếu có),,,,GĐT
6,"Chi phí lắp đặt, thí nghiệm, hiệu chỉnh",,,,GLĐ
7,Chi phí chạy thử nghiệm thiết bị theo yêu cầu kỹ thuật,,,,GCT
8,Chi phí vận chuyển,,,,GVC
9,"Chi phí vật tư, thiết bị dự phòng (nếu có);",,,,GVT
10,Chi phí khác có liên quan (nếu có),,,,GK
,TỔNG CỘNG (1+2+3+4+5+6+7+8+9+10),,,,GTB
