STTSTTSTT,Mã hiệuMãMã  hiệuhiệu,Loại máy và thiết bịLoại máy và thiết bịLoại máy và thiết bị,Số ca nămSố caSố ca  nămnăm,Định mức (%)Định mức (%)Định mức (%) — Khấu haoKhấuKhấu  haohao,Định mức (%)Định mức (%)Định mức (%) — Sửa chữaSửa chữaSửa chữa,Định mức (%)Định mức (%)Định mức (%) — Chi phí khácChi phí khácChi phí khác,"Định mức tiêu hao nhiên liệu, năng lượng (1 ca)Định mức tiêu hao nhiên liệu, năng lượng (1 ca)Định mức tiêu hao nhiên liệu, năng lượng (1 ca)",Nhân công điều khiển máyNhân công Nhân công điềuđiều khiển máy khiển máy,Nguyên giá tham khảo (1000 VNĐ)Nguyên giá tham khảo (1000Nguyên giá tham khảo (1000  VNĐ)VNĐ),Chi phí nhiên liệu (đồng/ ca)Chi phí nhiên liệu (đồngChi phí nhiên liệu (đồng// ca) ca),Chi phí nhân công điều khiển máy vùng/ khu vực... (đồng/ca)Chi phí nhân công Chi phí nhân công điềuđiều khiển máy vùng khiển máy vùng// khu vực... (đồng khu vực... (đồng//ca)ca),Giá ca máy vùng/ khu vực... (đồng/ ca)Giá ca máy vùngGiá ca máy vùng// khu vực... (đồng khu vực... (đồng// ca) ca)
[1][1][1],[2][2][2],[3][3][3],[4][4][4],[5][5][5],[6][6][6],[7][7][7],[8][8][8],[9][9][9],[10][10][10],[11][11][11],[...][...][...],[...][...][...]
AAA,,MÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNG,MÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNG,MÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNG,MÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNG,MÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNGMÁY VÀ THIẾT BỊ THI CÔNG XÂY DỰNG,,,,,,
III,,MÁY THI CÔNG ĐẤT VÀ LU LÈNMÁY THI CÔNG ĐẤT VÀ LU LÈNMÁY THI CÔNG ĐẤT VÀ LU LÈN,MÁY THI CÔNG ĐẤT VÀ LU LÈNMÁY THI CÔNG ĐẤT VÀ LU LÈNMÁY THI CÔNG ĐẤT VÀ LU LÈN,MÁY THI CÔNG ĐẤT VÀ LU LÈNMÁY THI CÔNG ĐẤT VÀ LU LÈNMÁY THI CÔNG ĐẤT VÀ LU LÈN,,,,,,,,
1.11.11.1,,"Máy đào một gầu, bánh xích 0,4m3Máy đào một gầu, bánh xíchMáy đào một gầu, bánh xích  0,4m0,4m33",,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
IIIIII,,MÁY NÂNG CHUYỂNMÁY NÂNG CHUYỂNMÁY NÂNG CHUYỂN,MÁY NÂNG CHUYỂNMÁY NÂNG CHUYỂNMÁY NÂNG CHUYỂN,MÁY NÂNG CHUYỂNMÁY NÂNG CHUYỂNMÁY NÂNG CHUYỂN,,,,,,,,
2.12.12.1,,Cần trục ô tô sức nâng 3tCần trục ô tô sức nâng 3tCần trục ô tô sức nâng 3t,,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
IIIIIIIII,,MÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNG,MÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNG,MÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNG,MÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNGMÁY VÀ THIẾT BỊ GIA CỐ NỀN MÓNG,,,,,,,
3.13.13.1,,"Máy đóng cọc tự hành bánh xích trọng lượng đầu búa 1,2tMáy đóng cọc tự hành bánh xích trọng lượng đầu búa 1,2tMáy đóng cọc tự hành bánh xích trọng lượng đầu búa 1,2t",,,,,,,,,,
.........,,.........,,,,,,,,,,
IVIVIV,,MÁY SẢN XUẤT VẬT LIỆU XÂY DỰNGMÁY SẢN XUẤT VẬT LIỆU XÂY DỰNGMÁY SẢN XUẤT VẬT LIỆU XÂY DỰNG,MÁY SẢN XUẤT VẬT LIỆU XÂY DỰNGMÁY SẢN XUẤT VẬT LIỆU XÂY DỰNGMÁY SẢN XUẤT VẬT LIỆU XÂY DỰNG,MÁY SẢN XUẤT VẬT LIỆU XÂY DỰNGMÁY SẢN XUẤT VẬT LIỆU XÂY DỰNGMÁY SẢN XUẤT VẬT LIỆU XÂY DỰNG,,,,,,,,
4.14.14.1,,Máy trộn bê tông dung tích 250 lítMáy trộn bê tông dung tíchMáy trộn bê tông dung tích  250 lít250 lít,,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
VVV,,MÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘMÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘMÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘ,MÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘMÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘMÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘ,MÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘMÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘMÁY VÀ THIẾT BỊ THI CÔNG MẶT ĐƯỜNG BỘ,,,,,,,,
5.15.15.1,,Máy phun nhựa đường công suất 190cvMáy phun nhựa đường côngMáy phun nhựa đường công  suất 190cvsuất 190cv,,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
VIVIVI,,PHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘPHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘPHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘ,PHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘPHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘPHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘ,PHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘPHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘPHƯƠNG TIỆN VẬN TẢI ĐƯỜNG BỘ,,,,,,,,
6.16.16.1,,"Ô tô vận tải thùng tải trọng 1,5tÔ tô vận tải thùng tải trọngÔ tô vận tải thùng tải trọng  1,5t1,5t",,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
VIIVIIVII,,MÁY KHOAN ĐẤT ĐÁMÁY KHOAN ĐẤT ĐÁMÁY KHOAN ĐẤT ĐÁ,MÁY KHOAN ĐẤT ĐÁMÁY KHOAN ĐẤT ĐÁMÁY KHOAN ĐẤT ĐÁ,MÁY KHOAN ĐẤT ĐÁMÁY KHOAN ĐẤT ĐÁMÁY KHOAN ĐẤT ĐÁ,,,,,,,,
7.17.17.1,,"Máy khoan đất đá, cầm tay đường kính khoan D ≤ 42mm (động cơ điện - 1,2kW)Máy khoan đất đá, cầm tay đường kính khoan D ≤ 42mm (động cơ điện - 1,2kW)Máy khoan đất đá, cầm tay đường kính khoan D ≤ 42mm (động cơ điện - 1,2kW)",,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
VIIIVIIIVIII,,MÁY VÀ THIẾT BỊ ĐỘNG LỰCMÁY VÀ THIẾT BỊ ĐỘNG LỰCMÁY VÀ THIẾT BỊ ĐỘNG LỰC,MÁY VÀ THIẾT BỊ ĐỘNG LỰCMÁY VÀ THIẾT BỊ ĐỘNG LỰCMÁY VÀ THIẾT BỊ ĐỘNG LỰC,MÁY VÀ THIẾT BỊ ĐỘNG LỰCMÁY VÀ THIẾT BỊ ĐỘNG LỰCMÁY VÀ THIẾT BỊ ĐỘNG LỰC,,,,,,,,
8.18.18.1,,"Máy phát điện lưu động công suất 37,5 kVAMáy phát điện lưu động côngMáy phát điện lưu động công  suất 37,5 kVAsuất 37,5 kVA",,,,,,,,,,
.........,,.........,.........,.........,,,,,,,,
