STTSTTSTT,Nội dung chi phíNội dung chi phíNội dung chi phí,Giá trị sơ bộ TMĐTGiá trị sơ bộ TMĐTGiá trị sơ bộ TMĐT,Giá trị đề nghị thẩm traGiá trị đề nghị thẩm traGiá trị đề nghị thẩm tra,Giá trị thẩm traGiá trị thẩm traGiá trị thẩm tra,"Tăng, giảm (+/-)Tăng, giảm (+Tăng, giảm (+//-)-)"
[1][1][1],[2][2][2],[3][3][3],[4][4][4],[5][5][5],[6][6][6]
111,"Chi phí bồi thường, hỗ trợ và tái định cư (nếu có)Chi phí bồi thường, hỗ trợ và táiChi phí bồi thường, hỗ trợ và tái  định cư (nếu có)định cư (nếu có)",,,,
222,Chi phí xây dựngChi phí xây dựngChi phí xây dựng,,,,
333,Chi phí thiết bị (nếu có)Chi phí thiết bị (nếu có)Chi phí thiết bị (nếu có),,,,
444,Chi phí quản lý dự ánChi phí quản lý dự ánChi phí quản lý dự án,,,,
555,Chi phí tư vấn xây dựngChi phí tư vấn xây dựngChi phí tư vấn xây dựng,,,,
666,Chi phí khácChi phí khácChi phí khác,,,,
777,Chi phí dự phòngChi phí dự phòngChi phí dự phòng,,,,
,Tổng cộngTổng cộngTổng cộng,,,,
