Stt,Nhân công xây dựng,Loại công tác xây dựng
I,Nhóm nhân công xây dựng,Nhóm nhân công xây dựng
1,Nhóm 1,"Chuẩn bị mặt bằng, phá dỡ - tháo dỡ, vệ sinh; công tác phục vụ thi công (bốc xếp, vận chuyển, đóng bao, giàn giáo); công tác đất, đá, cát (đào, đắp, bơm, nạo vét, xói hút, vận chuyển và không gồm phá đá bằng nổ mìn)."
2,Nhóm 2,"Thi công cọc, gia cố, khoan tạo lỗ, khoan giảm áp, khớp nối, phá đá bằng khoan nổ mìn, bê tông xi măng, lắp đặt cấu kiện bê tông, ván khuôn, cốt thép, bê tông nhựa, xây gạch, đá và các công tác khác chưa được quy định tại nhóm 1, 3 và 4 bảng này."
3,Nhóm 3,"Lắp đặt hệ thống kỹ thuật công trình; đường ray, gia công lắp dựng kết cấu gỗ, kết cấu sắt thép; cáp thép; trát, ốp, lát, láng, làm trần, mái, sơn, bả; khảo sát xây dựng."
4,Nhóm 4,"Lắp đặt, tháo dỡ đường dây tải điện và trạm biến áp, thiết bị công nghệ, thông tin, tín hiệu, đo lường, điều khiển, thí nghiệm."
II,"Nhóm nhân công vận hành, điều khiển máy","Nhóm nhân công vận hành, điều khiển máy"
1,"Nhân công vận hành máy, điều khiển máy","Nhân công vận hành máy, điều khiển máy"
2,Lái xe,Lái xe
3,"Thủy thủ, thợ máy, thợ điện.","Thủy thủ, thợ máy, thợ điện."
4,"Máy trưởng, máy I, máy II, điện trưởng, kỹ thuật viên cuốc I, kỹ thuật viên cuốc II.","Máy trưởng, máy I, máy II, điện trưởng, kỹ thuật viên cuốc I, kỹ thuật viên cuốc II."
5,"Thuyền trưởng, thuyền phó","Thuyền trưởng, thuyền phó"
III,Nhóm nhân công thực hiện các công tác khác,Nhóm nhân công thực hiện các công tác khác
1,"Kỹ sư thực hiện khảo sát, thí nghiệm","Kỹ sư thực hiện khảo sát, thí nghiệm"
2,Thợ lặn,Thợ lặn
3,Nghệ nhân,Nghệ nhân
4,"Nhân công xây dựng và vận hành máy, thiết bị trong hầm lò","Nhân công xây dựng và vận hành máy, thiết bị trong hầm lò"
5,Nhân công cơ điện mỏ hầm lò,Nhân công cơ điện mỏ hầm lò
