PHIẾU THỐNG KÊ GIÁ NHÂN CÔNG XÂY DỰNG TỪ KẾT QUẢ TRÚNG THẦU/SỐ LIỆU QUYẾT TOÁN CÔNG TRÌNH HOÀN THÀNH,PHIẾU THỐNG KÊ GIÁ NHÂN CÔNG XÂY DỰNG TỪ KẾT QUẢ TRÚNG THẦU/SỐ LIỆU QUYẾT TOÁN CÔNG TRÌNH HOÀN THÀNH,PHIẾU THỐNG KÊ GIÁ NHÂN CÔNG XÂY DỰNG TỪ KẾT QUẢ TRÚNG THẦU/SỐ LIỆU QUYẾT TOÁN CÔNG TRÌNH HOÀN THÀNH,PHIẾU THỐNG KÊ GIÁ NHÂN CÔNG XÂY DỰNG TỪ KẾT QUẢ TRÚNG THẦU/SỐ LIỆU QUYẾT TOÁN CÔNG TRÌNH HOÀN THÀNH,PHIẾU THỐNG KÊ GIÁ NHÂN CÔNG XÂY DỰNG TỪ KẾT QUẢ TRÚNG THẦU/SỐ LIỆU QUYẾT TOÁN CÔNG TRÌNH HOÀN THÀNH,PHIẾU THỐNG KÊ GIÁ NHÂN CÔNG XÂY DỰNG TỪ KẾT QUẢ TRÚNG THẦU/SỐ LIỆU QUYẾT TOÁN CÔNG TRÌNH HOÀN THÀNH,PHIẾU THỐNG KÊ GIÁ NHÂN CÔNG XÂY DỰNG TỪ KẾT QUẢ TRÚNG THẦU/SỐ LIỆU QUYẾT TOÁN CÔNG TRÌNH HOÀN THÀNH
Tên dự án:,Tên dự án:,,,,Số thứ tự phiếu khảo sát:,QT.01
Tên công trình:,Tên công trình:,,,,Khu vực công bố:,
Loại công trình:,Loại công trình:,,,,Vùng (phân vùng Chính phủ):,
Tên chủ đầu tư:,Tên chủ đầu tư:,,,,Nguồn vốn dự án:,
Tên nhà thầu xây dựng:,Tên nhà thầu xây dựng:,,,,,
Địa điểm xây dựng công trình:,Địa điểm xây dựng công trình:,,,,,
Thời gian khảo sát:,Thời gian khảo sát:,,,,,
Đơn vị khảo sát:,Đơn vị khảo sát:,,,,,
STT,Tên công tác xây dựng,ĐVT,Chi phí nhân công để thực hiện 1 đơn vị công tác xây dựng (trong hồ sơ khảo sát),Định mức hao phí lao động thực hiện công tác xây dựng tại cột (3) (trong hồ sơ khảo sát),Giá nhân công xây dựng được khảo sát,Ghi chú
(1),(2),,(3),(4),(5)=(3)/(4),(6)
1,"SX, LD cốt thép BT tại chỗ, cốt thép lanh tô, giằng tường đk<10mm, chiều cao <=50m",tấn,,,,
2,"Sản xuất lắp dựng, tháo dỡ ván khuôn lanh tô, giằng tường bằng ván ép phủ phim",m2,,,,
..,...,...,,,,
,Giá nhân công xây dựng bình quân nhóm (đ/ngc),Giá nhân công xây dựng bình quân nhóm (đ/ngc),Giá nhân công xây dựng bình quân nhóm (đ/ngc),Giá nhân công xây dựng bình quân nhóm (đ/ngc),,
