PHIẾU KHẢO SÁT THU THẬP THÔNG TIN TỪ CHUYÊN GIA,PHIẾU KHẢO SÁT THU THẬP THÔNG TIN TỪ CHUYÊN GIA,PHIẾU KHẢO SÁT THU THẬP THÔNG TIN TỪ CHUYÊN GIA,PHIẾU KHẢO SÁT THU THẬP THÔNG TIN TỪ CHUYÊN GIA
Tên chuyên gia:,Tên chuyên gia:,Số thứ tự phiếu khảo sát:,CG.01
Đơn vị công tác:,Đơn vị công tác:,Khu vực công bố:,
Số năm kinh nghiệm:,Số năm kinh nghiệm:,Vùng (theo phân vùng Chính phủ):,
Lĩnh vực công tác:,Lĩnh vực công tác:,,
Địa điểm khảo sát ĐGNCXD:,Địa điểm khảo sát ĐGNCXD:,,
Thời gian khảo sát:,Thời gian khảo sát:,,
Đơn vị khảo sát:,Đơn vị khảo sát:,,
STT,Tên công tác,ĐGNCXD bình quân (đ/ngc),Ghi chú
[1],[2],[3],[4]
1,"Gia công, lắp dựng cốt thép",,
2,Đổ bê tông,,
...,,,
,Giá nhân công xây dựng bình quân (đ/ngc),GiXD,
