Mã hiệu,Loại máy và thiết bị,Số ca năm,Định mức (%),Định mức (%),Định mức (%),"Định mức tiêu hao nhiên liệu, năng lượng (1ca)","Nhân công vận hành, điều khiển máy",Nguyên giá tham khảo (1.000 VND)
Mã hiệu,Loại máy và thiết bị,Số ca năm,Khấu hao,Sửa chữa,Chi phí khác,"Định mức tiêu hao nhiên liệu, năng lượng (1ca)","Nhân công vận hành, điều khiển máy",Nguyên giá tham khảo (1.000 VND)
1,2,3,4,5,6,7,8,9
M101.0000,MÁY THI CÔNG ĐẤT VÀ LU LÈN,,,,,,,
M101.0100,"Máy đào một gầu, bánh xích - dung tích gầu:",,,,,,,
M101.0101,"0,40 m3",280,"17,0","5,80",5,43 lít diezel,1 nhân công vận hành,809.944
M101.0102,"0,50 m3",280,"17,0","5,80",5,51 lít diezel,1 nhân công vận hành,952.186
M101.0103,"0,65 m3",280,"17,0","5,80",5,59 lít diezel,1 nhân công vận hành,1.075.609
M101.0104,"0,80 m3",280,"17,0","5,80",5,65 lít diezel,1 nhân công vận hành,1.183.203
M101.0105,"1,25 m3",280,"17,0","5,80",5,83 lít diezel,1 nhân công vận hành,1.863.636
M101.0106,"1,60 m3",280,"16,0","5,50",5,113 lít diezel,1 nhân công vận hành,2.244.200
M101.0107,"2,30 m3",280,"16,0","5,50",5,138 lít diezel,1 nhân công vận hành,3.258.264
M101.0108,"3,60 m3",300,"14,0","4,00",5,199 lít diezel,1 nhân công vận hành,6.504.000
M101.0115,"Máy đào 1,25 m3 gắn đầu búa thủy lực/hàm kẹp",280,"17,0","5,80",5,83 lít diezel,1 nhân công vận hành,2.150.000
M101.0116,"Máy đào 1,60 m3 gắn đầu búa thủy lực",300,"16,0","5,50",5,113 lít diezel,1 nhân công vận hành,2.530.564
M101.0200,"Máy đào một gầu, bánh hơi - dung tích gầu:",,,,,,,
M101.0201,"0,80 m3",260,"17,0","5,40",5,57 lít diezel,1 nhân công vận hành,1.172.647
M101.0202,"1,25 m3",260,"17,0","4,70",5,73 lít diezel,1 nhân công vận hành,2.084.693
M101.0300,Máy đào gầu dây - dung tích gầu:,,,,,,,
M101.0301,"0,40 m3",260,"17,0","5,80",5,59 lít diezel,1 nhân công vận hành,1.080.697
M101.0302,"0,65 m3",260,"17,0","5,80",5,65 lít diezel,1 nhân công vận hành,1.188.698
M101.0303,"1,20 m3",260,"16,0","5,50",5,113 lít diezel,1 nhân công vận hành,2.208.172
M101.0304,"1,60 m3",260,"16,0","5,50",5,128 lít diezel,1 nhân công vận hành,2.806.763
M101.0305,"2,30 m3",260,"16,0","5,50",5,164 lít diezel,1 nhân công vận hành,3.732.682
M101.0306,"2,50 m3",260,"16,0","5,50",5,174 lít diezel,1 nhân công vận hành,3.763.258
M101.0307,"3,50 m3",260,"16,0","5,50",5,225 lít diezel,1 nhân công vận hành,3.916.136
M101.0400,Máy xúc lật - dung tích gầu:,,,,,,,
M101.0401,"0,65 m3",280,"16,0","4,80",5,29 lít diezel,1 nhân công vận hành,690.656
M101.0402,"0,9 m3",280,"16,0","4,80",5,39 lít diezel,1 nhân công vận hành,911.473
M101.0403,"1,25 m3",280,"16,0","4,80",5,47 lít diezel,1 nhân công vận hành,1.061.665
M101.0404,"1,6m3 ÷ 1,65 m3",280,"16,0","4,80",5,75 lít diezel,1 nhân công vận hành,1.362.509
M101.0405,"2,30 m3",280,"14,0","4,40",5,95 lít diezel,1 nhân công vận hành,1.769.175
M101.0406,"3,20 m3",280,"14,0","3,80",5,134 lít diezel,1 nhân công vận hành,3.282.220
M101.0500,Máy ủi - công suất:,,,,,,,
M101.0501,75 cv,280,"18,0","6,00",5,38 lít diezel,1 nhân công vận hành,496.093
M101.0502,100 cv,280,"14,0","5,80",5,44 lít diezel,1 nhân công vận hành,792.756
M101.0503,110 cv,280,"14,0","5,80",5,46 lít diezel,1 nhân công vận hành,851.855
M101.0504,140 cv,280,"14,0","5,80",5,59 lít diezel,1 nhân công vận hành,1.366.980
M101.0505,180 cv,280,"14,0","5,50",5,76 lít diezel,1 nhân công vận hành,1.753.811
M101.0506,240 cv,280,"13,0","5,20",5,94 lít diezel,1 nhân công vận hành,2.203.242
M101.0507,320 cv,280,"12,0","4,10",5,125 lít diezel,1 nhân công vận hành,3.710.784
M101.0600,Máy cạp tự hành - dung tích thùng:,,,,,,,
M101.0601,9 m3,280,"14,0","4,20",5,132 lít diezel,1 nhân công vận hành,1.727.900
M101.0602,16 m3,280,"14,0","4,00",5,154 lít diezel,1 nhân công vận hành,2.631.577
M101.0603,25 m3,280,"13,0","4,00",5,182 lít diezel,1 nhân công vận hành,3.289.328
M101.0700,Máy san tự hành - công suất:,,,,,,,
M101.0701,110 cv,230,"15,0","3,60",5,39 lít diezel,1 nhân công vận hành,1.022.799
M101.0702,140 cv,230,"14,0","3,08",5,44 lít diezel,1 nhân công vận hành,1.370.764
M101.0703,180 cv,250,"14,0","3,10",5,54 lít diezel,1 nhân công vận hành,1.713.454
M101.0800,Máy đầm đất cầm tay - trọng lượng:,,,,,,,
M101.0801,50 kg,200,"20,0","5,40",4,3 lít xăng,1 nhân công vận hành,26.484
M101.0802,60 kg,200,"20,0","5,40",4,"3,5 lít xăng",1 nhân công vận hành,33.134
M101.0803,70 kg,200,"20,0","5,40",4,4 lít xăng,1 nhân công vận hành,35.771
M101.0804,80 kg,200,"20,0","5,40",4,5 lít xăng,1 nhân công vận hành,37.663
M101.0900,Máy lu bánh hơi tự hành - trọng lượng tĩnh:,,,,,,,
M101.0901,9 t,270,"15,0","4,30",5,34 lít diezel,1 nhân công vận hành,611.661
M101.0902,16 t,270,"15,0","4,30",5,38 lít diezel,1 nhân công vận hành,695.012
M101.0903,18 t,270,"14,0","4,30",5,42 lít diezel,1 nhân công vận hành,765.981
M101.0904,25 t,270,"14,0","4,10",5,55 lít diezel,1 nhân công vận hành,873.524
M101.1000,Máy lu rung tự hành - trọng lượng tĩnh:,,,,,,,
M101.1001,8 t,270,"14,0","4,60",5,19 lít diezel,1 nhân công vận hành,778.593
M101.1002,12 t,270,"14,0","4,60",5,27 lít diezel,1 nhân công vận hành,1.008.000
M101.1003,15 t,270,"14,0","4,30",5,39 lít diezel,1 nhân công vận hành,1.268.266
M101.1004,18 t,270,"14,0","4,30",5,53 lít diezel,1 nhân công vận hành,1.484.153
M101.1005,20t,270,"14,0","4,30",5,61 lít diezel,1 nhân công vận hành,1.535.452
M101.1006,25 t,270,"14,0","3,70",5,67 lít diezel,1 nhân công vận hành,1.668.970
M101.1100,Máy lu bánh thép tự hành - trọng lượng tĩnh:,,,,,,,
M101.1101,"6,0 t",270,"15,0","2,90",5,20 lít diezel,1 nhân công vận hành,310.973
M101.1102,"8,5 t ÷ 9 t",270,"15,0","2,90",5,24 lít diezel,1 nhân công vận hành,365.850
M101.1103,10 t,270,"15,0","2,90",5,26 lít diezel,1 nhân công vận hành,476.144
M101.1104,12 t,270,"15,0","2,90",5,32 lít diezel,1 nhân công vận hành,516.960
M101.1105,16 t,270,"15,0","2,90",5,37 lít diezel,1 nhân công vận hành,534.828
M101.1106,25 t,270,"15,0","2,90",5,47 lít diezel,1 nhân công vận hành,601.429
M101.1200,Máy lu chân cừu tự hành - trọng lượng tĩnh:,,,,,,,
M101.1201,12 t,270,"15,0","3,60",5,29 lít diezel,1 nhân công vận hành,1.073.429
M101.1202,20 t,270,"15,0","3,60",5,61 lít diezel,1 nhân công vận hành,1.610.452
M101.1203,25t,270,"15,0","3,60",5,67 lít diezel,1 nhân công vận hành,1.768.970
M102.0000,MÁY NÂNG CHUYỂN,,,,,,,
M102.0100,Cần trục ô tô - sức nâng:,,,,,,,
M102.0101,3 t,250,"9,0","5,10",5,25 lít diezel,1 nhân công vận hành + 1 lái xe,645.827
M102.0102,4 t,250,"9,0","5,10",5,26 lít diezel,1 nhân công vận hành + 1 lái xe,693.293
M102.0103,5 t,250,"9,0","4,70",5,30 lít diezel,1 nhân công vận hành + 1 lái xe,769.879
M102.0104,6 t,250,"9,0","4,70",5,33 lít diezel,1 nhân công vận hành + 1 lái xe,948.964
M102.0105,10 t,250,"9,0","4,50",5,37 lít diezel,1 nhân công vận hành + 1 lái xe,1.328.572
M102.0106,16 t,250,"9,0","4,50",5,43 lít diezel,1 nhân công vận hành + 1 lái xe,1.556.727
M102.0107,20 t,250,"8,0","4,50",5,44 lít diezel,1 nhân công vận hành + 1 lái xe,1.939.546
M102.0108,25 t,250,"8,0","4,30",5,50 lít diezel,1 nhân công vận hành + 1 lái xe,2.230.644
M102.0109,30 t,250,"8,0","4,30",5,54 lít diezel,1 nhân công vận hành + 1 lái xe,2.521.398
M102.0110,40 t,250,"7,0","4,10",5,64 lít diezel,1 nhân công vận hành + 1 lái xe,3.736.007
M102.0111,50 t,250,"7,0","4,10",5,70 lít diezel,1 nhân công vận hành + 1 lái xe,5.241.944
M102.0200,Cần cẩu bánh hơi - sức nâng:,,,,,,,
M102.0201,6t,240,"9,0","4,50",5,25 lít diezel,2 nhân công vận hành,629.428
M102.0202,16 t,240,"9,0","4,50",5,33 lít diezel,2 nhân công vận hành,1.032.544
M102.0203,25 t,240,"9,0","4,50",5,36 lít diezel,2 nhân công vận hành,1.266.087
M102.0204,40 t,240,"8,0","4,00",5,50 lít diezel,2 nhân công vận hành,2.624.354
M102.0205,63 t ÷ 65 t,240,"8,0","4,00",5,61 lít diezel,2 nhân công vận hành,3.109.212
M102.0206,80t,240,"7,0","3,80",5,67 lít diezel,2 nhân công vận hành,4.714.447
M102.0207,90 t,240,"7,0","3,80",5,69 lít diezel,2 nhân công vận hành,5.870.688
M102.0208,100 t,240,"7,0","3,80",5,74 lít diezel,2 nhân công vận hành,7.072.227
M102.0209,110 t,240,"7,0","3,60",5,78 lít diezel,2 nhân công vận hành,8.936.333
M102.0210,125 t ÷ 130 t,240,"7,0","3,60",5,81 lít diezel,2 nhân công vận hành,10.669.966
M102.0300,Cần cẩu bánh xích - sức nâng:,,,,,,,
M102.0301,5 t,250,"9,0","5,40",5,32 lít diezel,2 nhân công vận hành,808.517
M102.0302,10 t,250,"9,0","4,50",5,36 lít diezel,2 nhân công vận hành,1.085.398
M102.0303,16 t,250,"9,0","4,50",5,45 lít diezel,2 nhân công vận hành,1.411.235
M102.0304,25 t,250,"8,0","4,60",5,47 lít diezel,2 nhân công vận hành,1.896.437
M102.0305,28 t,250,"8,0","4,60",5,49 lít diezel,2 nhân công vận hành,2.263.892
M102.0306,40 t,250,"8,0","4,10",5,51 lít diezel,2 nhân công vận hành,2.973.986
M102.0307,50 t,250,"8,0","4,10",5,54 lít diezel,2 nhân công vận hành,3.818.900
M102.0308,60 t,250,"8,0","4,10",5,55 lít diezel,2 nhân công vận hành,4.110.300
M102.0309,63 t ÷ 65 t,250,"7,0","4,10",5,56 lít diezel,2 nhân công vận hành,4.653.327
M102.0310,80 t,250,"7,0","3,80",5,58 lít diezel,2 nhân công vận hành,5.492.391
M102.0311,100 t,250,"7,0","3,80",5,59 lít diezel,2 nhân công vận hành,7.004.354
M102.0312,110 t,250,"7,0","3,60",5,63 lít diezel,2 nhân công vận hành,8.157.167
M102.0313,125 t ÷ 130 t,250,"7,0","3,60",5,72 lít diezel,2 nhân công vận hành,11.463.578
M102.0314,150 t,250,"7,0","3,60",5,83 lít diezel,2 nhân công vận hành,12.790.430
M102.0315,250t,200,"7,0","3,60",5,141 lít diezel,2 nhân công vận hành,26.563.873
M102.0316,300t,200,"7,0","3,60",5,155 lít diezel,2 nhân công vận hành,36.309.348
M102.0400,Cần trục tháp - sức nâng:,,,,,,,
M102.0401,5 t,290,"13,0","4,70",6,42 kWh,2 nhân công vận hành,871.689
M102.0402,10 t,290,"12,0","4,00",6,60 kWh,2 nhân công vận hành,1.419.834
M102.0403,12 t,290,"12,0","4,00",6,68 kWh,2 nhân công vận hành,1.729.964
M102.0404,15 t,290,"12,0","4,00",6,90 kWh,2 nhân công vận hành,1.900.450
M102.0405,20 t,290,"11,0","3,80",6,113 kWh,2 nhân công vận hành,2.279.943
M102.0406,25 t,290,"11,0","3,80",6,120 kWh,2 nhân công vận hành,3.161.607
M102.0407,30 t,290,"11,0","3,80",6,128 kWh,2 nhân công vận hành,3.962.098
M102.0408,40 t,290,"11,0","3,50",6,135 kWh,2 nhân công vận hành,4.598.753
M102.0409,50 t,290,"11,0","3,50",6,143 kWh,2 nhân công vận hành,5.768.420
M102.0410,60 t,290,"11,0","3,50",6,198 kWh,2 nhân công vận hành,7.210.611
M102.0500,Cần cẩu nổi:,,,,,,,
M102.0501,Kéo theo - sức nâng 30 t,195,"9,0","6,20",7,81 lít diezel,1 thuyền phó + 3 thợ máy + 1 thợ điện + 1 thủy thủ,2.794.100
M102.0502,Tự hành - sức nâng 100 t,195,"9,0","6,00",7,118 lít diezel,1 thuyền trưởng + 1 thuyền phó + 4 thợ máy + 1 thợ điện + 1 thuỷ thủ,4.205.700
M102.0600,Cổng trục - sức nâng:,,,,,,,
M102.0601,10 t,195,"12,0","2,80",5,81 kWh,2 nhân công vận hành,471.300
M102.0602,20 t,195,"12,0","2,80",5,90 kWh,2 nhân công vận hành,655.320
M102.0603,30 t,195,"12,0","2,80",5,90 kWh,2 nhân công vận hành,730.500
M102.0604,50 t,195,"12,0","2,50",5,123 kWh,2 nhân công vận hành,891.135
M102.0605,60 t,195,"12,0","2,50",5,144 kWh,2 nhân công vận hành,966.900
M102.0606,90 t,195,"12,0","2,50",5,180 kWh,2 nhân công vận hành,1.300.802
M102.0701,Cẩu lao dầm K33-60,195,"12,0","3,50",6,233 kWh,6 nhân công vận hành,2.698.418
M102.0702,Thiết bị nâng hạ dầm 90 t,195,"12,0","3,50",6,232 kWh,4 nhân công vận hành,2.955.481
M102.0703,"Hệ thống xe goong di chuyển dầm (gồm mô tơ điện 3,5 kW và con lăn)",195,"14,0","3,50",6,16 kWh,1 nhân công vận hành,11.818
M102.0800,Cầu trục - sức nâng:,,,,,,,
M102.0801,30 t,290,"9,0","2,30",5,48 kWh,2 nhân công vận hành,378.691
M102.0802,40 t,290,"9,0","2,30",5,60 kWh,2 nhân công vận hành,426.157
M102.0803,50 t,290,"9,0","2,30",5,72 kWh,2 nhân công vận hành,482.909
M102.0804,60 t,290,"9,0","2,30",5,84 kWh,2 nhân công vận hành,579.445
M102.0805,90 t,290,"9,0","2,30",5,108 kWh,2 nhân công vận hành,720.350
M102.0806,110 t,290,"9,0","2,10",5,132 kWh,2 nhân công vận hành,994.021
M102.0807,125 t,290,"9,0","2,10",5,144 kWh,2 nhân công vận hành,1.143.067
M102.0808,180 t,290,"9,0","2,10",5,168 kWh,2 nhân công vận hành,1.486.217
M102.0809,250 t,290,"9,0","2,00",5,204 kWh,2 nhân công vận hành,1.918.794
M102.0900,Máy vận thăng - sức nâng:,,,,,,,
M102.0901,"0,8 t",290,"17,0","4,30",5,21 kWh,1 nhân công vận hành,187.683
M102.0902,2 t,290,"17,0","4,10",5,32 kWh,1 nhân công vận hành,251.200
M102.0903,3 t,290,"17,0","4,10",5,39 kWh,1 nhân công vận hành,288.920
M102.1000,Máy vận thăng lồng - sức nâng:,,,,,,,
M102.1001,3 t,290,"16,5","4,10",5,47 kWh,1 nhân công vận hành,590.336
M102.1100,Tời điện - sức kéo:,,,,,,,
M102.1101,"0,5 t",240,"15,0","5,10",4,4 kWh,1 nhân công vận hành,4.600
M102.1102,"1,0 t",240,"15,0","5,10",4,5 kWh,1 nhân công vận hành,5.900
M102.1103,"1,5 t",240,"15,0","4,60",4,"5,5 kWh",1 nhân công vận hành,16.400
M102.1104,"2,0 t",240,"15,0","4,60",4,"6,3 kWh",1 nhân công vận hành,23.900
M102.1105,"3,0 t",240,"15,0","4,60",4,11 kWh,1 nhân công vận hành,38.600
M102.1106,"3,5 t",240,"15,0","4,60",4,12 kWh,1 nhân công vận hành,42.500
M102.1107,"5,0 t",240,"15,0","4,60",4,14 kWh,1 nhân công vận hành,51.700
M102.1108,"7,5t",240,"15,0","4,60",4,27 kWh,1 nhân công vận hành,80.800
M102.1109,10t,240,"15,0","4,60",4,41 kWh,1 nhân công vận hành,127.000
M102.1110,15t,240,"15,0","4,60",4,44 kWh,1 nhân công vận hành,202.481
M102.1200,Pa lăng xích - sức nâng:,,,,,,,
M102.1201a,1t,240,"15,0","4,60",4,,1 nhân công vận hành,1.850
M102.1201,3 t,240,"15,0","4,60",4,,1 nhân công vận hành,7.900
M102.1202,5 t,240,"15,0","4,20",4,,1 nhân công vận hành,10.200
M102.1203,20t,240,"15,0","4,20",4,,1 nhân công vận hành,18.360
M102.1300,Kích nâng - sức nâng:,,,,,,,
M102.1301,5 t,190,"13,0","2,20",5,,1 nhân công vận hành,2.700
M102.1302,10 t,190,"13,0","2,20",5,,1 nhân công vận hành,4.600
M102.1303,30 t,190,"13,0","2,20",5,,1 nhân công vận hành,5.800
M102.1304,50 t,190,"13,0","2,20",5,,1 nhân công vận hành,9.800
M102.1305,100 t,190,"13,0","2,20",5,,1 nhân công vận hành,19.000
M102.1306,200 t,190,"13,0","2,20",5,,1 nhân công vận hành,27.400
M102.1307,250 t,190,"13,0","2,20",5,,1 nhân công vận hành,44.000
M102.1308,500 t,190,"13,0","2,20",5,,1 nhân công vận hành,95.500
M102.1309,Hệ kích nâng 25t (máy bơm dầu thủy lực 3 kW),190,"13,0","2,00",5,6 kWh,1 nhân công vận hành,118.182
M102.1400,Kích thông tâm,,,,,,,
M102.1401,RRH - 100 t,190,"13,0","2,20",5,,1 nhân công vận hành,84.383
M102.1402,YCW - 150 t,190,"13,0","2,20",5,,1 nhân công vận hành,11.694
M102.1403,YCW - 250 t,190,"13,0","2,20",5,,1 nhân công vận hành,18.000
M102.1404,YCW - 500 t,190,"13,0","2,20",5,,1 nhân công vận hành,55.491
M102.1501,"Kích đẩy liên tục tự động ZLD- 60 (60t, 6c)",190,"13,0","3,50",5,29 kWh,2 nhân công vận hành,242.715
M102.1601,Kích sợi đơn YDC - 500 t,190,"13,0","2,20",5,,1 nhân công vận hành,20.179
M102.1700,Trạm bơm dầu áp lực- công suất:,,,,,,,
M102.1701,40 MPa (HCP-400),190,"16,0","6,50",5,14 kWh,1 nhân công vận hành,24.077
M102.1702,50 MPa (ZB4 - 500),190,"16,0","6,50",5,20 kWh,1 nhân công vận hành,30.497
M102.1800,Xe nâng - chiều cao nâng:,,,,,,,
M102.1801,9 m,280,"13,0","4,00",5,22 lít diezel,1 nhân công vận hành + 1 lái xe,511.600
M102.1802,12 m,280,"13,0","4,00",5,25 lít diezel,1 nhân công vận hành + 1 lái xe,731.758
