STT,DANH MỤC CÔNG TRÌNH
I,Công trình dân dụng
1,Công trình nhà ở
2,Công trình giáo dục
3,Công trình văn hóa
4,"Công trình trụ sở cơ quan nhà nước và tổ chức chính trị, tổ chức chính trị - xã hội"
5,Công trình y tế
6,Công trình thể thao
,…
II,Công trình công nghiệp
1,Công trình sản xuất vật liệu xây dựng
2,Công trình luyện kim và cơ khí chế tạo
3,Công trình khai thác mỏ và chế biến khoáng sản
4,Công trình dầu khí
5,Công trình năng lượng
6,Công trình hóa chất
7,Công trình công nghiệp nhẹ
,…
III,Công trình hạ tầng kỹ thuật
1,Công trình cấp nước
2,Công trình thoát nước
3,Công trình xử lý chất thải rắn
4,"Tuyến cống thoát nước mưa, nước thải"
5,Công trình chiếu sáng công cộng
6,Đường cáp truyền tín hiệu viễn thông
,…
IV,Công trình giao thông
1,Công trình đường bộ
2,Công trình đường sắt
3,Công trình cầu
4,Công trình hầm
5,Công trình đường thủy nội địa
6,Công trình hàng hải
7,Công trình hàng không
8,Nhà ga
,…
V,Công trình nông nghiệp và môi trường
1,Công trình thủy lợi
2,Công trình đê điều
,…
