Mã hiệu,Loại máy và thiết bị,Số ca năm,Định mức (%),Định mức (%),Định mức (%),Nguyên giá tham khảo (1000 VND)
Mã hiệu,Loại máy và thiết bị,Số ca năm,Khấu hao,Sửa chữa,Chi phí khác,Nguyên giá tham khảo (1000 VND)
1,2,3,4,5,6,7
M201.0000,MÁY VÀ THIẾT BỊ KHẢO SÁT,,,,,
M201.0001,Bộ khoan tay,180,15,"6,00",5,35.083
M201.0002,Máy khoan XY-1A,180,10,"5,00",5,102.500
M201.0003,Máy khoan XY-3,180,10,"5,00",5,210.909
M201.0004,Máy khoan GK-250,180,10,"5,00",5,136.364
M201.0005,Bộ nén ngang GA,180,10,"3,00",5,476.947
M201.0006,Búa căn MO - 10 (chưa tính khí nén),180,20,"6,60",5,6.363
M201.0007,Búa khoan tay P30,180,15,"8,50",5,12.268
M201.0008,"Thùng trục 0,5 m3",150,20,"8,00",5,3.096
M201.0009,Máy khoan F-60L,250,10,"4,00",5,1.396.445
M201.0010,Máy xuyên động RA-50,180,10,"3,50",5,58.816
M201.0011,Máy xuyên tĩnh Gouda,180,10,"2,80",5,495.291
M201.0012,Thiết bị đo ngẫu lực,180,10,"3,00",5,340.513
M201.0013,Bộ dụng cụ thí nghiệm SPT,180,10,"3,50",5,10.777
M201.0014,Biến thế thắp sáng,150,18,"4,50",5,3.325
M201.0015,Máy thăm dò địa vật lý UJ-18,150,10,"3,20",4,31.300
M201.0016,Máy thăm dò địa vật lý MF-2-100,150,10,"3,20",4,38.752
M201.0017,"Máy, thiết bị thăm dò địa chấn - loại 1 mạch (ES-125)",150,10,"2,20",4,97.797
M201.0018,"Máy, thiết bị thăm dò địa chấn - loại 12 mạch (Triosx-12)",150,10,"2,00",4,292.130
M201.0019,"Máy, thiết bị thăm dò địa chấn - loại 24 mạch (Triosx-24)",150,10,"2,00",4,343.379
M201.0020,Máy thuỷ bình điện tử,180,10,"2,80",4,15.822
M201.0021,Máy toàn đạc điện tử,180,10,"1,80",4,178.855
M201.0022,Bộ thiết bị khống chế mặt bằng GPS (3 máy),180,10,"1,50",4,670.706
M201.0023,Ống nhòm,180,10,"2,00",4,1.147
M201.0024,Kính hiển vi,200,10,"1,80",4,8.943
M201.0025,Kính hiển vi điện tử quét,200,10,"1,20",4,3.221.684
M201.0026,Máy ảnh,150,10,"2,00",4,6.306
M201.0027,Máy đo sâu hồi âm đa tia,180,10,"1,80",4,2.791.667
M201.0028,Máy đo sâu hồi âm đơn tia,180,10,"1,80",4,309.909
M201.0029,Máy định vị vệ tinh DGPS,180,10,"1,80",4,430.909
M201.0030,Máy triều ký tự ghi,180,10,"1,80",4,85.909
M201.0031,Máy định vị vệ tinh RTK,180,10,"1,80",4,500.545
M201.0032,Máy đo tốc độ sóng âm,180,10,"1,80",4,168.818
M201.0033,Máy bù sóng,180,10,"1,50",4,1.533.143
M201.0034,La bàn vệ tinh,180,10,"1,50",4,239.091
M201.0035,Máy scanner (khổ A3),150,13,"3,00",4,49.173
M202.0000,"MÁY VÀ THIẾT BỊ THÍ NGHIỆM VẬT LIỆU, CẤU KIỆN VÀ KẾT CẤU XÂY DỰNG",,,,,
M202.0001,Cần Belkenman,180,10,"2,80",4,20.866
M202.0002,Thiết bị đếm phóng xạ,180,10,"2,20",4,142.511
M202.0003,TRL Profile Beam,180,10,"1,80",4,399.443
M202.0004,Máy FWD,180,10,"1,40",4,2.056.833
M202.0005,Thiết bị đo phản ứng Romdas,180,10,"3,00",4,92.408
M202.0006,Bộ thiết bị PIT (đo biến dạng nhỏ),180,10,"2,20",4,348.767
M202.0007,Bộ thiết bị đo PDA (đo biến dạng lớn),180,10,"1,40",4,1.371.222
M202.0008,Bộ thiết bị siêu âm,180,10,"2,00",4,573.827
M202.0009,Cân điện tử,200,10,"1,80",4,8.255
M202.0010,Cân phân tích,200,10,"1,80",4,12.726
M202.0011,Cân bàn,200,10,"1,80",4,4.815
M202.0012,Cân thủy tĩnh,200,10,"1,80",4,5.618
M202.0013,Lò nung,200,10,"4,00",4,14.217
M202.0014,Tủ sấy,200,10,"4,50",4,12.268
M202.0015,Tủ hút khí độc,200,10,"4,00",4,12.268
M202.0016,Tủ lạnh,250,10,"4,00",4,7.796
M202.0017,Máy hút chân không,200,10,"4,50",4,3.783
M202.0018,Máy hút ẩm OASIS-America,200,10,"4,00",4,10.319
M202.0019,Bếp điện,150,30,"6,50",4,803
M202.0020,Bếp cát,150,30,"6,50",4,1.032
M202.0021,Máy chưng cất nước,200,10,"3,50",4,7.567
M202.0022,Máy trộn đất,200,10,"3,50",4,6.306
M202.0023,"Máy trộn xi măng, dung tích 5lít",200,10,"3,50",4,19.949
M202.0024,Máy trộn dung dịch lỏng (máy đo độ rung vữa),200,10,"3,50",4,16.968
M202.0025,Máy đầm tiêu chuẩn (đầm rung),200,10,"4,50",4,6.306
M202.0026,Máy cắt đất,200,10,"3,00",4,2.637
M202.0027,Máy cắt mẫu lớn (30x30) cm,200,10,"3,00",4,17.198
M202.0028,Máy cắt ứng biến,200,10,"2,20",4,163.950
M202.0029,Máy nén 3 trục,200,10,"1,60",4,779.854
M202.0030,Máy ép litvinốp,200,10,"3,00",4,17.886
M202.0031,Kích tháo mẫu,200,10,"2,20",4,7.796
M202.0032,"Máy ép mẫu đá, bê tông",200,10,"2,20",4,166.931
M202.0033,"Máy cắt mẫu vật liệu (bê tông, gạch, đá)",200,10,"3,50",4,72.574
M202.0034,Máy khoan mẫu đá,200,10,"3,50",4,67.071
M202.0035,Máy mài thử độ mài mòn,200,10,"4,20",4,10.319
M202.0036,Máy nén một trục,200,10,"3,00",4,17.886
M202.0037,Máy nén Marshall,200,10,"2,20",4,264.728
M202.0038,Máy CBR,200,10,"2,50",4,78.994
M202.0039,Máy thí nghiệm thuỷ lực quay tay,200,10,"3,50",4,8.369
M202.0040,Máy nén 4 t (quay tay),200,10,"3,50",4,7.796
M202.0041,Máy nén thuỷ lực 10 t,200,10,"3,50",4,21.440
M202.0042,Máy nén thuỷ lực 50 t,200,10,"3,50",4,35.656
M202.0043,Máy nén thuỷ lực 125 t,200,10,"3,50",4,47.695
M202.0044,Máy nén thuỷ lực 200 t,200,10,"3,50",4,62.000
M202.0045,Máy kéo nén thủy lực 100 t,200,10,"3,50",4,52.166
M202.0046,Máy kéo nén uốn thuỷ lực 25 t,200,10,"3,50",4,28.892
M202.0047,Máy kéo nén uốn thuỷ lực 100 t,200,10,"2,20",4,241.340
M202.0048,Máy gia tải - 20 t,200,10,"3,50",4,37.261
M202.0049,Máy caragrang (làm thí nghiệm chảy),200,10,"3,50",4,6.306
M202.0050,Máy xác định hệ số thấm,200,10,"2,50",4,86.447
M202.0051,Máy đo PH,200,10,"3,50",4,9.287
M202.0052,Máy đo âm thanh,200,10,"3,50",4,8.369
M202.0053,Máy đo chiều dày màng sơn,200,10,"2,50",4,107.772
M202.0054,Máy đo điện thế thí nghiệm ăn mòn cốt thép trong bê tông,200,10,"2,50",4,92.408
M202.0055,Máy đo vết nứt,200,10,"3,50",4,16.280
M202.0056,Máy đo tốc độ ăn mòn cốt thép trong bê tông,200,10,"2,20",4,134.027
M202.0057,Máy đo độ thấm của I-on Clo,200,10,"2,00",4,193.874
M202.0058,Dụng cụ đo độ cháy của than,200,10,"3,50",4,12.038
M202.0059,Máy đo gia tốc,200,10,"2,50",4,98.370
M202.0060,Máy ghi nhiệt ổn định,200,10,"3,50",4,16.854
M202.0061,Máy đo chuyển vị,200,10,"2,50",4,60.765
M202.0062,Máy xác định môđun,200,10,"3,00",4,31.300
M202.0063,Máy so màu ngọn lửa,200,10,"3,00",4,41.733
M202.0064,Máy so màu quang điện,200,10,"2,50",4,107.313
M202.0065,Máy đo độ dãn dài Bitum,200,10,"2,50",4,62.599
M202.0066,Máy chiết nhựa (Xốc lét),200,10,"3,50",4,8.828
