ma_hieu,loai_vat_lieu_quy_cach,mac_be_tong,xi_mang_kg,cat_vang_m3,da_dam_m3,nuoc_lit,phu_gia
11.11111,"Đá d = 10mm max (Cỡ 0,5x1cm)",100,218,"0,526","0,858",185,-
11.11112,"Đá d = 10mm max (Cỡ 0,5x1cm)",150,266,"0,514","0,839",185,-
11.11113,"Đá d = 10mm max (Cỡ 0,5x1cm)",200,314,"0,503","0,821",185,-
11.11114,"Đá d = 10mm max (Cỡ 0,5x1cm)",250,360,"0,493","0,804",185,-
11.11115,"Đá d = 10mm max (Cỡ 0,5x1cm)",300,407,"0,482","0,787",185,dẻo hoá
11.11116,"Đá d = 10mm max (Cỡ 0,5x1cm)",350,453,"0,471","0,769",185,dẻo hoá
11.11117,"Đá d = 10mm max (Cỡ 0,5x1cm)",400,490,"0,470","0,767",175,siêu dẻo
11.11121,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",100,206,"0,536","0,874",175,-
11.11122,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",150,252,"0,525","0,857",175,-
11.11123,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",200,297,"0,514","0,839",175,-
11.11124,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",250,341,"0,504","0,823",175,-
11.11125,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",300,385,"0,494","0,807",175,-
11.11126,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",350,417,"0,490","0,800",170,dẻo hóa
11.11127,"Đá d = 20mm max [(4070)% cỡ 0,5x1cm (6030)% cỡ 1x2 cm]",400,462,"0,483","0,789",165,dẻo hóa
11.11141,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],100,194,"0,545","0,890",164,-
11.11142,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],150,237,"0,536","0,874",165,-
11.11143,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],200,280,"0,526","0,858",165,-
11.11144,Đá d = 40mm max [(4070)% cỡ 1x2cm và (6030)% cỡ 2x4 cm],250,321,"0,516","0,842",165,-
