table_name,TT,Loại công trình,≤ 10,20,50,100,200,500,1.000,2.000,5.000,10.000,20.000,≥ 30.000,≤ 15,≥ 20.000,≤ 1,3,7,15,40,5,10,150,240,Cấp công trình,8.000,≥ 10.000,Công trình,≤ 5,≥ 500,Cấp điện áp,≥ 1.000,25,Chi phí tư vấn (chưa thuế GTGT) (tỷ đồng),Chi phí khảo sát (chưa thuế GTGT) (tỷ đồng),≥ 50
Bảng 1.1: Định mức chi phí quản lý dự án,1,Công trình dân dụng,"3,446","2,923","2,610","2,017","1,886","1,514","1,239","0,958","0,711","0,510","0,381","0,305",,,,,,,,,,,,,,,,,,,,,,,
Bảng 1.1: Định mức chi phí quản lý dự án,2,Công trình công nghiệp,"3,557","3,018","2,694","2,082","1,947","1,564","1,279","1,103","0,734","0,527","0,393","0,314",,,,,,,,,,,,,,,,,,,,,,,
Bảng 1.1: Định mức chi phí quản lý dự án,3,Công trình giao thông,"3,024","2,566","2,292","1,771","1,655","1,329","1,088","0,937","0,624","0,448","0,335","0,268",,,,,,,,,,,,,,,,,,,,,,,
Bảng 1.1: Định mức chi phí quản lý dự án,4,Công trình phục vụ nông nghiệp và MT,"3,263","2,769","2,473","1,910","1,786","1,434","1,173","1,011","0,673","0,483","0,361","0,289",,,,,,,,,,,,,,,,,,,,,,,
Bảng 1.1: Định mức chi phí quản lý dự án,5,Công trình hạ tầng kỹ thuật,"3,115","2,643","2,360","1,823","1,705","1,369","1,120","0,965","0,642","0,461","0,345","0,276",,,,,,,,,,,,,,,,,,,,,,,
Bảng 2.1: Định mức chi phí lập báo cáo đề xuất chủ trương đầu tư,1,Công trình dân dụng,,"0,169","0,108","0,045","0,041","0,039","0,036","0,032","0,029","0,024",,,"0,301","0,021",,,,,,,,,,,,,,,,,,,,,
Bảng 2.1: Định mức chi phí lập báo cáo đề xuất chủ trương đầu tư,2,Công trình công nghiệp,,"0,198","0,132","0,073","0,067","0,063","0,056","0,048","0,041","0,031",,,"0,341","0,027",,,,,,,,,,,,,,,,,,,,,
Bảng 2.1: Định mức chi phí lập báo cáo đề xuất chủ trương đầu tư,3,Công trình giao thông,,"0,100","0,071","0,028","0,026","0,025","0,023","0,021","0,019","0,017",,,"0,165","0,015",,,,,,,,,,,,,,,,,,,,,
Bảng 2.1: Định mức chi phí lập báo cáo đề xuất chủ trương đầu tư,4,Công trình phục vụ nông nghiệp và MT,,"0,137","0,086","0,038","0,035","0,033","0,030","0,027","0,024","0,021",,,"0,226","0,018",,,,,,,,,,,,,,,,,,,,,
Bảng 2.1: Định mức chi phí lập báo cáo đề xuất chủ trương đầu tư,5,Công trình hạ tầng kỹ thuật,,"0,105","0,073","0,030","0,027","0,026","0,024","0,021","0,018","0,015",,,"0,172","0,014",,,,,,,,,,,,,,,,,,,,,
Bảng 2.2: Định mức chi phí lập báo cáo nghiên cứu tiền khả thi,1,Công trình dân dụng,,"0,503","0,376","0,240","0,161","0,100","0,086","0,073","0,050","0,040","0,026","0,022","0,668",,,,,,,,,,,,,,,,,,,,,,
Bảng 2.2: Định mức chi phí lập báo cáo nghiên cứu tiền khả thi,2,Công trình công nghiệp,,"0,612","0,441","0,294","0,206","0,163","0,141","0,110","0,074","0,057","0,034","0,027","0,757",,,,,,,,,,,,,,,,,,,,,,
