STTSTTSTT,"Nội dung nhập, cập nhật dữ liệu về quy hoạch đô thị và nông thônNội dung nhập, cập nhật dữ liệu về quy hoạch đô thị và nông thônNội dung nhập, cập nhật dữ liệu về quy hoạch đô thị và nông thôn","Nội dung nhập, cập nhật dữ liệu về quy hoạch đô thị và nông thônNội dung nhập, cập nhật dữ liệu về quy hoạch đô thị và nông thônNội dung nhập, cập nhật dữ liệu về quy hoạch đô thị và nông thôn",Ghi chúGhi chúGhi chú
III,"Thẩm định nhiệm vụ quy hoạch, điều chỉnh nhiệm vụ quy hoạch đô thị và nông thôn (đối với các quy hoạch có yêu cầu phải lập nhiệm vụ)Thẩm định nhiệm vụ quy hoạch, Thẩm định nhiệm vụ quy hoạch, điềuđiều chỉnh nhiệm vụ quy hoạch đô thị và nông thôn (đối với các quy hoạch có yêu cầu phải lập nhiệm vụ) chỉnh nhiệm vụ quy hoạch đô thị và nông thôn (đối với các quy hoạch có yêu cầu phải lập nhiệm vụ)","Thẩm định nhiệm vụ quy hoạch, điều chỉnh nhiệm vụ quy hoạch đô thị và nông thôn (đối với các quy hoạch có yêu cầu phải lập nhiệm vụ)Thẩm định nhiệm vụ quy hoạch, Thẩm định nhiệm vụ quy hoạch, điềuđiều chỉnh nhiệm vụ quy hoạch đô thị và nông thôn (đối với các quy hoạch có yêu cầu phải lập nhiệm vụ) chỉnh nhiệm vụ quy hoạch đô thị và nông thôn (đối với các quy hoạch có yêu cầu phải lập nhiệm vụ)","- Kết quả giải quyết thủ tục do Cơ quan thẩm định nhiệm vụ quy hoạch, điều chỉnh nhiệm vụ quy hoạch thực hiện, ban hành, chuẩn hóa dữ liệu vào Hệ thống thông tin về hoạt động xây dựng.- Kết quả giải quyết thủ tục do Cơ quan thẩm định nhiệm vụ quy- Kết quả giải quyết thủ tục do Cơ quan thẩm định nhiệm vụ quy  hoạch,hoạch,  điềuđiều  chỉnhchỉnh  nhiệm vụnhiệm vụ  quyquy  hoạchhoạch  thựcthực  hiện,hiện,  ban hành,ban hành,  chuẩnchuẩn  hhóaóa  dữdữ  liệuliệu  vào Hệvào Hệ  thốngthống  thôngthông  tintin  vềvề  hoạt động xây dựng.hoạt động xây dựng.- Kết quả thủ tục do cơ quan lập quy hoạch thực hiện, cập nhật vào Hệ thống thông tin về hoạt động xây dựng để tạo lập Cơ sở dữ liệu chuyên ngành- Kết quả thủ tục do cơ- Kết quả thủ tục do cơ  quan lậpquan lập  quyquy  hoạchhoạch  thựcthực  hiện,hiện,  cập nhật vào Hệ thống thông tin về hoạt động xây dựng để tạo lập Cơ sở dữ liệu chuyên ngànhcập nhật vào Hệ thống thông tin về hoạt động xây dựng để tạo lập Cơ sở dữ liệu chuyên ngành"
111,Dữ liệu chungDữ liệu chungDữ liệu chung,Dữ liệu chungDữ liệu chungDữ liệu chung,Dữ liệu chungDữ liệu chungDữ liệu chung
1.11.11.1,Tên nhiệm vụ quy hoạchTên nhiệm vụ quy hoạchTên nhiệm vụ quy hoạch,[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu],Cơ quan tổ chức lập nhiệm vụ quy hoạch có trách nhiệm nhập dữ liệu để khởi tạo mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchCơ quan tổ chức lập nhiệm vụ quyCơ quan tổ chức lập nhiệm vụ quy  hoạchhoạch  cócó  tráchtrách  nhiệm nhậpnhiệm nhập  dữdữ  liệuliệu  đểđể  khởikhởi  tạotạo  mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchmã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạch
1.21.21.2,"Địa điểm quy hoạch (xã/phường, tỉnh/thành phố)Địa Địa điểmđiểm quy hoạch (xã quy hoạch (xã//phường, tỉnhphường, tỉnh//thành phố)thành phố)","[Chọn tỉnh/thành phố, xã/phường hoặc nhập thông tin địa điểm quy hoạch đối với quy hoạch liên phường, liên xã][Chọn tỉnh[Chọn tỉnh//thành phốthành phố, xã, xã//phường hoặc nhập thông tin địa phường hoặc nhập thông tin địa điểmđiểm quy hoạch đối với quy quy hoạch đối với quy  hoạch liên phường, liên xã]hoạch liên phường, liên xã]",Cơ quan tổ chức lập nhiệm vụ quy hoạch có trách nhiệm nhập dữ liệu để khởi tạo mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchCơ quan tổ chức lập nhiệm vụ quyCơ quan tổ chức lập nhiệm vụ quy  hoạchhoạch  cócó  tráchtrách  nhiệm nhậpnhiệm nhập  dữdữ  liệuliệu  đểđể  khởikhởi  tạotạo  mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchmã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạch
1.31.31.3,Cấp độ quy hoạchCấp độ quy hoạchCấp độ quy hoạch,[Chọn cấp độ quy hoạch][Chọn cấp độ quy hoạch][Chọn cấp độ quy hoạch],Cơ quan tổ chức lập nhiệm vụ quy hoạch có trách nhiệm nhập dữ liệu để khởi tạo mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchCơ quan tổ chức lập nhiệm vụ quyCơ quan tổ chức lập nhiệm vụ quy  hoạchhoạch  cócó  tráchtrách  nhiệm nhậpnhiệm nhập  dữdữ  liệuliệu  đểđể  khởikhởi  tạotạo  mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchmã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạch
1.41.41.4,Loại quy hoạchLoại quy hoạchLoại quy hoạch,[Chọn loại quy hoạch][Chọn loại quy hoạch][Chọn loại quy hoạch],Cơ quan tổ chức lập nhiệm vụ quy hoạch có trách nhiệm nhập dữ liệu để khởi tạo mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchCơ quan tổ chức lập nhiệm vụ quyCơ quan tổ chức lập nhiệm vụ quy  hoạchhoạch  cócó  tráchtrách  nhiệm nhậpnhiệm nhập  dữdữ  liệuliệu  đểđể  khởikhởi  tạotạo  mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchmã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạch
1.51.51.5,"Trình tự lập, điều chỉnh nhiệm vụ quy hoạchTrình tự lập, Trình tự lập, điềuđiều chỉnh nhiệm vụ quy hoạch chỉnh nhiệm vụ quy hoạch",[Chọn loại lập mới hoặc điều chỉnh cục bộ hoặc điều chỉnh tổng thể][Chọn loại lập mới hoặc [Chọn loại lập mới hoặc điềuđiều chỉnh cục bộ hoặc  chỉnh cục bộ hoặc điềuđiều chỉnh tổng thể] chỉnh tổng thể],Cơ quan tổ chức lập nhiệm vụ quy hoạch có trách nhiệm nhập dữ liệu để khởi tạo mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchCơ quan tổ chức lập nhiệm vụ quyCơ quan tổ chức lập nhiệm vụ quy  hoạchhoạch  cócó  tráchtrách  nhiệm nhậpnhiệm nhập  dữdữ  liệuliệu  đểđể  khởikhởi  tạotạo  mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchmã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạch
1.61.61.6,"Quy mô, diện tích lập quy hoạchQuy mô, diện tích lập quy hoạchQuy mô, diện tích lập quy hoạch",[Nhập dữ liệu (theo hecta)][Nhập dữ liệu (theo hecta)[Nhập dữ liệu (theo hecta)]],Cơ quan tổ chức lập nhiệm vụ quy hoạch có trách nhiệm nhập dữ liệu để khởi tạo mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchCơ quan tổ chức lập nhiệm vụ quyCơ quan tổ chức lập nhiệm vụ quy  hoạchhoạch  cócó  tráchtrách  nhiệm nhậpnhiệm nhập  dữdữ  liệuliệu  đểđể  khởikhởi  tạotạo  mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchmã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạch
1.71.71.7,Dân sốDân sốDân số,[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu],Cơ quan tổ chức lập nhiệm vụ quy hoạch có trách nhiệm nhập dữ liệu để khởi tạo mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchCơ quan tổ chức lập nhiệm vụ quyCơ quan tổ chức lập nhiệm vụ quy  hoạchhoạch  cócó  tráchtrách  nhiệm nhậpnhiệm nhập  dữdữ  liệuliệu  đểđể  khởikhởi  tạotạo  mã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạchmã định danh trên Hệ thống thông tin về hoạt động xây dựng khi trình thẩm định nhiệm vụ quy hoạch
222,Dữ liệu chi tiếtDữ liệu chi tiếtDữ liệu chi tiết,Dữ liệu chi tiếtDữ liệu chi tiếtDữ liệu chi tiết,Dữ liệu chi tiếtDữ liệu chi tiếtDữ liệu chi tiết
