STTSTTSTT,"Nội dung nhập, cập nhật dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ánNội dung nhập, cập nhậtNội dung nhập, cập nhật  dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ándữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự án","Nội dung nhập, cập nhật dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ánNội dung nhập, cập nhậtNội dung nhập, cập nhật  dữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự ándữ liệu về dự án đầu tư xây dựng, công trình xây dựng thuộc dự án",Ghi chúGhi chúGhi chú
III,"Thủ tục thẩm định/thẩm định điều chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng; thẩm định/thẩm định điều chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựngThủ tục thẩm địnhThủ tục thẩm định//thẩm định thẩm định điềuđiều chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng; chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng;  thẩm địnhthẩm định//thẩm định thẩm định điềuđiều chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựng chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựngGhi chú:Ghi chú:Ghi chú:(i) Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựng, tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại khoản 4 Điều 3 Thông tư này).(i) (i) Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựngtạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựng, tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. , tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại (theo quy định tại khoảnkhoản 4  4 ĐiềuĐiều 3  3 Thông tư nàyThông tư này).).(ii) Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu chuyên ngành, trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại khoản 5 Điều 3 Thông tư này).(ii)(ii) Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để  Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu chuyên ngànhtạo lập Cơ sở dữ liệu chuyên ngành, trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. , trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại (theo quy định tại khoảnkhoản 5 5  ĐiềuĐiều 3  3 Thông tư nàyThông tư này).).","Thủ tục thẩm định/thẩm định điều chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng; thẩm định/thẩm định điều chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựngThủ tục thẩm địnhThủ tục thẩm định//thẩm định thẩm định điềuđiều chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng; chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng;  thẩm địnhthẩm định//thẩm định thẩm định điềuđiều chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựng chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựngGhi chú:Ghi chú:Ghi chú:(i) Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựng, tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại khoản 4 Điều 3 Thông tư này).(i) (i) Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựngtạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựng, tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. , tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại (theo quy định tại khoảnkhoản 4  4 ĐiềuĐiều 3  3 Thông tư nàyThông tư này).).(ii) Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu chuyên ngành, trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại khoản 5 Điều 3 Thông tư này).(ii)(ii) Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để  Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu chuyên ngànhtạo lập Cơ sở dữ liệu chuyên ngành, trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. , trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại (theo quy định tại khoảnkhoản 5 5  ĐiềuĐiều 3  3 Thông tư nàyThông tư này).).","Thủ tục thẩm định/thẩm định điều chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng; thẩm định/thẩm định điều chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựngThủ tục thẩm địnhThủ tục thẩm định//thẩm định thẩm định điềuđiều chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng; chỉnh Báo cáo nghiên cứu khả thi đầu tư xây dựng;  thẩm địnhthẩm định//thẩm định thẩm định điềuđiều chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựng chỉnh Báo cáo kinh tế - kỹ thuật đầu tư xây dựngGhi chú:Ghi chú:Ghi chú:(i) Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựng, tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại khoản 4 Điều 3 Thông tư này).(i) (i) Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để Đối với thủ tục thẩm định do cơ quan nhà nước có thẩm quyền, cơ quan chuyên môn về xây dựng thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựngtạo lập Cơ sở dữ liệu quốc gia về hoạt động xây dựng, tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. , tổ chức, cá nhân đề nghị thực hiện thủ tục có trách nhiệm nhập dữ liệu về dự án đầu tư xây dựng, công trình xây dựng vào Hệ thống thông tin về hoạt động xây dựng theo quy định. Trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, cơ quan giải quyết thủ tục có trách nhiệm kiểm tra, chuẩn hóa, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại (theo quy định tại khoảnkhoản 4  4 ĐiềuĐiều 3  3 Thông tư nàyThông tư này).).(ii) Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu chuyên ngành, trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại khoản 5 Điều 3 Thông tư này).(ii)(ii) Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để  Đối với thủ tục thẩm định do tổ chức, cá nhân thực hiện, ban hành kết quả, được thu thập để tạo lập Cơ sở dữ liệu chuyên ngànhtạo lập Cơ sở dữ liệu chuyên ngành, trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. , trong thời hạn 05 ngày làm việc kể từ khi ban hành kết quả thủ tục, tổ chức, cá nhân có trách nhiệm nhập, cập nhật, phê duyệt dữ liệu theo kết quả thủ tục đã ban hành vào Hệ thống thông tin về hoạt động xây dựng. Việc phê duyệt dữ liệu được thực hiện tự động trên Hệ thống thông tin về hoạt động xây dựng. (theo quy định tại (theo quy định tại khoảnkhoản 5 5  ĐiềuĐiều 3  3 Thông tư nàyThông tư này).)."
111,Tên dự án:Tên dự án:Tên dự án:,[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu],
222,Địa điểm xây dựng dự án:ĐịaĐịa  điểmđiểm  xâyxây  dựdựngng  dự án:dự án:,"[Chọn tỉnh/thành phố, xã/phường/đặc khu][Chọn[Chọn  tỉnhtỉnh//thànhthành  phố, xãphố, xã//phườngphường//đặc khu]đặc khu]","- Ghi thông tin về lô/ô đất,... trong trường hợp chỉ thẩm định đối với một hoặc một số công trình của dự án- Ghi thông tin- Ghi thông tin  về lôvề lô//ôô  đất,... trong trườngđất,... trong trường  hợphợp  chỉchỉ  thẩmthẩm  địnhđịnh  đốiđối  với một hoặc một số công trình của dự ánvới một hoặc một số công trình của dự án- Điểm đầu, điểm cuối và tóm tắt hướng tuyến công trình, một số điểm khống chế đối với công trình xây dựng theo tuyến.--  ĐiểmĐiểm  đầu,đầu,  điểmđiểm  cuốicuối  vàvà  tómtóm  tắt hướng tuyến công trình, một số tắt hướng tuyến công trình, một số điểmđiểm khống khống  chếchế  đốiđối  vớivới  côngcông  trìnhtrình  xây dựng theo tuyến.xây dựng theo tuyến.- File bản vẽ định vị công trình, hoặc file tọa độ công trình- File bản vẽ định vị công trình, hoặc file tọa độ công trình- File bản vẽ định vị công trình, hoặc file tọa độ công trình"
333,Mã định danh (nếu có)Mã định danh (nếu có)Mã định danh (nếu có),[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu]Liên kết với Mã số dự án đầu tư đã được khởi tạo theo pháp luật về xây dựngLiên kết với Mã số dự án đầu tưLiên kết với Mã số dự án đầu tư  đã được khởi tạo theo pháp đã được khởi tạo theo pháp luậtluật về xây dựng về xây dựng,Đối với trường hợp đã khởi tạo mã định danh đối với thủ tục trước đóĐối với trường hợp đã khởi tạo mã định danh đối với thủ tục trước đóĐối với trường hợp đã khởi tạo mã định danh đối với thủ tục trước đó
444,Mã số dự án đầu tư (nếu có)Mã số dự án đầu tư (nếu có)Mã số dự án đầu tư (nếu có),[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu]Liên kết với Mã số dự án đầu tư đã được khởi tạo theo pháp luật về đầu tưLiên kết với Mã số dự án đầu tưLiên kết với Mã số dự án đầu tư  đã được khởi tạo theođã được khởi tạo theo  pháp pháp luậtluật về đầu tư về đầu tư,
555,Mã số đơn vị có quan hệ với ngân sách (nếu có)Mã số đơn vị có quan hệ với ngân sách (nếu có)Mã số đơn vị có quan hệ với ngân sách (nếu có),[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu]Liên kết với số đơn vị có quan hệ với ngân sách theo pháp luật về đầu tư côngLiên kết vớiLiên kết với  số đơn vị có quan hệ với ngân sách theo phápsố đơn vị có quan hệ với ngân sách theo pháp  luậtluật về đầu tư công về đầu tư công,
666,Người quyết định đầu tư:NgườiNgười  quyếtquyết  địnhđịnh  đầu tư:đầu tư:,[Nhập Số định danh cá nhân/Số căn cước/Số hộ chiếu][Nhập[Nhập  SốSố  địnhđịnh  danhdanh  cá nhâncá nhân//SốSố  căncăn  cướccước//SốSố  hộ chiếu]hộ chiếu],
777,Mục tiêu dự ánMụcMục tiêu dự án tiêu dự án,[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu],
888,Quy mô đầu tư xây dựngQuyQuy  mômô  đầuđầu  tưtư  xây dựngxây dựng,[Nhập dữ liệu][Nhập dữ liệu][Nhập dữ liệu],Nhập dữ liệu theo quy định tại Phụ lục III kèm theo Thông tư nàyNhập dữ liệu theo quy định tại Nhập dữ liệu theo quy định tại Phụ lụcPhụ lục III III kèm theo  kèm theo Thông tư nàyThông tư này
999,Cơ quan chuẩn bị dự ánCơ quan chuẩn bị dự ánCơ quan chuẩn bị dự án,[Nhập tên cơ quan][Nhập tên cơ quan][Nhập tên cơ quan][Nhập mã số doanh nghiệp hoặc mã số thuế][Nhập[Nhập  mãmã  sốsố  doanhdoanh  nghiệp hoặc mã số thuế]nghiệp hoặc mã số thuế],"Chủ đầu tư hoặc cơ quan, tổ chức, cá nhân được người quyết định đầu tư hoặc cơ quan có thẩm quyền giao nhiệm vụ chuẩn bị dự án trong trường hợp chưa xác định được chủ đầu tưChủ đầu tư hoặc cơ quan, tổ chức, cá nhân được người quyết định đầu tư hoặc cơ quan có thẩm quyền giao nhiệmChủ đầu tư hoặc cơ quan, tổ chức, cá nhân được người quyết định đầu tư hoặc cơ quan có thẩm quyền giao nhiệm  vụvụ  chuẩnchuẩn  bịbị  dựdự  ánán  trong trường hợp chưa xác định được chủ đầu tưtrong trường hợp chưa xác định được chủ đầu tư"
