STTSTTSTT,Loại dự án đầu tư xây dựng/công trình xây dựngLoại dự án đầu tư xây dựngLoại dự án đầu tư xây dựng//công trình xây dựngcông trình xây dựng,"Chỉ tiêu, thông số chínhChỉ tiêu, thông số chínhChỉ tiêu, thông số chính"
III,DỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH DÂN DỤNGDỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH DÂN DỤNGDỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH DÂN DỤNG,DỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH DÂN DỤNGDỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH DÂN DỤNGDỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH DÂN DỤNG
,"1. Dự án đầu tư xây dựng công trình nhà ở, bao gồm: nhà ở chung cư, nhà ở tập thể, công trình nhà ở riêng lẻ (trừ công trình nhà ở riêng lẻ của hộ gia đình, cá nhân)1. Dự án đầu tư xây dựng công trình nhà ở,1. Dự án đầu tư xây dựng công trình nhà ở,  baobao  gồm:gồm:  nhànhà  ở chung cư,ở chung cư,  nhà ởnhà ở  tậptập  thể, công trình nhà ở riêng lẻ (trừ công trình nhà ở riêng lẻ của hộ gia đình, cá nhân)thể, công trình nhà ở riêng lẻ (trừ công trình nhà ở riêng lẻ của hộ gia đình, cá nhân)","1. Tổng diện tích xây dựng.1. Tổng diện tích xây dựng.1. Tổng diện tích xây dựng.2. Mật độ xây dựng.2. Mật độ xây dựng.2. Mật độ xây dựng.3. Tổng diện tích sàn xây dựng.3. Tổng diện tích sàn xây dựng.3. Tổng diện tích sàn xây dựng.4. Hệ số sử dụng đất.4. Hệ số sử dụng đất.4. Hệ số sử dụng đất.5. Thống kê rõ thiết kế kiến trúc cho từng công trình gồm: Diện tích xây dựng, tổng diện tích sàn, số tầng cao, chiều cao công trình, cốt xây dựng, mốc tọa độ công trình.5. Thống kê rõ thiết kế kiến trúc cho từng công trình gồm: Diện tích xây dựng, tổng diện tích sàn, số tầng cao, chiều cao công trình, cốt xây dựng, mốc tọa độ công trình.5. Thống kê rõ thiết kế kiến trúc cho từng công trình gồm: Diện tích xây dựng, tổng diện tích sàn, số tầng cao, chiều cao công trình, cốt xây dựng, mốc tọa độ công trình.* Riêng đối với các loại hình nhà ở và các loại bất động sản đưa vào kinh doanh khác, tổ chức, cá nhân đề nghị thực hiện thủ tục phải điền/nhập thông số chủ yếu sau:* Riêng đối với các loại hình nhà ở và các loại* Riêng đối với các loại hình nhà ở và các loại  bấtbất  độngđộng  sảnsản  đưađưa  vàovào  kinhkinh  doanh khác, tổ chức, cá nhân đề nghị thực hiện thủ tục phải điềndoanh khác, tổ chức, cá nhân đề nghị thực hiện thủ tục phải điền//nhập thông số chủ yếu sau:nhập thông số chủ yếu sau:- Tổng diện tích sàn xây dựng nhà ở/nhà ở công vụ/nhà ở xã hội/nhà lưu trú công nhân; tổng số căn hộ nhà ở/nhà ở công vụ/nhà ở xã hội/nhà lưu trú công nhân; Danh sách chi tiết gồm số lượng và diện tích từng căn hộ nhà ở/nhà ở công vụ/nhà ở xã hội/nhà lưu trú công nhân.- Tổng diện tích sàn xây dựng nhà ở- Tổng diện tích sàn xây dựng nhà ở//nhà ở công vụnhà ở công vụ//nhà ở xã hộinhà ở xã hội//nhà lưu trú công nhân;nhà lưu trú công nhân;  tổngtổng  sốsố  căncăn  hộhộ  nhànhà  ởở//nhànhà  ởở  công vụcông vụ//nhànhà  ởở  xãxã  hộihội//nhànhà  lưulưu  trútrú  côngcông  nhân; Danh sách chi tiết gồm số lượng và diện tích từng căn hộ nhà ởnhân; Danh sách chi tiết gồm số lượng và diện tích từng căn hộ nhà ở//nhà ở công vụnhà ở công vụ//nhà ở xã hộinhà ở xã hội//nhà lưu trú công nhân.nhà lưu trú công nhân.- Tổng số căn nhà ở liên kế, tổng diện tích sàn nhà ở liên kế; Danh sách chi tiết gồm số lượng, diện tích của từng căn nhà ở liên kế.- Tổng số căn nhà ở liên kế, tổng diện tích sàn nhà ở liên kế; Danh sách chi tiết gồm- Tổng số căn nhà ở liên kế, tổng diện tích sàn nhà ở liên kế; Danh sách chi tiết gồm số lượng, diện tích của từng căn nhà ở liên số lượng, diện tích của từng căn nhà ở liên  kế.kế.- Tổng số căn nhà ở biệt thự, tổng diện tích sàn nhà ở biệt thự; Danh sách chi tiết gồm số lượng, diện tích của từng căn nhà ở.- Tổng số căn nhà ở biệt thự, tổng diện tích sàn nhà ở biệt thự; Danh sách chi tiết gồm số lượng, diện tích của từng căn nhà ở.- Tổng số căn nhà ở biệt thự, tổng diện tích sàn nhà ở biệt thự; Danh sách chi tiết gồm số lượng, diện tích của từng căn nhà ở.- Số lượng, diện tích sàn trong công trình xây dựng bao gồm: Trung tâm thương mại/ Văn phòng/ khách sạn/loại hình du lịch, nghỉ dưỡng khác, tổng số phòng nghỉ; danh sách chi tiết gồm số lượng, diện tích của từng căn/phần diện tích sàn trong công trình xây dựng.- Số lượng, diện tích sàn trong công trình xây dựng bao gồm: Trung tâm thương mại- Số lượng, diện tích sàn trong công trình xây dựng bao gồm: Trung tâm thương mại// Văn phòng Văn phòng// khách sạn khách sạn//loại hình du lịch, nghỉ dưỡng khác, tổng số phòng nghỉ; danh sách chi tiết gồm số lượng, diện tích của từng cănloại hình du lịch, nghỉ dưỡng khác, tổng số phòng nghỉ; danh sách chi tiết gồm số lượng, diện tích của từng căn//phầnphần diện tích sàn trong công trình xây dựng. diện tích sàn trong công trình xây dựng.6. Các chỉ tiêu, thông số thiết kế chủ yếu khác theo yêu cầu quản lý chuyên ngành, lĩnh vực (nếu có).6. Các chỉ tiêu, thông số thiết kế chủ yếu khác theo yêu cầu quản lý chuyên ngành, lĩnh vực (nếu có).6. Các chỉ tiêu, thông số thiết kế chủ yếu khác theo yêu cầu quản lý chuyên ngành, lĩnh vực (nếu có)."
,"2. Dự án đầu tư xây dựng công trình công cộng:2.2.  DựDự  ánán  đầuđầu  tưtư  xâyxây  dựngdựng  côngcông  trình công cộng:trình công cộng:a) Dự án đầu tư xây dựng công trình giáo dục, đào tạo, nghiên cứu;a)a)  DựDự  ánán  đầuđầu  tưtư  xâyxây  dựngdựng  côngcông  trình giáo dục, đào tạo, nghiên cứu;trình giáo dục, đào tạo, nghiên cứu;b) Dự án đầu tư xây dựng công trình y tế;b) Dự án đầu tư xây dựng công trình y tế;b) Dự án đầu tư xây dựng công trình y tế;c) Dự án đầu tư xây dựng công trình thể thao;c) Dự án đầu tư xây dựng công trình thể thao;c) Dự án đầu tư xây dựng công trình thể thao;d) Dự án đầu tư xây dựng công trình văn hóa;d) Dự án đầu tư xây dựng công trình văn hóa;d) Dự án đầu tư xây dựng công trình văn hóa;đ) Dự án đầu tư xây dựng công trình tôn giáo, tín ngưỡng;đ) Dự án đầu tư xây dựng công trình tôn giáo, tín ngưỡng;đ) Dự án đầu tư xây dựng công trình tôn giáo, tín ngưỡng;e) Dự án đầu tư xây dựng công trình thương mại, dịch vụ;e)e)  DựDự  ánán  đầuđầu  tưtư  xâyxây  dựngdựng  côngcông  trình thương mại, dịch vụ;trình thương mại, dịch vụ;g) Dự án đầu tư xây dựng công trình trụ sở, văn phòng làm việc.g) Dự án đầu tư xây dựng công trình trụ sở, văn phòng làm việc.g) Dự án đầu tư xây dựng công trình trụ sở, văn phòng làm việc.3. Dự án đầu tư xây dựng công trình tu bổ, bảo quản, phục hồi di tích;3. Dự án đầu tư xây dựng công trình tu bổ, bảo quản, phục hồi di tích;3. Dự án đầu tư xây dựng công trình tu bổ, bảo quản, phục hồi di tích;4. Dự án đầu tư xây dựng phục vụ dân sinh khác.4. Dự án đầu tư xây dựng phục vụ dân sinh khác.4. Dự án đầu tư xây dựng phục vụ dân sinh khác.5. Dự án đầu tư xây dựng các công trình có kết cấu dạng nhà không thuộc các trường hợp quy định tại các mục II, III, IV, V, VI, VII Phụ lục này.5. Dự án đầu tư xây dựng các công trình có kết cấu dạng nhà không thuộc các trường hợp quy định tại các 5. Dự án đầu tư xây dựng các công trình có kết cấu dạng nhà không thuộc các trường hợp quy định tại các mụcmục II, III, IV, V, VI, VII  II, III, IV, V, VI, VII Phụ lụcPhụ lục  nàynày..",1. Bao gồm nội dung từ khoản 1 đến khoản 6 Mục I.1 Phụ lục này.1.1.  BaoBao  gồmgồm  nộinội  dungdung  từtừ  khoảnkhoản  11  đến đến khoảnkhoản 6  6 MụcMục I.1  I.1 Phụ lụcPhụ lục  nàynày..2. Quy mô công suất; khả năng phục vụ.2. Quy mô công suất; khả năng phục vụ.2. Quy mô công suất; khả năng phục vụ.
IIIIII,DỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH CÔNG NGHIỆPDỰDỰ  ÁNÁN  ĐẦUĐẦU  TƯTƯ  XÂYXÂY  DỰNGDỰNG  CÔNG TRÌNH CÔNG NGHIỆPCÔNG TRÌNH CÔNG NGHIỆP,"1. Đối với các công trình có kết cấu dạng nhà:1. Đối với các công trình có kết cấu dạng nhà:1. Đối với các công trình có kết cấu dạng nhà:Bao gồm nội dung từ khoản 1 đến khoản 6 Mục I.1 Phụ lục này.Bao gồm nội dung từ Bao gồm nội dung từ khoảnkhoản 1 đến  1 đến khoảnkhoản  6 6 MụcMục I.1  I.1 Phụ lụcPhụ lục  nàynày..2. Đối với các công trình khác (không thuộc Mục II.1 nêu trên):2.2.  ĐốiĐối  vớivới  cáccác  côngcông  trìnhtrình  kháckhác  (không thuộc (không thuộc MụcMục II.1 nêu trên): II.1 nêu trên):- Quy mô công suất; khả năng phục vụ;- Quy mô công suất; khả năng phục vụ;- Quy mô công suất; khả năng phục vụ;- Các thông số thiết kế chủ yếu khác theo yêu cầu quản lý chuyên ngành, lĩnh vực (nếu có).- Các thông số thiết kế chủ yếu khác theo yêu cầu- Các thông số thiết kế chủ yếu khác theo yêu cầu  quảnquản  lýlý  chuyên ngành, lĩnh vực (nếu có).chuyên ngành, lĩnh vực (nếu có)."
IIIIIIIII,"DỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH HẠ TẦNG KỸ THUẬT BAO GỒM:DỰDỰ  ÁNÁN  ĐẦUĐẦU  TƯTƯ  XÂYXÂY  DỰNGDỰNG  CÔNG TRÌNHCÔNG TRÌNH  HẠHẠ  TẦNGTẦNG  KỸKỸ  THUẬTTHUẬT  BAO GỒM:BAO GỒM:1. Dự án đầu tư xây dựng công trình cấp nước.1. Dự án đầu tư xây dựng công trình cấp nước.1. Dự án đầu tư xây dựng công trình cấp nước.2. Dự án đầu tư xây dựng công trình thoát nước.2.2.  DựDự  ánán  đầuđầu  tưtư  xâyxây  dựngdựng  côngcông  trình thoát nước.trình thoát nước.3. Dự án đầu tư xây dựng công trình xử lý chất thải rắn.3. Dự án đầu tư xây dựng công trình xử lý chất thải rắn.3. Dự án đầu tư xây dựng công trình xử lý chất thải rắn.4. Dự án đầu tư xây dựng công trình chiếu sáng công cộng.4.4.  DựDự  ánán  đầuđầu  tưtư  xâyxây  dựngdựng  côngcông  trình chiếu sáng công cộng.trình chiếu sáng công cộng.5. Dự án đầu tư xây dựng công viên cây xanh.5. Dự án đầu tư xây dựng công viên cây xanh.5. Dự án đầu tư xây dựng công viên cây xanh.6. Dự án đầu tư xây dựng nghĩa trang, nhà tang lễ, cơ sở hỏa táng.6. Dự án đầu tư xây dựng nghĩa trang, nhà tang lễ, cơ sở hỏa táng.6. Dự án đầu tư xây dựng nghĩa trang, nhà tang lễ, cơ sở hỏa táng.7. Dự án đầu tư xây dựng công trình nhà để xe, sân bãi để xe.7. Dự án đầu tư xây dựng công trình nhà để xe, sân bãi để xe.7. Dự án đầu tư xây dựng công trình nhà để xe, sân bãi để xe.8. Dự án đầu tư xây dựng công trình hạ tầng kỹ thuật viễn thông thụ động.8. Dự án đầu tư xây dựng công trình hạ tầng kỹ thuật viễn thông thụ động.8. Dự án đầu tư xây dựng công trình hạ tầng kỹ thuật viễn thông thụ động.9. Dự án đầu tư xây dựng công trình nhằm cung cấp các tiện ích hạ tầng kỹ thuật khác.9.9.  DựDự  ánán  đầuđầu  tưtư  xâyxây  dựngdựng  côngcông  trình nhằm cung cấp các tiện ích hạ tầng kỹ thuật khác.trình nhằm cung cấp các tiện ích hạ tầng kỹ thuật khác.","1. Đối với các công trình có kết cấu dạng nhà:1. Đối với các công trình có kết cấu dạng nhà:1. Đối với các công trình có kết cấu dạng nhà:Bao gồm nội dung từ khoản 1 đến khoản 6 Mục I.1 Phụ lục này.Bao gồm nội dung từ Bao gồm nội dung từ khoảnkhoản 1 đến  1 đến khoảnkhoản  6 6 MụcMục I.1  I.1 Phụ lụcPhụ lục  nàynày..2. Đối với các công trình khác (không thuộc Mục III.1 nêu trên):2.2.  ĐốiĐối  vớivới  cáccác  côngcông  trìnhtrình  kháckhác  (không thuộc (không thuộc MụcMục III.1 nêu trên): III.1 nêu trên):- Quy mô công suất; khả năng phục vụ;- Quy mô công suất; khả năng phục vụ;- Quy mô công suất; khả năng phục vụ;- Các thông số thiết kế chủ yếu khác theo yêu cầu quản lý chuyên ngành, lĩnh vực (nếu có).- Các thông số thiết kế chủ yếu khác theo yêu cầu- Các thông số thiết kế chủ yếu khác theo yêu cầu  quảnquản  lýlý  chuyên ngành, lĩnh vực (nếu có).chuyên ngành, lĩnh vực (nếu có)."
IVIVIV,DỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH GIAO THÔNGDỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH GIAO THÔNGDỰ ÁN ĐẦU TƯ XÂY DỰNG CÔNG TRÌNH GIAO THÔNG,
111,Dự án đầu tư xây dựng kết cấu hạ tầng đường bộDự án đầu tư xây dựng kết cấu hạ tầng đường bộDự án đầu tư xây dựng kết cấu hạ tầng đường bộ,
1.11.11.1,Đường bộĐường bộĐường bộ,"1. Phân loại đường.1. Phân loại đường.1. Phân loại đường.2. Bề rộng nền đường.2. Bề rộng nền đường.2. Bề rộng nền đường.3. Bề rộng mặt đường.3. Bề rộng mặt đường.3. Bề rộng mặt đường.4. Chiều dài tuyến đường.4. Chiều dài tuyến đường.4. Chiều dài tuyến đường.5. Số làn xe.5. Số làn xe.5. Số làn xe.6. Kết cấu mặt đường.6. Kết cấu mặt đường.6. Kết cấu mặt đường.7. Vận tốc thiết kế/cấp đường.7.7.  Vận tốc thiết kếVận tốc thiết kế//cấp đường.cấp đường.8. Các thông số thiết kế chủ yếu khác theo yêu cầu quản lý chuyên ngành, lĩnh vực (nếu có).8.8.  Các thông số thiết kế chủ yếu khác theo yêu cầuCác thông số thiết kế chủ yếu khác theo yêu cầu  quảnquản  lýlý  chuyên ngành, lĩnh vực (nếu có).chuyên ngành, lĩnh vực (nếu có)."
1.21.21.2,CầuCầuCầu,"1. Bề rộng cầu.1.1.  Bề rộng cầu.Bề rộng cầu.2. Chiều dài cầu.2.2.  Chiều dài cầu.Chiều dài cầu.3. Sơ đồ nhịp.3. Sơ đồ nhịp.3. Sơ đồ nhịp.4. Kết cấu nhịp.4. Kết cấu nhịp.4. Kết cấu nhịp.5. Kết cấu mố, trụ, móng.5.5.  Kết cấu mố, trụ, móng.Kết cấu mố, trụ, móng.6. Các thông số thiết kế chủ yếu khác theo yêu cầu quản lý chuyên ngành, lĩnh vực (nếu có).6.6.  Các thông số thiết kế chủ yếu khác theo yêu cầuCác thông số thiết kế chủ yếu khác theo yêu cầu  quảnquản  lýlý  chuyên ngành, lĩnh vực (nếu có).chuyên ngành, lĩnh vực (nếu có)."
