TTTTTT,Nội dung chi phíNội dung chi phíNội dung chi phí,Giá trị trước thuếGiá trị trước thuếGiá trị trước thuế,Thuế GTGTThuếThuế  GTGTGTGT,Giá trị sau thuếGiá trị sau thuếGiá trị sau thuế,Ký hiệuKýKý  hiệuhiệu
[1][1][1],[2][2][2],[3][3][3],[4][4][4],[5][5][5],[6][6][6]
111,Chi phí thực hiện sửa chữa (bao gồm chi phí nhà tạm)Chi phí thực hiện sửa chữaChi phí thực hiện sửa chữa  (bao gồm chi phí nhà tạm)(bao gồm chi phí nhà tạm),,,,GTHSCGGTHSCTHSC
222,Chi phí khác (nếu có)Chi phí khác (nếu có)Chi phí khác (nếu có),,,,GKSCGGKSCKSC
2.12.12.1,Chi phí lập dự toánChi phí lập dự toánChi phí lập dự toán,,,,
2.22.22.2,Chi phí thẩm tra dự toánChi phí thẩm tra dự toánChi phí thẩm tra dự toán,,,,
2.32.32.3,Chi phí tư vấn giám sátChi phí tư vấn giám sátChi phí tư vấn giám sát,,,,
2.42.42.4,"Lập hồ sơ mời thầu, hồ sơ yêu cầuLập hồ sơ mời thầu, hồ sơ yêuLập hồ sơ mời thầu, hồ sơ yêu  cầucầu",,,,
2.52.52.5,Chi phí thẩm định kết quả lựa chọn nhà thầuChi phí thẩm định kết quả lựa chọn nhà thầuChi phí thẩm định kết quả lựa chọn nhà thầu,,,,
2.62.62.6,Chi phí đảm bảo an toàn giao thôngChi phí đảm bảo an toàn giao thôngChi phí đảm bảo an toàn giao thông,,,,
………,………,,,,
333,Chi phí dự phòng (nếu có)Chi phí dự phòng (nếu có)Chi phí dự phòng (nếu có),,,,
,TỔNG CỘNG (1+2+3)TỔNG CỘNG (1+2+3)TỔNG CỘNG (1+2+3),,,,GSCGGSCSC
