TTTTTT,"Danh mục các loại sản phẩm, hàng hóa vật liệu xây dựngDanh mục các loại sản phẩm, hàng hóa vật liệu xây dựngDanh mục các loại sản phẩm, hàng hóa vật liệu xây dựng"
111,VẬT LIỆU XÂY DỰNG CHỦ YẾUVẬT LIỆU XÂY DỰNG CHỦ YẾUVẬT LIỆU XÂY DỰNG CHỦ YẾU
1.11.11.1,Xi măng và clanhke xi măngXi măng và clanhke xi măngXi măng và clanhke xi măng
1.1.11.1.11.1.1,Clanhke xi măngClanhke xi măngClanhke xi măng
1.1.21.1.21.1.2,Xi măngXi măngXi măng
1.1.2.11.1.2.11.1.2.1,Xi măng poóc lăngXi măng poóc lăngXi măng poóc lăng
1.1.2.21.1.2.21.1.2.2,Xi măng poóc lăng hỗn hợpXi măng poóc lăng hỗn hợpXi măng poóc lăng hỗn hợp
1.1.2.31.1.2.31.1.2.3,Xi măng poóc lăng bền sun phátXi măng poóc lăng bền sun phátXi măng poóc lăng bền sun phát
1.1.2.41.1.2.41.1.2.4,Xi măng aluminXi măng aluminXi măng alumin
1.1.2.51.1.2.51.1.2.5,Xi măng xỉ lò caoXi măng xỉ lò caoXi măng xỉ lò cao
1.1.2.61.1.2.61.1.2.6,Xi măng poóc lăng trắngXi măng poóc lăng trắngXi măng poóc lăng trắng
1.1.2.71.1.2.71.1.2.7,Xi măng ít tỏa nhiệtXi măng ít tỏa nhiệtXi măng ít tỏa nhiệt
1.1.2.81.1.2.81.1.2.8,Xi măng giếng khoanXi măng giếng khoanXi măng giếng khoan
1.1.2.91.1.2.91.1.2.9,Xi măng đa cấu tửXi măng đa cấu tửXi măng đa cấu tử
1.1.2.101.1.2.101.1.2.10,Các loại xi măng đặc biệt khácCác loại xi măng đặc biệt khácCác loại xi măng đặc biệt khác
1.1.31.1.31.1.3,Phụ gia khoáng tự nhiên dùng cho xi măngPhụ gia khoáng tự nhiên dùng cho xi măngPhụ gia khoáng tự nhiên dùng cho xi măng
1.21.21.2,Gạch gốm ốp látGạch gốm ốp látGạch gốm ốp lát
1.2.11.2.11.2.1,Gạch ceramicGạch ceramicGạch ceramic
