TTTTTT,"Tên sản phẩm, hàng hóa vật liệu xây dựngTên sản phẩm, hàng hóa vật liệu xâyTên sản phẩm, hàng hóa vật liệu xây  dựngdựng",Mã HSMã HSMã HS,Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*,
TTTTTT,"Tên sản phẩm, hàng hóa vật liệu xây dựngTên sản phẩm, hàng hóa vật liệu xâyTên sản phẩm, hàng hóa vật liệu xây  dựngdựng",Mã HSMã HSMã HS,Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*,
TTTTTT,"Tên sản phẩm, hàng hóa vật liệu xây dựngTên sản phẩm, hàng hóa vật liệu xâyTên sản phẩm, hàng hóa vật liệu xây  dựngdựng",Mã HSMã HSMã HS,Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*Phương thức đánh giá hợp quy*,
111,Xi măng:Xi măng:Xi măng:- Xi măng poóc lăng;- Xi măng poóc lăng;- Xi măng poóc lăng;- Xi măng poóc lăng hỗn hợp;- Xi măng poóc lăng hỗn hợp;- Xi măng poóc lăng hỗn hợp;- Xi măng poóc lăng bền sun phát.- Xi măng poóc lăng bền sun phát.- Xi măng poóc lăng bền sun phát.,2523.29.10;2523.29.10;2523.29.10;2523.29.902523.29.902523.29.90,"PT2, PT5, PT7PT2, PT5, PT7PT2, PT5, PT7",
222,Sơn tường- dạng nhũ tươngSơn tường- dạng nhũ tươngSơn tường- dạng nhũ tương,3209.10.903209.10.903209.10.90,"PT2. PT 5, PT 7PT2. PT 5, PT 7PT2. PT 5, PT 7",
333,"Ống và phụ tùng (phụ kiện ghép nối):Ống và phụ tùng (phụ kiện ghép nối):Ống và phụ tùng (phụ kiện ghép nối):- Bằng PE dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất;- Bằng PE dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất;- Bằng PE dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất;- Bằng PP dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất;- Bằng PP dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất;- Bằng PP dùng cho hệ thống cấp nước, thoát nước trong điều kiện có áp suất;- Bằng PVC dùng cho hệ thống cấp nước thoát nước trong điều kiện có áp suất;- Bằng PVC dùng cho hệ thống cấp nước thoát nước trong điều kiện có áp suất;- Bằng PVC dùng cho hệ thống cấp nước thoát nước trong điều kiện có áp suất;- Bằng nhựa nhiệt rắn gia cường bằng sợi thủy tinh (GRP) trên cơ sở nhựa polyeste không no (UP);- Bằng nhựa nhiệt rắn gia cường bằng sợi thủy tinh (GRP) trên cơ sở nhựa polyeste không no (UP);- Bằng nhựa nhiệt rắn gia cường bằng sợi thủy tinh (GRP) trên cơ sở nhựa polyeste không no (UP);- Bằng gang dẻo dùng cho các công trình dẫn nước.- Bằng gang dẻo dùng cho các công trình dẫn nước.- Bằng gang dẻo dùng cho các công trình dẫn nước.",3917.21.00; 3917.22.00; 3917.23.00; 3917.29.25; 3917.40.00; 7303.00.11; 7303.00.19; 7307.19.003917.21.00; 3917.22.00; 3917.23.00; 3917.29.25; 3917.40.00; 7303.00.11; 7303.00.19; 7307.19.003917.21.00; 3917.22.00; 3917.23.00; 3917.29.25; 3917.40.00; 7303.00.11; 7303.00.19; 7307.19.00,"PT2, PT 5, PT 7PT2, PT 5, PT 7PT2, PT 5, PT 7",
444,Ván gỗ nhân tạo:Ván gỗ nhân tạo:Ván gỗ nhân tạo:- Ván dăm (bao gồm các loại ván tương tự ván dăm);- Ván dăm (bao gồm các loại ván tương tự ván dăm);- Ván dăm (bao gồm các loại ván tương tự ván dăm);- Ván sợi sản xuất theo phương pháp khô;- Ván sợi sản xuất theo phương pháp khô;- Ván sợi sản xuất theo phương pháp khô;- Gỗ dán (bao gồm các loại gỗ ghép tương tự);- Gỗ dán (bao gồm các loại gỗ ghép tương tự);- Gỗ dán (bao gồm các loại gỗ ghép tương tự);- Ván ghép từ thanh dày và ván ghép từ thanh trung bình.- Ván ghép từ thanh dày và ván ghép từ thanh trung bình.- Ván ghép từ thanh dày và ván ghép từ thanh trung bình.,4410.11.00; 4410.12.00; 4410.19.00; 410.90.00; 4411.12.00; 4411.13.00; 4411.14.00; 4411. 92.00; 4411.93.00; 4411.94.00; 4412.10.00; 4412.31.00; 4412.33.00; 4412.34.00; 4412.39.00; 4412.41.10; 4412.41.90; 4412.49.00; 4412.51.00; 4412.52.00; 4412.59.00; 4412.91.10 4412.91.90; 4412.92.00; 4412.99.00; 4418.75.00; 4418.79.00; 4418.81.10; 4418.81.90; 4418.82.00; 4418.89.00; 4418.99.004410.11.00; 4410.12.00; 4410.19.00; 410.90.00; 4411.12.00; 4411.13.00; 4411.14.00; 4411. 92.00; 4411.93.00; 4411.94.00; 4412.10.00; 4412.31.00; 4412.33.00; 4412.34.00; 4412.39.00; 4412.41.10; 4412.41.90; 4412.49.00; 4412.51.00; 4412.52.00; 4412.59.00; 4412.91.10 4412.91.90; 4412.92.00; 4412.99.00; 4418.75.00; 4418.79.00; 4418.81.10; 4418.81.90; 4418.82.00; 4418.89.00; 4418.99.004410.11.00; 4410.12.00; 4410.19.00; 410.90.00; 4411.12.00; 4411.13.00; 4411.14.00; 4411. 92.00; 4411.93.00; 4411.94.00; 4412.10.00; 4412.31.00; 4412.33.00; 4412.34.00; 4412.39.00; 4412.41.10; 4412.41.90; 4412.49.00; 4412.51.00; 4412.52.00; 4412.59.00; 4412.91.10 4412.91.90; 4412.92.00; 4412.99.00; 4418.75.00; 4418.79.00; 4418.81.10; 4418.81.90; 4418.82.00; 4418.89.00; 4418.99.00,"PT2, PT 5, PT 7PT2, PT 5, PT 7PT2, PT 5, PT 7",
555,Đá ốp lát:Đá ốp lát:Đá ốp lát:- Đá ốp lát tự nhiên;- Đá ốp lát tự nhiên;- Đá ốp lát tự nhiên;- Đá ốp lát nhân tạo.- Đá ốp lát nhân tạo.- Đá ốp lát nhân tạo.,6802.21.00; 6802.23.00; 6802.29.10; 6802.29.90; 6802.91.10; 6802.91.90; 6802.92.90; 6802.93.10; 6802.99.00; 6810.19.10; 6810.19.906802.21.00; 6802.23.00; 6802.29.10; 6802.29.90; 6802.91.10; 6802.91.90; 6802.92.90; 6802.93.10; 6802.99.00; 6810.19.10; 6810.19.906802.21.00; 6802.23.00; 6802.29.10; 6802.29.90; 6802.91.10; 6802.91.90; 6802.92.90; 6802.93.10; 6802.99.00; 6810.19.10; 6810.19.90,"PT2, PT 5, PT 7PT2, PT 5, PT 7PT2, PT 5, PT 7",
666,Gạch gốm ốp látGạch gốm ốp látGạch gốm ốp lát,6907.21.91; 6907.21.92; 6907.21.93; 6907.21.94; 6907.22.91; 6907.22.92; 6907.22.93; 6907.22.94; 6907.23.91; 6907.23.92; 6907.23.93; 6907.23.946907.21.91; 6907.21.92; 6907.21.93; 6907.21.94; 6907.22.91; 6907.22.92; 6907.22.93; 6907.22.94; 6907.23.91; 6907.23.92; 6907.23.93; 6907.23.946907.21.91; 6907.21.92; 6907.21.93; 6907.21.94; 6907.22.91; 6907.22.92; 6907.22.93; 6907.22.94; 6907.23.91; 6907.23.92; 6907.23.93; 6907.23.94,"PT2, PT 5, PT 7PT2, PT 5, PT 7PT2, PT 5, PT 7",
777,Sản phẩm bê tông khí chưng ápSản phẩm bê tông khí chưng ápSản phẩm bê tông khí chưng áp,6810.99.006810.99.006810.99.00,"PT2, PT 5, PT 7PT2, PT 5, PT 7PT2, PT 5, PT 7",
