Số TT,Nội dung,"Tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối",Số vốn được giao,Số vốn đã giải ngân
,Tổng cộng (1+2+3+4),,,
1,Vốn đầu tư công,,,
1.1,Vốn ngân sách nhà nước,,,
,- Vốn ngân sách trung ương (ghi chi tiết vốn) + Vốn... + Vốn... - Vốn ngân sách địa phương (ghi chi tiết vốn) + Vốn... + Vốn...,,,
1.2,Vốn từ nguồn thu hợp pháp khác,,,
2,Vốn chi thường xuyên,,,
,- Vốn ngân sách trung ương (ghi chi tiết vốn)  + Vốn... + Vốn... - Vốn ngân sách địa phương (ghi chi tiết vốn)  + Vốn... + Vốn...,,,
3,Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật về đầu tư công,,,
,- Vốn ...,,,
,- Vốn ...,,,
4,Vốn khác (nếu có),,,
,- Vốn...,,,
,- Vốn,,,
