Số TTSố TTSố TT,Nội dungNội dungNội dung,Số liệu của chủ đầu tưSố liệu của chủ đầu tưSố liệu của chủ đầu tư — Số vốn được giaoSố vốn được giaoSố vốn được giao,Số liệu của chủ đầu tưSố liệu của chủ đầu tưSố liệu của chủ đầu tư — Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Số liệu của chủ đầu tưSố liệu của chủ đầu tưSố liệu của chủ đầu tư — Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Số liệu của chủ đầu tưSố liệu của chủ đầu tưSố liệu của chủ đầu tư — Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Số liệu của cơ quan thanh toánSố liệu của cơ quan thanh toánSố liệu của cơ quan thanh toán — Số vốn được giaoSố vốn được giaoSố vốn được giao,Số liệu của cơ quan thanh toánSố liệu của cơ quan thanh toánSố liệu của cơ quan thanh toán — Số vốn được giaoSố vốn được giaoSố vốn được giao,Số liệu của cơ quan thanh toánSố liệu của cơ quan thanh toánSố liệu của cơ quan thanh toán — Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Số liệu của cơ quan thanh toánSố liệu của cơ quan thanh toánSố liệu của cơ quan thanh toán — Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Số liệu của cơ quan thanh toánSố liệu của cơ quan thanh toánSố liệu của cơ quan thanh toán — Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Số liệu của cơ quan thanh toánSố liệu của cơ quan thanh toánSố liệu của cơ quan thanh toán — Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,Chênh lệchChênh lệchChênh lệch,Chênh lệchChênh lệchChênh lệch,Ghi chúGhi chúGhi chú,Ghi chúGhi chúGhi chú,col_17,col_18,col_19,col_20,col_21
Số TTSố TTSố TT,Nội dungNội dungNội dung,Số vốn được giaoSố vốn được giaoSố vốn được giao,Tổng sốTổng sốTổng số,Thanh toán khối lượng hoàn thànhThanh toán khối lượng hoàn thànhThanh toán khối lượng hoàn thành,Tạm ứngTạm ứngTạm ứng,Tạm ứngTạm ứngTạm ứng,,,Tổng SốTổng SốTổng Số,Thanh toán khối lượng hoàn thànhThanh toán khối lượng hoàn thànhThanh toán khối lượng hoàn thành,Tạm ứngTạm ứngTạm ứng,Tạm ứngTạm ứngTạm ứng,,,,,,,,
111,222,333,4=5+64=5+64=5+6,555,666,666,777,777,8=9+108=9+108=9+10,999,101010,101010,11=8-411=8-411=8-4,11=8-411=8-411=8-4,121212,121212,,,,
111,Lũy kế từ khởi côngLũy kế từ khởi côngLũy kế từ khởi công,,,,,,,,,,,,,,,,,,,
,- Vốn đầu tư công- Vốn đầu tư công- Vốn đầu tư công,,,,,,,,,,,,,,,,,,,
,- Vốn chi thường xuyên- Vốn chi thường xuyên- Vốn chi thường xuyên,,,,,,,,,,,,,,,,,,,
,- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công,,,,,,,,,,,,,,,,,,,
,- Vốn khác (nếu có)- Vốn khác (nếu có)- Vốn khác (nếu có),,,,,,,,,,,,,,,,,,,
222,Chi tiết theo nămChi tiết theo nămChi tiết theo năm,,,,,,,,,,,,,,,,,,,
2.12.12.1,Năm ...Năm ...Năm ...,,,,,,,,,,,,,,,,,,,
,- Vốn đầu tư công- Vốn đầu tư công- Vốn đầu tư công,,,,,,,,,,,,,,,,,,,
,- Vốn chi thường xuyên- Vốn chi thường xuyên- Vốn chi thường xuyên,,,,,,,,,,,,,,,,,,,
,- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công,,,,,,,,,,,,,,,,,,,
,- Vốn khác (nếu có)- Vốn khác (nếu có)- Vốn khác (nếu có),,,,,,,,,,,,,,,,,,,
2.22.22.2,Năm ...Năm ...Năm ...,,,,,,,,,,,,,,,,,,,
,- Vốn đầu tư công- Vốn đầu tư công- Vốn đầu tư công,,,,,,,,,,,,,,,,,,,
,- Vốn chi thường xuyên- Vốn chi thường xuyên- Vốn chi thường xuyên,,,,,,,,,,,,,,,,,,,
,- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công- Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật đầu tư công,,,,,,,,,,,,,,,,,,,
,- Vốn khác (nếu có)- Vốn khác (nếu có)- Vốn khác (nếu có),,,,,,,,,,,,,,,,,,,
