Số TTSố TTSố TT,Nội dung chi phíNội dung chi phíNội dung chi phí,"Tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) được phê duyệt hoặc điều chỉnh lần cuối","Tổng dự toán (dự toán công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng dự toán (dự toán công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng dự toán (dự toán công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối",Giá trị đề nghị quyết toánGiá trị đề nghị quyết toánGiá trị đề nghị quyết toán,"Nguyên nhân tăng, giảmNguyên nhân tăng, giảmNguyên nhân tăng, giảm"
111,222,333,444,555,666
,Tổng sốTổng sốTổng số(I+II+III+IV+V+VI+VII)(I+II+III+IV+V+VI+VII)(I+II+III+IV+V+VI+VII),,,,
III,"Bồi thường, hỗ trợ, tái định cưBồi thường, hỗ trợ, tái định cưBồi thường, hỗ trợ, tái định cư",,,,
111,.........,,,,
.........,,,,,
IIIIII,Xây dựngXây dựngXây dựng,,,,
111,.........,,,,
.........,,,,,
IIIIIIIII,Thiết bịThiết bịThiết bị,,,,
111,.........,,,,
………,,,,,
IVIVIV,Quản lý dự ánQuản lý dự ánQuản lý dự án,,,,
VVV,Tư vấnTư vấnTư vấn,,,,
111,.........,,,,
.........,,,,,
VIVIVI,Chi phí khácChi phí khácChi phí khác,,,,
111,.........,,,,
………,,,,,
VIIVIIVII,Dự phòngDự phòngDự phòng,,,,
