Số TTSố TTSố TT,Tên văn bảnTên văn bảnTên văn bản,"Số, ngày, tháng, năm ban hànhSố, ngày, tháng, năm ban hànhSố, ngày, tháng, năm ban hành",Tên cơ quan ban hànhTên cơ quan ban hànhTên cơ quan ban hành
III,Hồ sơ pháp lýHồ sơ pháp lýHồ sơ pháp lý,,
111,"Quyết định phê duyệt dự án, dự toánQuyết định phê duyệt dự án, dự toánQuyết định phê duyệt dự án, dự toán",,
222,Chủ trương lập quy hoạch hoặc chuẩn bị đầu tư dự ánChủ trương lập quy hoạch hoặc chuẩn bị đầu tư dự ánChủ trương lập quy hoạch hoặc chuẩn bị đầu tư dự án,,
333,Văn bản phê duyệt đề cương (đối với dự án quy hoạch)Văn bản phê duyệt đề cương (đối với dự án quy hoạch)Văn bản phê duyệt đề cương (đối với dự án quy hoạch),,
444,Văn bản phê duyệt dự toán chi phíVăn bản phê duyệt dự toán chi phíVăn bản phê duyệt dự toán chi phí,,
555,Văn bản phê duyệt dự án quy hoạch hoặc dự án chuẩn bị đầu tưVăn bản phê duyệt dự án quy hoạch hoặc dự án chuẩn bị đầu tưVăn bản phê duyệt dự án quy hoạch hoặc dự án chuẩn bị đầu tư,,
666,Văn bản cho phép dừng thực hiệnVăn bản cho phép dừng thực hiệnVăn bản cho phép dừng thực hiện,,
777,Các văn bản khác có liên quanCác văn bản khác có liên quanCác văn bản khác có liên quan,,
,.........,,
IIIIII,"Hợp đồng, phụ lục hợp đồng (nếu có)Hợp đồng, phụ lục hợp đồng (nếu có)Hợp đồng, phụ lục hợp đồng (nếu có)",,
111,.........,,
.........,.........,,
IIIIIIIII,"Kết luận của cơ quan Thanh tra, Kiểm toán nhà nước, kiểm tra, kết quả điều tra của các cơ quan pháp luật (trường hợp không có thì phải ghi cụ thể là “không có”)Kết luận của cơ quan Thanh tra, Kiểm toán nhà nước, kiểm tra, kết quả điều tra của các cơ quan pháp luậtKết luận của cơ quan Thanh tra, Kiểm toán nhà nước, kiểm tra, kết quả điều tra của các cơ quan pháp luật (trường hợp không có thì phải ghi cụ thể là  (trường hợp không có thì phải ghi cụ thể là “không có”“không có”))",,
111,.........,,
………,.........,,
