Số TTSố TTSố TT,Nội dungNội dungNội dung,"Tổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuốiTổng mức đầu tư (của dự án, dự án thành phần, tiểu dự án độc lập) hoặc dự toán (công trình, hạng mục công trình độc lập) được phê duyệt hoặc điều chỉnh lần cuối",Số vốn được giaoSố vốn được giaoSố vốn được giao,Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân
,Tổng cộng (1+2+3+4)Tổng cộng (1+2+3+4)Tổng cộng (1+2+3+4),,,
111,Vốn đầu tư côngVốn đầu tư côngVốn đầu tư công,,,
1.11.11.1,Vốn ngân sách nhà nướcVốn ngân sách nhà nướcVốn ngân sách nhà nước,,,
,- Vốn ngân sách trung ương (ghi chi tiết vốn)- Vốn ngân sách trung ương (ghi chi tiết vốn)- Vốn ngân sách trung ương (ghi chi tiết vốn)+ Vốn ...+ Vốn ...+ Vốn ...+ Vốn...+ Vốn...+ Vốn...- Vốn ngân sách địa phương (ghi chi tiết vốn) - Vốn ngân sách địa phương (ghi chi tiết vốn) - Vốn ngân sách địa phương (ghi chi tiết vốn) + Vốn ...+ Vốn ...+ Vốn ...+ Vốn ...+ Vốn ...+ Vốn ...,,,
1.21.21.2,Vốn từ nguồn thu hợp pháp khácVốn từ nguồn thu hợp pháp khácVốn từ nguồn thu hợp pháp khác,,,
222,Vốn chi thường xuyênVốn chi thường xuyênVốn chi thường xuyên,,,
,- Vốn ngân sách trung ương (ghi chi tiết vốn) - Vốn ngân sách trung ương (ghi chi tiết vốn) - Vốn ngân sách trung ương (ghi chi tiết vốn) + Vốn ...+ Vốn ...+ Vốn ...+ Vốn ...+ Vốn ...+ Vốn ...- Vốn ngân sách địa phương (ghi chi tiết vốn) - Vốn ngân sách địa phương (ghi chi tiết vốn) - Vốn ngân sách địa phương (ghi chi tiết vốn) + Vốn...+ Vốn...+ Vốn...+ Vốn ...+ Vốn ...+ Vốn ...,,,
333,Vốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật về đầu tư côngVốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật về đầu tư côngVốn ngân sách nhà nước khác không thuộc phạm vi điều chỉnh của pháp luật về đầu tư công,,,
,- Vốn...- Vốn...- Vốn...,,,
,- Vốn...- Vốn...- Vốn...,,,
444,Vốn khác (nếu có)Vốn khác (nếu có)Vốn khác (nếu có),,,
,- Vốn...- Vốn...- Vốn...,,,
,- Vốn...- Vốn...- Vốn...,,,
