Số TTSố TTSố TT,Nội dungNội dungNội dung,Chủ đầu tưChủ đầu tưChủ đầu tư,Tổng mức đầu tư được phê duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được phê duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được phê duyệt hoặc điều chỉnh lần cuối của dự án,Giá trị quyết toán do chủ đầu tư đề nghịGiá trị quyết toán do chủ đầu tư đề nghịGiá trị quyết toán do chủ đầu tư đề nghị,Số vốn đã giải ngânSố vốn đã giải ngânSố vốn đã giải ngân,"Quyết định phê duyệt quyết toánQuyết định phê duyệt quyết toánQuyết định phê duyệt quyết toán — Số, ngày, tháng, nămSố, ngày, tháng, nămSố, ngày, tháng, năm",Quyết định phê duyệt quyết toánQuyết định phê duyệt quyết toánQuyết định phê duyệt quyết toán — Giá trị được phê duyệtGiá trị được phê duyệtGiá trị được phê duyệt,Quyết định phê duyệt quyết toánQuyết định phê duyệt quyết toánQuyết định phê duyệt quyết toán — Người chức vụNgười chức vụNgười chức vụ,Ghi chúGhi chúGhi chú
,Tổng số (1+2+3)Tổng số (1+2+3)Tổng số (1+2+3),Tổng số (1+2+3)Tổng số (1+2+3)Tổng số (1+2+3),,,,,,,
111,Dự án chínhDự án chínhDự án chính,,,,,,,,
,- …- …- …,,,,,,,,
,- …- …- …,,,,,,,,
222,"Dự án thành phần, tiểu dự ánDự án thành phần, tiểu dự ánDự án thành phần, tiểu dự án",,,,,,,,
,- …- …- …,,,,,,,,
,- …- …- …,,,,,,,,
333,"Dự án thành phần, tiểu dự ánDự án thành phần, tiểu dự ánDự án thành phần, tiểu dự án",,,,,,,,
,-...-...-...,,,,,,,,
,- …- …- …,,,,,,,,
