Số TTSố TTSố TT,Nội dungNội dungNội dung,Tổng số dự ánTổng số dự ánTổng số dự án,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Số dự ánSố dự ánSố dự án,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Tổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự án,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Tổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự án,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuGiá trị đề nghị quyết toán hoặc giá trịGiá trị đề nghị quyết toán hoặc giá trị  khối lượng hoàn thành được nghiệm thukhối lượng hoàn thành được nghiệm thu,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuGiá trị đề nghị quyết toán hoặc giá trịGiá trị đề nghị quyết toán hoặc giá trị  khối lượng hoàn thành được nghiệm thukhối lượng hoàn thành được nghiệm thu,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có),Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có),Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Vốn đã giải ngânVốn đã giải ngânVốn đã giải ngân,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Vốn đã giải ngânVốn đã giải ngânVốn đã giải ngân,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Vốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Vốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Vốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Trong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy địnhTrong thời gian quyết toán theo quy định — Số dự ánSố dự ánSố dự án,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Số dự ánSố dự ánSố dự án,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Số dự ánSố dự ánSố dự án,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Tổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự án,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Tổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự án,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Tổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự ánTổng mức đầu tư được duyệt hoặc điều chỉnh lần cuối của dự án,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Giá trị chủ đầu tư đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuGiá trị chủ đầu tư đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuGiá trị chủ đầu tư đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Giá trị chủ đầu tư đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuGiá trị chủ đầu tư đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuGiá trị chủ đầu tư đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có),Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có)Giá trị quyết toán được duyệt (nếu có),Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Vốn đã giải ngânVốn đã giải ngânVốn đã giải ngân,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Vốn đã giải ngânVốn đã giải ngânVốn đã giải ngân,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Vốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Vốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán — Vốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thuVốn đầu  tư công còn lại phải bố trí đến thời điểm báo cáo so với giá trị quyết toán được duyệt hoặc giá trị đề nghị quyết toán hoặc giá trị khối lượng hoàn thành được nghiệm thu,Vi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toánVi phạm quy định về thời gian quyết toán,col_32
Số TTSố TTSố TT,Nội dungNội dungNội dung,Tổng số dự ánTổng số dự ánTổng số dự án,Số dự ánSố dự ánSố dự án,Tổng sốTổng sốTổng số,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,,,,,,,Tổng sốTổng sốTổng số,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,,,Tổng sốTổng sốTổng số,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,,,,,,,Tổng sốTổng sốTổng số,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương,Trong đó: ngân sách trung ươngTrong đó: ngân sách trung ươngTrong đó: ngân sách trung ương
111,222,3= 4+123= 4+123= 4+12,444,555,666,666,777,777,888,888,999,999,101010,111111,111111,111111,121212,121212,131313,141414,141414,151515,151515,161616,161616,171717,171717,181818,191919,191919,191919
AAA,Tổng số dự án hoàn thành và dự án dừng thực hiện (I+II+III)Tổng số dự án hoàn thành và dự án dừng thực hiện (I+II+III)Tổng số dự án hoàn thành và dự án dừng thực hiện (I+II+III),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
III,Dự án hoàn thành và dự án dừng thực hiện đã được phê duyệt quyết toán (1+2)Dự án hoàn thành và dự án dừng thực hiện đã được phê duyệt quyết toán (1+2)Dự án hoàn thành và dự án dừng thực hiện đã được phê duyệt quyết toán (1+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Dự án hoàn thành và dự án dừng thực hiện các năm trướcDự án hoàn thành và dự án dừng thực hiện các năm trướcDự án hoàn thành và dự án dừng thực hiện các năm trước,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Dự án hoàn thành và dự án dừng thực hiện trong năm báo cáoDự án hoàn thành và dự án dừng thực hiện trong năm báo cáoDự án hoàn thành và dự án dừng thực hiện trong năm báo cáo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIIIII,"Dự án hoàn thành và dự án dừng thực hiện đã nộp hồ sơ quyết toán, chưa được phê duyệt quyết toán (1+2)Dự án hoàn thành và dự án dừng thực hiện đã nộp hồ sơ quyết toán, chưa được phê duyệt quyết toán (1+2)Dự án hoàn thành và dự án dừng thực hiện đã nộp hồ sơ quyết toán, chưa được phê duyệt quyết toán (1+2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toánDự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toánDự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thẩm traThẩm traThẩm tra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Dự án hoàn thành và dự án dừng thực hiện các năm trướcDự án hoàn thành và dự án dừng thực hiện các năm trướcDự án hoàn thành và dự án dừng thực hiện các năm trước,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toánDự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toánDự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thẩm traThẩm traThẩm tra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Dự án hoàn thành và dự án dừng thực hiện trong năm báo cáoDự án hoàn thành và dự án dừng thực hiện trong năm báo cáoDự án hoàn thành và dự án dừng thực hiện trong năm báo cáo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toánDự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toánDự án hoàn thành và dự án dừng thực hiện đã trình người có thẩm quyền phê duyệt quyết toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Thẩm traThẩm traThẩm tra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IIIIIIIII,Dự án hoàn thành và dự án dừng thực hiện chưa nộp hồ sơ quyết toán (1+2)Dự án hoàn thành và dự án dừng thực hiện chưa nộp hồ sơ quyết toán (1+2)Dự án hoàn thành và dự án dừng thực hiện chưa nộp hồ sơ quyết toán (1+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Dự án hoàn thành và dự án dừng thực hiện các năm trướcDự án hoàn thành và dự án dừng thực hiện các năm trướcDự án hoàn thành và dự án dừng thực hiện các năm trước,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Dự án hoàn thành và dự án dừng thực hiện trong năm báo cáoDự án hoàn thành và dự án dừng thực hiện trong năm báo cáoDự án hoàn thành và dự án dừng thực hiện trong năm báo cáo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BBB,Dự án hoàn thành và dự án dừng thực hiện ở địa phương  theo phân cấp quản lý (1+2)Dự án hoàn thành và dự án dừng thực hiện ở địa phương  theo phân cấp quản lý (1+2)Dự án hoàn thành và dự án dừng thực hiện ở địa phương  theo phân cấp quản lý (1+2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Dự án do cấp tỉnh quản lýDự án do cấp tỉnh quản lýDự án do cấp tỉnh quản lý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaa,"Phê duyệt (gồm cả dự án đã trình, nhưng chưa được phê duyệt)Phê duyệt (gồm cả dự án đã trình, nhưng chưa được phê duyệt)Phê duyệt (gồm cả dự án đã trình, nhưng chưa được phê duyệt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,Thẩm traThẩm traThẩm tra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccc,Chưa nộp hồ sơ quyết toánChưa nộp hồ sơ quyết toánChưa nộp hồ sơ quyết toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,Dự án do cấp xã quản lýDự án do cấp xã quản lýDự án do cấp xã quản lý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaa,"Phê duyệt (gồm cả dự án đã trình, nhưng chưa được phê duyệt)Phê duyệt (gồm cả dự án đã trình, nhưng chưa được phê duyệt)Phê duyệt (gồm cả dự án đã trình, nhưng chưa được phê duyệt)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bbb,Thẩm traThẩm traThẩm tra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccc,Chưa nộp hồ sơ quyết toánChưa nộp hồ sơ quyết toánChưa nộp hồ sơ quyết toán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
