Số TTSố TTSố TT,Danh mụcDanh mụcDanh mục,Đơn vị tínhĐơn vị tínhĐơn vị tính,Số lượngSố lượngSố lượng
III,Hồ sơ đã nộp:Hồ sơ đã nộp:Hồ sơ đã nộp:,,
111,Văn bản đề nghị phê duyệt quyết toán vốn đầu tư dự án của chủ đầu tư ngày ... tháng ... năm ...Văn bản đề nghị phê duyệt quyết toán vốn đầu tư dự án của chủ đầu tư ngày ... tháng ... năm ...Văn bản đề nghị phê duyệt quyết toán vốn đầu tư dự án của chủ đầu tư ngày ... tháng ... năm ...,,
222,Báo cáo quyết toán vốn đầu tư dự án lập ngày ... tháng ... năm ... gồm ... mẫu biểu báo cáo theo quy định.Báo cáo quyết toán vốn đầu tư dự án lập ngày ... tháng ... năm ... gồm ... mẫu biểu báo cáo theo quy định.Báo cáo quyết toán vốn đầu tư dự án lập ngày ... tháng ... năm ... gồm ... mẫu biểu báo cáo theo quy định.,,
333,"Các văn bản pháp lý có liên quan theo Mẫu số 02/QTDA (ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển)Các văn bản pháp lý có liên quan theo Các văn bản pháp lý có liên quan theo Mẫu số 02/QTDAMẫu số 02/QTDA  (ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển)(ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển)",,
444,"- Tập các hợp đồng: (ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển)- Tập các hợp đồng: - Tập các hợp đồng: (ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển)(ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển)- Biên bản thanh lý hợp đồng (nếu có): ghi rõ của hợp đồng nào?- Biên bản thanh lý hợp đồng - Biên bản thanh lý hợp đồng (nếu có): ghi rõ của hợp đồng nào?(nếu có): ghi rõ của hợp đồng nào?",,
555,"Biên bản nghiệm thu hoàn thành bộ phận công trình, giai đoạn thi công xây dựng công trình, nghiệm thu lắp đặt thiết bị (ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển), Biên bản nghiệm thu đưa vào sử dụng (nếu có)Biên bản nghiệm thu hoàn thành bộ phận công trình, giai đoạn thi công xây dựng công trình, nghiệm thu lắp đặt thiết bị Biên bản nghiệm thu hoàn thành bộ phận công trình, giai đoạn thi công xây dựng công trình, nghiệm thu lắp đặt thiết bị (ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển)(ghi rõ số/ký hiệu nếu để rời, ghi tổng số nếu đóng quyển), Biên bản nghiệm thu đưa vào sử dụng (nếu có), Biên bản nghiệm thu đưa vào sử dụng (nếu có)",,
666,"Quyết toán A-B, gồm có:Quyết toán A-B, gồm có:Quyết toán A-B, gồm có:- …- …- …",,
777,- Báo cáo kết quả kiểm toán độc lập (nếu có).- Báo cáo kết quả kiểm toán độc lập (nếu có).- Báo cáo kết quả kiểm toán độc lập (nếu có).- Ý kiến của chủ đầu tư về báo cáo kiểm toán độc lập.- Ý kiến của chủ đầu tư về báo cáo kiểm toán độc lập.- Ý kiến của chủ đầu tư về báo cáo kiểm toán độc lập.,,
888,"- Kết luận thanh tra, biên bản kiểm tra, điều tra của cơ quan có thẩm quyền, Báo cáo kiểm toán của Kiểm toán nhà nước (Trường hợp không có đề nghị ghi rõ).- Kết luận thanh tra, biên bản kiểm tra, điều tra của cơ quan có thẩm quyền, Báo cáo kiểm toán của Kiểm toán nhà nước (Trường hợp không có đề nghị ghi rõ).- Kết luận thanh tra, biên bản kiểm tra, điều tra của cơ quan có thẩm quyền, Báo cáo kiểm toán của Kiểm toán nhà nước (Trường hợp không có đề nghị ghi rõ).- Báo cáo tình hình chấp hành kết luận thanh tra, kiểm tra, điều tra, kiểm toán (nêu trên).- Báo cáo tình hình chấp hành kết luận thanh tra, kiểm tra, điều tra, kiểm toán (nêu trên).- Báo cáo tình hình chấp hành kết luận thanh tra, kiểm tra, điều tra, kiểm toán (nêu trên).",,
IIIIII,Hồ sơ còn thiếu:Hồ sơ còn thiếu:Hồ sơ còn thiếu:,,
111,............,,
IIIIIIIII,Hồ sơ đề nghị bổ sung:Hồ sơ đề nghị bổ sung:Hồ sơ đề nghị bổ sung:,,
111,............,,
Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...,Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...,Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...,Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...Thời hạn hoàn chỉnh hồ sơ nộp trước ngày ... tháng ... năm ...
