Số TTSố TTSố TT,Nội dungNội dungNội dung,Ký hiệuKý hiệuKý hiệu
III,Chi phí quản lý dự án:Chi phí quản lý dự án:Chi phí quản lý dự án:,GQLDAGGQLDAQLDA
IIIIII,"Các khoản chi phí tư vấn do chủ đầu tư, BQLDA tự thực hiện:Các khoản chi phí tư vấn do chủ đầu tư, BQLDA tự thực hiện:Các khoản chi phí tư vấn do chủ đầu tư, BQLDA tự thực hiện:",GTVGGTVTV
111,..................,
.........,..................,
IIIIIIIII,"Chi khác do chủ đầu tư, BQLDA được phép thực hiện theo quy định của pháp luật (nếu có):Chi khác do chủ đầu tư, BQLDA được phép thực hiện theo quy định của pháp luật (nếu có):Chi khác do chủ đầu tư, BQLDA được phép thực hiện theo quy định của pháp luật (nếu có):",GKGGKK
111,..................,
.........,..................,
IVIVIV,Dự kiến những công việc thuộc chi phí QLDA cần phải thuê tư vấn (nếu có):Dự kiến những công việc thuộc chi phí QLDA cần phải thuê tư vấn (nếu có):Dự kiến những công việc thuộc chi phí QLDA cần phải thuê tư vấn (nếu có):,GTGGTT
111,..................,
.........,..................,
VVV,"Tổng mức kinh phí do chủ đầu tư, BQLDA được sử dụngTổng mức kinh phí do chủ đầu tư, BQLDA được sử dụngTổng mức kinh phí do chủ đầu tư, BQLDA được sử dụng(V = I + II + III - IV)(V = I + II + III - IV)(V = I + II + III - IV)GQLDA (CĐT) = GQLDA + GTV + GK - GTGGQLDA (CĐT)QLDA (CĐT)  = = GGQLDAQLDA +  + GGTVTV +  + GGKK  -- G GTTTrong đó: - Chủ đầu tư sử dụng:Trong đó: - Chủ đầu tư sử dụng:Trong đó: - Chủ đầu tư sử dụng:                - BQLDA sử dụng:                - BQLDA sử dụng:                - BQLDA sử dụng:",GQLDA (CĐT)GGQLDA (CĐT)QLDA (CĐT)
