Số TTSố TTSố TT,Danh mục dự ánDanh mục dự ánDanh mục dự án,Tổng nguồn thu theo dự ánTổng nguồn thu theo dự ánTổng nguồn thu theo dự án,Lũy kế nguồn đã thu các năm trướcLũy kế nguồn đã thu các năm trướcLũy kế nguồn đã thu các năm trước,Nguồn thu năm kế hoạchNguồn thu năm kế hoạchNguồn thu năm kế hoạch — Tổng sốTổng sốTổng số,Nguồn thu năm kế hoạchNguồn thu năm kế hoạchNguồn thu năm kế hoạch — Nguồn thu được sử dụng trong nămNguồn thu được sử dụng trong nămNguồn thu được sử dụng trong năm,Nguồn thu năm kế hoạchNguồn thu năm kế hoạchNguồn thu năm kế hoạch — Nguồn thu được sử dụng trong nămNguồn thu được sử dụng trong nămNguồn thu được sử dụng trong năm,Nguồn thu năm kế hoạchNguồn thu năm kế hoạchNguồn thu năm kế hoạch — Nguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụng,Nguồn còn lại thu các năm sauNguồn còn lại thu các năm sauNguồn còn lại thu các năm sau,col_10,col_11
Số TTSố TTSố TT,Danh mục dự ánDanh mục dự ánDanh mục dự án,Tổng nguồn thu theo dự ánTổng nguồn thu theo dự ánTổng nguồn thu theo dự án,Lũy kế nguồn đã thu các năm trướcLũy kế nguồn đã thu các năm trướcLũy kế nguồn đã thu các năm trước,Tổng sốTổng sốTổng số,Số tiềnSố tiềnSố tiền,Tỷ lệ (%)Tỷ lệ (%)Tỷ lệ (%),Nguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụng,Nguồn còn lại thu các năm sauNguồn còn lại thu các năm sauNguồn còn lại thu các năm sau,,
111,222,333,444,555,666,777,8= 5-68= 5-68= 5-6,9=3-4-59=3-4-59=3-4-5,,
AAA,Tổng nguồn thu (A= I+II+III+IV+V)Tổng nguồn thuTổng nguồn thu (A= I+II+III+IV+V)(A= I+II+III+IV+V),Tổng nguồn thu (A= I+II+III+IV+V)Tổng nguồn thuTổng nguồn thu (A= I+II+III+IV+V)(A= I+II+III+IV+V),Tổng nguồn thu (A= I+II+III+IV+V)Tổng nguồn thuTổng nguồn thu (A= I+II+III+IV+V)(A= I+II+III+IV+V),,,100100100,,,,
III,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,,,,,,,
111,Từ dự án được giao quản lýTừ dự án được giao quản lýTừ dự án được giao quản lý,Từ dự án được giao quản lýTừ dự án được giao quản lýTừ dự án được giao quản lý,Từ dự án được giao quản lýTừ dự án được giao quản lýTừ dự án được giao quản lý,,,,,,,
222,Từ nguồn hợp pháp khác của đơn vịTừ nguồn hợp pháp khác của đơn vịTừ nguồn hợp pháp khác của đơn vị,Từ nguồn hợp pháp khác của đơn vịTừ nguồn hợp pháp khác của đơn vịTừ nguồn hợp pháp khác của đơn vị,Từ nguồn hợp pháp khác của đơn vịTừ nguồn hợp pháp khác của đơn vịTừ nguồn hợp pháp khác của đơn vị,,,,,,,
IIIIII,Nguồn thu từ chi phí của dự án được giao quản lý1Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý11,Nguồn thu từ chi phí của dự án được giao quản lý1Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý11,Nguồn thu từ chi phí của dự án được giao quản lý1Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý11,,,,,,,
111,Nguồn trích chi phí quản lý dự ánNguồn trích chi phí quản lý dự ánNguồn trích chi phí quản lý dự án,Nguồn trích chi phí quản lý dự ánNguồn trích chi phí quản lý dự ánNguồn trích chi phí quản lý dự án,Nguồn trích chi phí quản lý dự ánNguồn trích chi phí quản lý dự ánNguồn trích chi phí quản lý dự án,,,,,,,
1.11.11.1,Dự án...Dự án...Dự án...,,,,,,,,,
1.21.21.2,Dự án...Dự án...Dự án...,,,,,,,,,
.........,.........,,,,,,,,,
222,Nguồn thu khác từ dự án được giao quản lýNguồn thu khác từ dự án được giao quản lýNguồn thu khác từ dự án được giao quản lý,Nguồn thu khác từ dự án được giao quản lýNguồn thu khác từ dự án được giao quản lýNguồn thu khác từ dự án được giao quản lý,Nguồn thu khác từ dự án được giao quản lýNguồn thu khác từ dự án được giao quản lýNguồn thu khác từ dự án được giao quản lý,,,,,,,
2.12.12.1,Nguồn thu từ chi phí quản lý dự ánNguồn thu từ chi phí quản lý dự ánNguồn thu từ chi phí quản lý dự án,Nguồn thu từ chi phí quản lý dự ánNguồn thu từ chi phí quản lý dự ánNguồn thu từ chi phí quản lý dự án,Nguồn thu từ chi phí quản lý dự ánNguồn thu từ chi phí quản lý dự ánNguồn thu từ chi phí quản lý dự án,,,,,,,
(1)(1)(1),Dự án...Dự án...Dự án...,,,,,,,,,
