Số TTSốSố  TTTT,Nội dungNội dungNội dung,"Năm báo cáoNăm báo cáoNăm báo cáo — Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)","Năm báo cáoNăm báo cáoNăm báo cáo — Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)","Năm báo cáoNăm báo cáoNăm báo cáo — Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)Dự toán được duyệt (điều chỉnh, bổ sung, nếu có)",Năm báo cáoNăm báo cáoNăm báo cáo — Ước thực hiệnƯớc thực hiệnƯớc thực hiện,Năm báo cáoNăm báo cáoNăm báo cáo — Ước thực hiệnƯớc thực hiệnƯớc thực hiện,Năm báo cáoNăm báo cáoNăm báo cáo — Ước thực hiệnƯớc thực hiệnƯớc thực hiện,Dự kiến mức chi năm kế hoạchDự kiến mức chi năm kế hoạchDự kiến mức chi năm kế hoạch,Dự kiến mức chi năm kế hoạchDự kiến mức chi năm kế hoạchDự kiến mức chi năm kế hoạch,Dự kiến mức chi năm kế hoạchDự kiến mức chi năm kế hoạchDự kiến mức chi năm kế hoạch,Ghi chúGhi chúGhi chú,Ghi chúGhi chúGhi chú,col_14,col_15,col_16,col_17,col_18,col_19,col_20
Số TTSốSố  TTTT,Nội dungNội dungNội dung,Tổng sốTổng sốTổng số,Trong đóTrong đóTrong đó,Trong đóTrong đóTrong đó,Tổng sốTổng sốTổng số,Trong đóTrong đóTrong đó,Trong đóTrong đóTrong đó,Tổng sốTổng sốTổng số,Trong đóTrong đóTrong đó,Trong đóTrong đóTrong đó,Trong đóTrong đóTrong đó,,,,,,,,
Số TTSốSố  TTTT,Nội dungNội dungNội dung,Tổng sốTổng sốTổng số,Chi từ dự án được giao quản lýChi từ dự án được giao quản lýChi từ dự án được giao quản lý,Chi từ nguồn hợp pháp khác của đơn vịChi từ nguồn hợp pháp khác của đơn vịChi từ nguồn hợp pháp khác của đơn vị,Tổng sốTổng sốTổng số,Chi từ dự án được giao quản lýChi từ dự án được giao quản lýChi từ dự án được giao quản lý,Chi tư Chi từ nguồn hợp pháp khác của đơn vịChi tư Chi từ nguồn hợp pháp khác của đơn vịChi tư Chi từ nguồn hợp pháp khác của đơn vị,Tổng sốTổng sốTổng số,Chi từ dự án được giao quản lýChi từ dự án được giao quản lýChi từ dự án được giao quản lý,Chi từ nguồn hợp pháp khác của đơn vịChi từ nguồn hợp pháp khác của đơn vịChi từ nguồn hợp pháp khác của đơn vị,Chi từ nguồn hợp pháp khác của đơn vịChi từ nguồn hợp pháp khác của đơn vịChi từ nguồn hợp pháp khác của đơn vị,,,,,,,,
111,222,3=4+53=4+53=4+5,444,555,6=7+86=7+86=7+8,777,888,9=10+119=10+119=10+11,101010,111111,111111,121212,121212,,,,,,
BBB,Tổng cộng (B=I+II+III)Tổng cộngTổng cộng (B=I+II+III)(B=I+II+III),,,,,,,,,,,,,,,,,,
III,Chi thường xuyên giao tự chủChi thường xuyên giao tự chủChi thường xuyên giao tự chủ,,,,,,,,,,,,,,,,,,
111,Tiền lươngTiền lươngTiền lương,,,,,,,,,,,,,,,,,,
222,Các khoản phụ cấp lươngCác khoản phụ cấp lươngCác khoản phụ cấp lương,,,,,,,,,,,,,,,,,,
333,Các khoản trích nộp theo lươngCác khoản trích nộp theo lươngCác khoản trích nộp theo lương,,,,,,,,,,,,,,,,,,
444,Làm thêm giờLàm thêm giờLàm thêm giờ,,,,,,,,,,,,,,,,,,
555,Khen thưởngKhen thưởngKhen thưởng,,,,,,,,,,,,,,,,,,
666,Chi phúc lợi tập thểChi phúc lợi tập thểChi phúc lợi tập thể,,,,,,,,,,,,,,,,,,
777,Thanh toán dịch vụ công cộngThanh toán dịch vụ công cộngThanh toán dịch vụ công cộng,,,,,,,,,,,,,,,,,,
888,Mua vật tư văn phòngMua vật tư văn phòngMua vật tư văn phòng,,,,,,,,,,,,,,,,,,
999,"Thanh toán thông tin, tuyên truyền, liên lạcThanh toán thông tin, tuyên truyền, liên lạcThanh toán thông tin, tuyên truyền, liên lạc",,,,,,,,,,,,,,,,,,
101010,"Hội nghị, Hội thảoHội nghị, Hội thảoHội nghị, Hội thảo",,,,,,,,,,,,,,,,,,
111111,Thanh toán công tác phíThanh toán công tác phíThanh toán công tác phí,,,,,,,,,,,,,,,,,,
121212,Thuê mướnThuê mướnThuê mướn,,,,,,,,,,,,,,,,,,
131313,Đoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoài,,,,,,,,,,,,,,,,,,
141414,Đoàn vàoĐoàn vàoĐoàn vào,,,,,,,,,,,,,,,,,,
151515,Chi sửa chữa thường xuyên tài sảnChi sửa chữa thường xuyên tài sảnChi sửa chữa thường xuyên tài sản,,,,,,,,,,,,,,,,,,
161616,Mua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lý,,,,,,,,,,,,,,,,,,
171717,Chi khácChi khácChi khác,,,,,,,,,,,,,,,,,,
181818,Chi dự phòngChi dự phòngChi dự phòng,,,,,,,,,,,,,,,,,,
IIIIII,NSNN cấp cho chi thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụ,,,,,,,,,,,,,,,,,,
IIIIIIIII,NSNN cấp cho chi không thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi không thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi không thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụ,,,,,,,,,,,,,,,,,,
