Số TTSố TTSố TT,Nội dungNội dungNội dung,Tổng sốTổng sốTổng số,Trong đóTrong đóTrong đó — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Trong đóTrong đóTrong đó — Thu hợp pháp khác của đơn vịThu hợp pháp khác của đơn vịThu hợp pháp khác của đơn vị,Trong đóTrong đóTrong đó,Ghi chúGhi chúGhi chú,Ghi chúGhi chúGhi chú
111,222,3=4+53=4+53=4+5,444,555,666,666,
AAA,DỰ TOÁN THUDỰ TOÁN THUDỰ TOÁN THU,,,,,,
III,Tổng cộng: (1)Tổng cộng: Tổng cộng: (1)(1)(I = 1+2+3+4+5)(I = 1+2+3+4+5)(I = 1+2+3+4+5),,,,,,
111,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,,,,,,
222,Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý,,,,,,
333,"Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)",,,,,,
444,Nguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vị,,,,,,
555,Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có),,,,,,
BBB,DỰ TOÁN CHI(2)DỰ TOÁN CHIDỰ TOÁN CHI(2)(2),,,,,,
III,Tổng cộng (3)Tổng cộng Tổng cộng (3)(3)(I= 1+2+3+...+18)(I= 1+2+3+...+18)(I= 1+2+3+...+18),,,,,,
111,Tiền lươngTiền lươngTiền lương,,,,,,
222,Các khoản phụ cấp lươngCác khoản phụ cấp lươngCác khoản phụ cấp lương,,,,,,
333,Các khoản trích nộp theo lươngCác khoản trích nộp theo lươngCác khoản trích nộp theo lương,,,,,,
444,Làm thêm giờLàm thêm giờLàm thêm giờ,,,,,,
555,Khen thưởngKhen thưởngKhen thưởng,,,,,,
666,Chi phúc lợi tập thểChi phúc lợi tập thểChi phúc lợi tập thể,,,,,,
777,Thanh toán dịch vụThanh toán dịch vụThanh toán dịch vụ,,,,,,
888,Mua vật tư văn phòngMua vật tư văn phòngMua vật tư văn phòng,,,,,,
999,"Thanh toán thông tin, tuyên truyền, liên lạcThanh toán thông tin, tuyên truyền, liên lạcThanh toán thông tin, tuyên truyền, liên lạc",,,,,,
101010,"Hội nghị, Hội thảoHội nghị, Hội thảoHội nghị, Hội thảo",,,,,,
111111,Thanh toán công tác phíThanh toán công tác phíThanh toán công tác phí,,,,,,
121212,Thuê mướnThuê mướnThuê mướn,,,,,,
131313,Đoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoài,,,,,,
141414,Đoàn vàoĐoàn vàoĐoàn vào,,,,,,
151515,Sửa chữa thường xuyên tài sảnSửa chữa thường xuyên tài sảnSửa chữa thường xuyên tài sản,,,,,,
161616,Mua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lý,,,,,,
171717,Chi khácChi khácChi khác,,,,,,
181818,Chi dự phòngChi dự phòngChi dự phòng,,,,,,
