Số TTSố TTSố TT,Nội dungNội dungNội dung,Tổng sốTổng sốTổng số,Trong đóTrong đóTrong đó — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Trong đóTrong đóTrong đó — Nguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vị,Trong đóTrong đóTrong đó,Ghi chúGhi chúGhi chú,Ghi chúGhi chúGhi chú
111,222,3=4+53=4+53=4+5,444,555,666,666,
AAA,DỰ TOÁN THUDỰ TOÁN THUDỰ TOÁN THU,,,,,,
III,Tổng thu (I = 1+2+3+4+5)Tổng thuTổng thu (I = 1+2+3+4+5)(I = 1+2+3+4+5),,,,,,
111,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,,,,,,
222,Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý,,,,,,
333,"Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)",,,,,,
444,Nguồn hợp pháp khác của đơn vị (nếu có)Nguồn hợp pháp khác của đơn vị (nếu có)Nguồn hợp pháp khác của đơn vị (nếu có),,,,,,
555,Nguồn ngân sách nhà nước cấp (nếu có)Nguồn ngân sách nhà nước cấp (nếu có)Nguồn ngân sách nhà nước cấp (nếu có),,,,,,
IIIIII,Nguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụng,,,,,,
IIIIIIIII,Nguồn thu được sử dụng trong năm (III = I - II)Nguồn thu được sử dụng trong nămNguồn thu được sử dụng trong năm (III = I - II)(III = I - II),(e) = (a)+(b)+(c)(e) = (a)+(b)+(c)(e) = (a)+(b)+(c),,,,,
111,Nguồn thu được sử dụng trong năm dành cho chi thường xuyênNguồn thu được sử dụng trong năm dành cho chi thường xuyênNguồn thu được sử dụng trong năm dành cho chi thường xuyên,(a)(a)(a),,,,,
222,Nguồn NSNN cấp cho chi thường xuyên (nếu có)Nguồn NSNN cấp cho chi thường xuyên (nếu có)Nguồn NSNN cấp cho chi thường xuyên (nếu có),(b)(b)(b),,,,,
333,Nguồn NSNN cấp cho chi không thường xuyên (nếu có)Nguồn NSNN cấp cho chi không thường xuyên (nếu có)Nguồn NSNN cấp cho chi không thường xuyên (nếu có),(c)(c)(c),,,,,
BBB,DỰ TOÁN CHIDỰ TOÁN CHIDỰ TOÁN CHI,,,,,,
III,Chi thường xuyên giao tự chủ (I=1+2+3+...+18)Chi thường xuyên giao tự chủChi thường xuyên giao tự chủ (I=1+2+3+...+18)(I=1+2+3+...+18),≤ (a)≤ (a)≤ (a),,,,,
111,Tiền lươngTiền lươngTiền lương,,,,,,
222,Các khoản phụ cấp lươngCác khoản phụ cấp lươngCác khoản phụ cấp lương,,,,,,
333,Các khoản trích nộp theo lươngCác khoản trích nộp theo lươngCác khoản trích nộp theo lương,,,,,,
444,Làm thêm giờLàm thêm giờLàm thêm giờ,,,,,,
555,Khen thưởngKhen thưởngKhen thưởng,,,,,,
666,Chi phúc lợi tập thểChi phúc lợi tập thểChi phúc lợi tập thể,,,,,,
777,Thanh toán dịch vụ công cộngThanh toán dịch vụ công cộngThanh toán dịch vụ công cộng,,,,,,
888,Mua vật tư văn phòngMua vật tư văn phòngMua vật tư văn phòng,,,,,,
999,"Thanh toán thông tin, tuyên truyền, liên lạcThanh toán thông tin, tuyên truyền, liên lạcThanh toán thông tin, tuyên truyền, liên lạc",,,,,,
101010,"Hội nghị, Hội thảoHội nghị, Hội thảoHội nghị, Hội thảo",,,,,,
111111,Thanh toán công tác phíThanh toán công tác phíThanh toán công tác phí,,,,,,
121212,Thuê mướnThuê mướnThuê mướn,,,,,,
131313,Đoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoài,,,,,,
141414,Đoàn vàoĐoàn vàoĐoàn vào,,,,,,
151515,Sửa chữa thường xuyên tài sảnSửa chữa thường xuyên tài sảnSửa chữa thường xuyên tài sản,,,,,,
161616,Mua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lý,,,,,,
171717,Chi khácChi khácChi khác,,,,,,
181818,Chi dự phòngChi dự phòngChi dự phòng,,,,,,
IIIIII,NSNN cấp cho chi thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụ,,,,,,
IIIIIIIII,NSNN cấp cho chi không thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi không thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụNSNN cấp cho chi không thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụ,,,,,,
