Số TTSố TTSố TT,Nội dungNội dungNội dung,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Tổng sốTổng sốTổng số,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Nguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vị,Chuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụng — Tổng sốTổng sốTổng số,Chuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụng — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Chuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụng — Nguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vị,Đề nghị quyết toánĐề nghị quyết toánĐề nghị quyết toán — Tổng sốTổng sốTổng số,Đề nghị quyết toánĐề nghị quyết toánĐề nghị quyết toán — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Đề nghị quyết toánĐề nghị quyết toánĐề nghị quyết toán — Nguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vị
111,222,3=4+53=4+53=4+5,444,555,6=7+86=7+86=7+8,777,888,9=10+119=10+119=10+11,10=4-710=4-710=4-7,11=5-811=5-811=5-8
AAA,QUYẾT TOÁN THU (1)QUYẾT TOÁN THU QUYẾT TOÁN THU (1)(1),,,,,,,,,
III,Tổng cộng (I= 1+2+3+4)Tổng cộng (I= 1+2+3+4)Tổng cộng (I= 1+2+3+4),,,,,,,,,
111,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,,,,,,,,,
222,Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý,,,,,,,,,
333,"Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)",,,,,,,,,
444,Nguồn thu hợp pháp khác của đơn vị (nếu có)Nguồn thu hợp pháp khác của đơn vị (nếu có)Nguồn thu hợp pháp khác của đơn vị (nếu có),,,,,,,,,
555,Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có),,,,,,,,,
BBB,QUYẾT TOÁN CHI (2)QUYẾT TOÁN CHI QUYẾT TOÁN CHI (2)(2),,,,,,,,,
III,Tổng cộng (I= 1+2+3+....+18)Tổng cộng (I= 1+2+3+....+18)Tổng cộng (I= 1+2+3+....+18),,,,,,,,,
111,Tiền lươngTiền lươngTiền lương,,,,,,,,,
222,Các khoản phụ cấp lươngCác khoản phụ cấp lươngCác khoản phụ cấp lương,,,,,,,,,
333,Các khoản trích nộp theo lươngCác khoản trích nộp theo lươngCác khoản trích nộp theo lương,,,,,,,,,
444,Làm thêm giờLàm thêm giờLàm thêm giờ,,,,,,,,,
555,Khen thưởngKhen thưởngKhen thưởng,,,,,,,,,
666,Chi phúc lợi tập thểChi phúc lợi tập thểChi phúc lợi tập thể,,,,,,,,,
777,Thanh toán dịch vụ công cộngThanh toán dịch vụ công cộngThanh toán dịch vụ công cộng,,,,,,,,,
888,Mua vật tư văn phòngMua vật tư văn phòngMua vật tư văn phòng,,,,,,,,,
999,"Thanh toán thông tin, tuyên truyềnThanh toán thông tin, tuyên truyềnThanh toán thông tin, tuyên truyền",,,,,,,,,
101010,"Hội nghị, Hội thảoHội nghị, Hội thảoHội nghị, Hội thảo",,,,,,,,,
111111,Thanh toán công tác phíThanh toán công tác phíThanh toán công tác phí,,,,,,,,,
121212,Thuê mướnThuê mướnThuê mướn,,,,,,,,,
131313,Đoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoàiĐoàn đi công tác nước ngoài,,,,,,,,,
141414,Đoàn vàoĐoàn vàoĐoàn vào,,,,,,,,,
151515,Chi sửa chữa thường xuyên tài sảnChi sửa chữa thường xuyên tài sảnChi sửa chữa thường xuyên tài sản,,,,,,,,,
161616,Mua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lýMua sắm tài sản phục vụ quản lý,,,,,,,,,
171717,Chi khácChi khácChi khác,,,,,,,,,
181818,Chi dự phòngChi dự phòngChi dự phòng,,,,,,,,,
