Số TT,Nội dung,Dự toán điều chỉnh lần cuối,Dự toán điều chỉnh lần cuối,Dự toán điều chỉnh lần cuối,Quyết toán được duyệt,Quyết toán được duyệt,Quyết toán được duyệt
Số TT,Nội dung,Tổng số,Dự án được giao quản lý,Nguồn hợp pháp khác của đơn vị,Tổng số,Dự án được giao quản lý,Nguồn hợp pháp khác của đơn vị
1,2,3=4+5,4,5,6=7+8,7,8
I,Tổng cộng (I=1+2+3+...+18),,,,,,
1,Tiền lương,,,,,,
2,Các khoản phụ cấp lương,,,,,,
3,Các khoản trích nộp theo lương,,,,,,
4,Làm thêm giờ,,,,,,
5,Khen thưởng,,,,,,
6,Chi phúc lợi tập thể,,,,,,
7,Thanh toán dịch vụ công cộng,,,,,,
8,Mua vật tư văn phòng,,,,,,
9,"Thanh toán thông tin, tuyên truyền, liên lạc",,,,,,
10,"Hội nghị, Hội thảo",,,,,,
11,Thanh toán công tác phí,,,,,,
12,Thuê mướn,,,,,,
13,Đoàn đi công tác nước ngoài,,,,,,
14,Đoàn vào,,,,,,
15,Chi sửa chữa thường xuyên tài sản,,,,,,
16,Mua sắm tài sản phục vụ quản lý,,,,,,
17,Chi khác,,,,,,
18,Chi dự phòng,,,,,,
