Số TTSố TTSố TT,Nội dungNội dungNội dung,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Tổng sốTổng sốTổng số,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Nguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vị,Chuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụng — Tổng sốTổng sốTổng số,Chuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụng — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Chuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụngChuyển sang năm sau tiếp tục sử dụng — Nguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vị,Đề nghị quyết toánĐề nghị quyết toánĐề nghị quyết toán — Tổng sốTổng sốTổng số,Đề nghị quyết toánĐề nghị quyết toánĐề nghị quyết toán — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Đề nghị quyết toánĐề nghị quyết toánĐề nghị quyết toán — Nguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vịNguồn hợp pháp khác của đơn vị
111,222,3= 4+53= 4+53= 4+5,444,555,6=7+86=7+86=7+8,777,888,9=10+119=10+119=10+11,10=4-710=4-710=4-7,11=5-811=5-811=5-8
III,Tổng cộng (I= 1+2+3+4+5)Tổng cộngTổng cộng (I= 1+2+3+4+5)(I= 1+2+3+4+5),,,,,,,,,
111,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,,,,,,,,,
222,Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý,,,,,,,,,
333,"Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)",,,,,,,,,
444,Nguồn thu hợp pháp khácNguồn thu hợp pháp khácNguồn thu hợp pháp khác,,,,,,,,,
555,Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có),,,,,,,,,
IIIIII,Số chuyển sang năm sau tiếp tục sử dụngSố chuyển sang năm sau tiếp tục sử dụngSố chuyển sang năm sau tiếp tục sử dụng,,,,,,,,,
IIIIIIIII,Nguồn thu được sử dụng trong năm (III)= (I) - (II)Nguồn thu được sử dụng trong năm (III)= (I) - (II)Nguồn thu được sử dụng trong năm (III)= (I) - (II),,,,,,,,,
111,Nguồn kinh phí NSNN cấp chi thường xuyên không giao tự chủ (nếu có)Nguồn kinh phí NSNN cấp chi thường xuyên không giao tự chủ (nếu có)Nguồn kinh phí NSNN cấp chi thường xuyên không giao tự chủ (nếu có),,,,,,,,,
222,Nguồn thu được sử dụng trong năm dành cho chi thường xuyênNguồn thu được sử dụng trong năm dành cho chi thường xuyênNguồn thu được sử dụng trong năm dành cho chi thường xuyên,,,,,,,,,
333,Nguồn kinh phí NSNN hỗ trợ chi không thường xuyên (nếu có)Nguồn kinh phí NSNN hỗ trợ chi không thường xuyên (nếu có)Nguồn kinh phí NSNN hỗ trợ chi không thường xuyên (nếu có),,,,,,,,,
