Số TTSố TTSố TT,Nội dungNội dungNội dung,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Tổng sốTổng sốTổng số,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Dự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuốiDự toán điều chỉnh lần cuối — Nguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vị,Quyết toán được duyệtQuyết toán được duyệtQuyết toán được duyệt — Tổng sốTổng sốTổng số,Quyết toán được duyệtQuyết toán được duyệtQuyết toán được duyệt — Dự án được giao quản lýDự án được giao quản lýDự án được giao quản lý,Quyết toán được duyệtQuyết toán được duyệtQuyết toán được duyệt — Nguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vịNguồn thu hợp pháp khác của đơn vị
111,222,3=4+53=4+53=4+5,444,555,6=7+86=7+86=7+8,777,888
III,Tổng cộng (I= 1+2+3+4+5)Tổng cộngTổng cộng (I= 1+2+3+4+5)(I= 1+2+3+4+5),,,,,,
111,Nguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sangNguồn thu năm trước chuyển sang,,,,,,
222,Nguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lýNguồn thu từ chi phí của dự án được giao quản lý,,,,,,
333,Nguồn thu hợp pháp khác của đơn vị (nếu có)Nguồn thu hợp pháp khác của đơn vị (nếu có)Nguồn thu hợp pháp khác của đơn vị (nếu có),,,,,,
444,"Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)Dự án điều chỉnh, bổ sung trong năm (nếu có)",,,,,,
555,Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có)Nguồn NSNN cấp (nếu có),,,,,,
IIIIII,Nguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụngNguồn thu chuyển sang năm sau tiếp tục sử dụng,,,,,,
IIIIIIIII,Nguồn thu được sử dụng trong năm (III=I-II)Nguồn thu được sử dụng trong năm (III=I-II)Nguồn thu được sử dụng trong năm (III=I-II),,,,,,
111,Nguồn kinh phí NSNN cấp chi thường xuyên không giao tự chủ (nếu có)Nguồn kinh phí NSNN cấp chi thường xuyên không giao tự chủ (nếu có)Nguồn kinh phí NSNN cấp chi thường xuyên không giao tự chủ (nếu có),,,,,,
222,Nguồn thu được sử dụng trong năm dành cho chi thường xuyên giao tự chủNguồn thu được sử dụng trong năm dành cho chi thường xuyên giao tự chủNguồn thu được sử dụng trong năm dành cho chi thường xuyên giao tự chủ,,,,,,
333,Nguồn kinh phí NSNN hỗ trợ chi không thường xuyên (nếu có)Nguồn kinh phí NSNN hỗ trợ chi không thường xuyên (nếu có)Nguồn kinh phí NSNN hỗ trợ chi không thường xuyên (nếu có),,,,,,
