TT,Nội dung,Dự toán điều chỉnh lần cuối,Dự toán điều chỉnh lần cuối,Dự toán điều chỉnh lần cuối,Dự toán điều chỉnh lần cuối,Chuyển sang năm sau tiếp tục sử dụng,Chuyển sang năm sau tiếp tục sử dụng,Chuyển sang năm sau tiếp tục sử dụng,Chuyển sang năm sau tiếp tục sử dụng,Quyết toán được duyệt,Quyết toán được duyệt,Quyết toán được duyệt,Quyết toán được duyệt
TT,Nội dung,Tổng số,Dự án được giao quản lý,Nguồn thu hợp pháp khác của đơn vị,Tổng số,Tổng số,Dự án được giao quản lý,Nguồn thu hợp pháp khác của đơn vị,Tổng số,Tổng số,Dự án được giao quản lý,Nguồn thu hợp pháp khác của đơn vị
1,2,3=4+5,4,5,6=7+8,6=7+8,7,8,9=10+11,9=10+11,10=4-7,11=5-8
I,Chi thường xuyên giao tự chủ (I= 1+2+3+...+18),,,,,,,,,,,
1,Tiền lương,,,,,,,,,,,
2,Các khoản phụ cấp lương,,,,,,,,,,,
3,Các khoản trích nộp theo lương,,,,,,,,,,,
4,Làm thêm giờ,,,,,,,,,,,
5,Khen thưởng,,,,,,,,,,,
6,Chi về phúc lợi tập thể,,,,,,,,,,,
7,Thanh toán dịch vụ công cộng,,,,,,,,,,,
8,Mua vật tư văn phòng,,,,,,,,,,,
9,"Thanh toán thông tin, tuyên truyền, liên lạc",,,,,,,,,,,
10,"Hội nghị, Hội thảo",,,,,,,,,,,
11,Công tác phí,,,,,,,,,,,
12,Thuê mướn,,,,,,,,,,,
13,Đoàn đi công tác nước ngoài,,,,,,,,,,,
14,Đoàn vào,,,,,,,,,,,
15,Chi sửa chữa thường xuyên tài sản,,,,,,,,,,,
16,Mua sắm tài sản phục vụ quản lý,,,,,,,,,,,
17,Chi khác,,,,,,,,,,,
18,Chi dự phòng,,,,,,,,,,,
II,NSNN cấp cho chi thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụ,,,,,,,,,,,
III,NSNN cấp cho chi không thường xuyên (nếu có) chi tiết theo nội dung nhiệm vụ,,,,,,,,,,,
