Chiều cao xây dựng công trình trên mặt đất (m),Hệ số sử dụng đất tối đa (lần) theo diện tích lô đất,,,
Chiều cao xây dựng công trình trên mặt đất (m),≤ 3 000 $m^{2}$,10 000 $m^{2}$,18 000 $m^{2}$,≥ 35 000 $m^{2}$
≤16,"4,0","3,5","3,4","3,25"
19,"4,8","3,9","3,78","3,6"
22,"5,6","4,34","4,2","3,99"
25,"6,4","4,64","4,48","4,24"
28,"7,2","4,95","4,77","4,5"
31,"8,0","5,3","5,1","4,8"
34,"8,8","5,61","5,39","5,06"
37,"9,6","5,88","5,64","5,28"
40,"10,4","6,24","5,98","5,59"
43,"11,2","6,58","6,3","5,88"
46,"12,0","6,9","6,6","6,15"
>46,"12,8","7,2","6,88","6,4"
