Khu vực bảo vệ,Kích thước khu vực bảo vệ cấp I (m),Kích thước khu vực bảo vệ cấp II (m)
"Nguồn nước mặt, từ điểm lấy nước:",,
&nbsp;&nbsp;\- Ngược theo chiều dòng chảy,≥ 200,≥ 1 000
&nbsp;&nbsp;\- Xuôi theo chiều dòng chảy,≥ 100,≥ 250
"&nbsp;&nbsp;\- Trường hợp không xác định được chiều dòng chảy, hoặc không có dòng chảy.",≥ 200,≥ 1 000
Nguồn nước ngầm: quanh giếng khoan với bán kính,≥ 25,-
"Hồ chứa, đập nước chuyên dùng để cấp nước sinh hoạt, từ mép hồ:",,
&nbsp;&nbsp;\- Bờ hồ bằng phẳng,≥ 100,Toàn lưu vực
&nbsp;&nbsp;\- Bờ hồ dốc,≥ 300,Toàn lưu vực
"Nhà máy nước, trạm cấp nước, từ chân tường công trình xử lý:",≥ 30,-
"Đường ống cấp nước, từ mép ngoài đường ống:",,
&nbsp;&nbsp;\- Kích thước 300 mm đến < 1 000 mm,-,≥ 7
&nbsp;&nbsp;\- Kích thước ≥ 1 000 mm,-,≥ 15
