TT,Loại công trình,Khoảng cách ATMT tối thiểu (m) ứng với công suất,,,
TT,Loại công trình,< 200<br>($m^{3}$/ngày),200 - 5 000<br>($m^{3}$/ngày),"> 5 000 - 
50 000 ($m^{3}$/ngày)",> 50 000 ($m^{3}$/ngày)
1,Trạm bơm nước thải,15,20,25,30
2,"Nhà máy, trạm XLNT:",,,,
a,Công trình xử lý bùn cặn kiểu sân phơi bùn,150,200,400,500
b,Công trình xử lý bùn cặn bằng thiết bị cơ khí.,100,150,300,400
c,"Công trình xử lý nước thải bằng phương pháp cơ học, hóa lý và sinh học",80,100,250,350
d,"Công trình xử lý nước thải bằng phương pháp cơ học, hóa lý và sinh học được xây dựng khép kín và có hệ thống thu gom và xử lý mùi",10,15,30,40
e,Khu đất để lọc ngầm nước thải,200,300,-,
g,"Khu đất tưới cây xanh, nông nghiệp",150,200,400,-
h,Hồ sinh học,200,300,400,-
i,Mương ô xy hóa,150,200,400,-
