Loại đường ống,Đường ống cấp nước,Cống thoát nước thải,Cống thoát nước mưa,Cáp điện,Cáp thông tin,"Kênh mương thoát nước, tuy-nen, hào kỹ thuật"
Khoảng cách theo chiều ngang,,,,,,
Đường ống cấp nước,"0,5","1,0","0,5","1,5",,
Cống thoát nước thải,1,"0,4","0,5","1,0",,
Cống thoát nước mưa,"0,5","0,4","0,5","1,0",,
Cáp điện,"0,5","0,1","0,5","2,0",,
Cáp thông tin,"0,5",-,"1,0",,,
"Kênh mương thoát nước, tuy-nen, hào kỹ thuật","1,5","1,0","2,0",1,-,
Khoảng cách theo chiều đứng,,,,,,
Đường ống cấp nước,-,"1,0","0,5",-,,
Cống thoát nước thải,"1,0",-,"0,4","0,5",-,
Cống thoát nước mưa,"0,5","0,4",-,"0,5",-,
Cáp điện,"0,5","0,1","0,5",-,,
Cáp thông tin,"0,5",-,,,,
