"Tỉnh, Thành phố","Thành phố, Thị xã, Quận, Huyện",Mật độ sét đánh (số lần/km2/năm)
1. An Giang,"TP. Long Xuyên, TP. Châu Đốc, TX. Tân Châu, H. An Phú, H. Châu Phú, H. Châu Thành, H. Chợ Mới, H. Tân Phú, H. Thoại Sơn, H. Tri Tôn, H. Tịnh Biên","13,7"
2. Bà Rịa - Vũng Tàu,"TP. Vũng Tàu, TP. Bà Rịa, H. Côn Đảo, H. Long Điền, H. Đất Đỏ, H. Xuyên Mộc","8,2"
2. Bà Rịa - Vũng Tàu,"H. Tân Thành, H. Châu Đức","10,9"
3. Bắc Kạn,"TP. Bắc Kạn, H. Ba Bể, H. Bạch Thông, H. Chợ Mới, H. Na Rì, H. Ngân Sơn, H. Pắc Nặm","8,2"
3. Bắc Kạn,H. Chợ Đồn,"10,9"
4. Bắc Giang,"TP. Bắc Giang, H. Hiệp Hoà, H. Lạng Giang, H. Lục Nam, H. Lục Ngạn, H. Sơn Động, H. Tân Yên, H. Việt Yên, H. Yên Dũng, H. Yên Thế","8,2"
5. Bắc Ninh,"TP. Bắc Ninh, H. Gia Bình, H. Lương Tài, H. Quế Võ, H. Yên Phong","8,2"
5. Bắc Ninh,"TP. Từ Sơn, H. Tiên Du, H. Thuận Thành","10,9"
6. Bạc Liêu,TP. Bạc Liêu,"10,9"
6. Bạc Liêu,"TX. Giá Rai, H. Đông Hải, H. Hồng Dân, H. Phước Long, H. Vĩnh Lợi, H. Hòa Bình","13,7"
7. Bến Tre,"TP. Bến Tre, H. Châu Thành, H. Chợ Lách, H. Giồng Trôm, H. Mỏ Cày Nam, H. Mỏ Cày Bắc","13,7"
7. Bến Tre,"H. Thạnh Phú, H. Ba Tri, H. Bình Đại","10,9"
8. Bình Định,"TP.Quy Nhơn, H. Tuy Phước","5,7"
8. Bình Định,"H. An Lão, TX. An Nhơn, H. Hoài Ân, TX. Hoài Nhơn, H. Phù Cát, H. Phù Mỹ, H. Tây Sơn, H. Vân Canh, H. Vĩnh Thạnh","8,2"
9. Bình Dương,"TP. Thủ Dầu Một, TP. Dĩ An, TX. Tân Uyên, TP. Thuận An, H. Bắc Tân Uyên","13,7"
9. Bình Dương,"TX. Bến Cát, H. Dầu Tiếng, H. Phú Giáo, H. Bàu Bàng","14,9"
10. Bình Phước,"TP. Đồng Xoài, TX. Bình Long, H. Chơn Thành, H. Đồng Phú, H. Hớn Quản","14,9"
