Địa danh,Vùng,"W0 (daN/m2) 3 s, 20 năm","V3s,50 (m/s) 3 s, 50 năm","V10m,50 (m/s) 10 phút, 50 năm"
(1),(2),(3),(4),(5)
1. Thành phố Hà Nội,
"Tất cả các quận, thị xã, huyện (không bao gồm các huyện Mỹ Đức, Phú Xuyên, Thường Tín và Ứng Hòa)",II,95,44,31
"Huyện Mỹ Đức (xã Đại Hưng, xã Hùng Tiến, xã Hương Sơn, xã Vạn Kim)",III,125,50,36
Huyện Mỹ Đức (các địa danh hành chính còn lại),II,95,44,31
"Huyện Phú Xuyên (xã Phú Túc, xã Hồng Minh, xã Tri Trung)",II,95,44,31
Huyện Phú Xuyên (các địa danh hành chính còn lại),III,125,50,36
"Huyện Thường Tín (xã Minh Cường, xã Thống Nhất, xã Tô Hiệu, xã Vạn Điểm, xã Văn Tự)",III,125,50,36
Huyện Thường Tín (các địa danh hành chính còn lại),II,95,44,31
"Huyện Ứng Hoà (thị trấn Vân Đình, xã Quảng Phú Cầu, xã Liên Bạt, xã Đồng Tiến, xã Sơn Công, xã Hoa Sơn, xã Trường Thịnh, xã Viên Nội, xã Viên An, xã Cao Thành, xã Hoà Xá)",II,95,44,31
Huyện Ứng Hoà (các địa danh hành chính còn lại),III,125,50,36
2. Thành phố Hồ Chí Minh,
"Tất cả các thành phố, quận, huyện (bao gồm cả thành phố Thủ Đức, không bao gồm huyện Củ Chi)",II,95,44,31
Huyện Củ Chi,I,65,36,26
3. Thành phố Hải Phòng,
"Tất cả các quận, huyện (không bao gồm các huyện Bạch Long Vĩ và Thủy Nguyên)",IV,155,55,39
Huyện Bạch Long Vĩ,V,185,61,43
Huyện Thuỷ Nguyên,III,125,50,36
4. Thành phố Đà Nẵng,
"Tất cả các quận, huyện (không bao gồm các huyện Hòa Vang và Hoàng Sa)",III,125,50,36
"Huyện Hòa Vang (xã Hòa Ninh, xã Hòa Phú, xã Hòa Khương)",II,95,44,31
Huyện Hòa Vang (các địa danh hành chính còn lại),III,125,50,36
Huyện Hoàng Sa (tất cả các đảo thuộc quần đảo Hoàng Sa),V,185,61,43
5. Thành phố Cần Thơ,
"Tất cả các quận, huyện",II,95,44,31
6. An Giang,
"Tất cả các thành phố, thị xã, huyện (không bao gồm các huyện Thoại Sơn, Tri Tôn)",I,65,36,26
"Huyện Thoại Sơn (thị trấn Phú Hòa, xã Định Mỹ, xã Định Thành, xã Phú Thuận, xã Tây Phú, xã Vĩnh Chánh, xã Vĩnh Phú, xã Vĩnh Trạch)",I,65,36,26
Huyện Thoại Sơn (các địa danh hành chính còn lại),II,95,44,31
"Huyện Tri Tôn (thị trấn Ba Chúc, thị trấn Tri Tôn, xã Châu Lăng, xã Lạc Quới, xã Lê Trì, xã Núi Tô, xã Tà Đảnh)",I,65,36,26
Huyện Tri Tôn (các địa danh hành chính còn lại),II,95,44,31
7. Bà Rịa - Vũng Tàu,
"Tất cả các thành phố, thị xã, huyện (không bao gồm huyện Côn Đảo)",II,95,44,31
Huyện Côn Đảo,III,125,50,36
8. Bạc Liêu,
"Tất cả các thành phố, thị xã, huyện",II,95,44,31
9. Bắc Giang,
"Tất cả các thành phố, thị xã, huyện (không bao gồm huyện Sơn Động)",II,95,44,31
"Huyện Sơn Động (thị trấn Tây Yên Tử, xã Dương Hưu, xã Long Sơn, xã Thanh Luận)",III,125,50,36
Huyện Sơn Động (các địa danh hành chính còn lại),II,95,44,31
10. Bắc Kạn,
Tất cả các huyện (không bao gồm thành phố Bắc Kạn và huyện Ngân Sơn),I,65,36,26
Thành phố Bắc Kạn,II,95,44,31
Huyện Ngân Sơn,II,95,44,31
11. Bắc Ninh,
"Tất cả các thành phố, thị xã, huyện (không bao gồm huyện Lương Tài)",II,95,44,31
"Huyện Lương Tài (xã Lai Hạ, xã Minh Tân, xã Trung Chính, xã Trung Kênh, xã Trừng Xá)",III,125,50,36
