Địa danh,"Đỉnh gia tốc nền tham chiếu, agR",Địa danh,"Đỉnh gia tốc nền tham chiếu, agR"
(1),(2),(3),(4)
1. Thành phố Hà Nội,,,
Quận Ba Đình,"0,10×g",Huyện Đan Phượng,"0,12×g"
Quận Cầu Giấy,"0,10×g",Huyện Đông Anh,"0,08×g"
Quận Đống Đa,"0,10×g",Huyện Gia Lâm,"0,08×g"
Quận Hà Đông,"0,12×g",Huyện Hoài Đức,"0,12×g"
Quận Hai Bà Trưng,"0,10×g",Huyện Mê Linh,"0,08×g"
Quận Hoàn Kiếm,"0,10×g",Huyện Mỹ Đức,"0,10×g"
Quận Hoàng Mai,"0,10×g",Huyện Phúc Thọ,"0,12×g"
Quận Long Biên,"0,08×g",Huyện Phú Xuyên,"0,12×g"
Quận Tây Hồ,"0,10×g",Huyện Quốc Oai,"0,12×g"
Quận Thanh Xuân,"0,12×g",Huyện Sóc Sơn,"0,10×g"
Quận Bắc Từ Liêm,"0,12×g",Huyện Thạch Thất,"0,12×g"
Quận Nam Từ Liêm,"0,12×g",Huyện Thanh Oai,"0,12×g"
Thị xã Sơn Tây,"0,12×g",Huyện Thanh Trì,"0,12×g"
Huyện Ba Vì,"0,12×g",Huyện Thường Tín,"0,12×g"
Huyện Chương Mỹ,"0,12×g",Huyện Ứng Hòa,"0,12×g"
2. Thành phố Hồ Chí Minh,,,
Thành phố Thủ Đức,"0,06×g",Quận 11,"0,06×g"
Quận 1,"0,06×g",Quận 12,"0,06×g"
Quận 3,"0,06×g",Quận Bình Thạnh,"0,06×g"
Quận 4,"0,06×g",Quận Bình Tân,"0,06×g"
Quận 5,"0,06×g",Quận Gò Vấp,"0,06×g"
Quận 6,"0,06×g",Quận Phú Nhuận,"0,06×g"
Quận 7,"0,06×g",Quận Tân Bình,"0,06×g"
Quận 8,"0,06×g",Quận Tân Phú,"0,06×g"
Quận 10,"0,06×g",Huyện Bình Chánh,"0,06×g"
Huyện Cần Giờ,"0,06×g",Huyện Hóc Môn,"0,06×g"
Huyện Củ Chi,"0,06×g",Huyện Nhà Bè,"0,06×g"
3. Thành phố Hải Phòng,,,
Quận Hồng Bàng,"0,14×g",Huyện An Lão,"0,14×g"
Quận Dương Kinh,"0,12×g",Huyện Bạch Long Vĩ,"0,04×g"
Quận Đồ Sơn,"0,10×g",Huyện Cát Hải,"0,04×g"
Quận Hải An,"0,14×g",Huyện Kiến Thụy,"0,12×g"
Quận Kiến An,"0,14×g",Huyện Thủy Nguyên,"0,12×g"
Quận Lê Chân,"0,14×g",Huyện Tiên Lãng,"0,10×g"
Quận Ngô Quyền,"0,14×g",Huyện Vĩnh Bảo,"0,08×g"
Huyện An Dương,"0,14×g",,
4. Thành phố Đà Nẵng,,,
Quận Cẩm Lệ,"0,04×g",Quận Sơn Trà,"0,08×g"
Quận Hải Châu,"0,08×g",Quận Thanh Khê,"0,08×g"
Quận Liên Chiểu,"0,06×g",Huyện Hòa Vang,"0,04×g"
Quận Ngũ Hành Sơn,"0,06×g",Huyện Hoàng Sa (quần đảo Hoàng Sa),"0,04×g"
5. Thành phố Cần Thơ,,,
Quận Bình Thủy,"0,04×g",Huyện Cờ Đỏ,"0,02×g"
Quận Cái Răng,"0,04×g",Huyện Phong Điền,"0,02×g"
Quận Ninh Kiều,"0,04×g",Huyện Thới Lai,"0,02×g"
Quận Ô Môn,"0,04×g",Huyện Vĩnh Thạnh,"0,02×g"
Quận Thốt Nốt,"0,04×g",,
6. An Giang,,,
Thành phố Long Xuyên,"0,04×g",Huyện An Phú,"0,04×g"
Thành phố Châu Đốc,"0,04×g",Huyện Châu Phú,"0,04×g"
Thị xã Tân Châu,"0,04×g",Huyện Châu Thành,"0,04×g"
Huyện Chợ Mới,"0,04×g",Huyện Tri Tôn,"0,02×g"
Huyện Phú Tân,"0,04×g",Huyện Tịnh Biên,"0,04×g"
Huyện Thoại Sơn,"0,02×g",,
7. Bà Rịa - Vũng Tàu,,,
Thành phố Vũng Tàu,"0,04×g",Huyện Đất Đỏ,"0,04×g"
Thành phố Bà Rịa,"0,04×g",Huyện Long Điền,"0,04×g"
Huyện Châu Đức,"0,02×g",Huyện Tân Thành,"0,04×g"
Huyện Côn Đảo,"0,04×g",Huyện Xuyên Mộc,"0,02×g"
8. Bạc Liêu,,,
Thành phố Bạc Liêu,"0,02×g",Huyện Hồng Dân,"0,02×g"
Huyện Đông Hải,"0,02×g",Huyện Phước Long,"0,02×g"
Huyện Giá Rai,"0,02×g",Huyện Vĩnh Lợi,"0,02×g"
Huyện Hòa Bình,"0,02×g",,
9. Bắc Giang,,,
Thành phố Bắc Giang,"0,10×g",Huyện Sơn Động,"0,04×g"
Huyện Hiệp Hòa,"0,08×g",Huyện Tân Yên,"0,06×g"
Huyện Lạng Giang,"0,08×g",Huyện Việt Yên,"0,12×g"
Huyện Lục Nam,"0,10×g",Huyện Yên Dũng,"0,10×g"
Huyện Lục Ngạn,"0,06×g",Huyện Yên Thế,"0,06×g"
10. Bắc Kạn,,,
Thành phố Bắc Kạn,"0,08×g",Huyện Chợ Mới,"0,06×g"
Huyện Ba Bể,"0,06×g",Huyện Na Rì,"0,04×g"
Huyện Bạch Thông,"0,08×g",Huyện Ngân Sơn,"0,04×g"
Huyện Chợ Đồn,"0,04×g",Huyện Pác Nặm,"0,06×g"
11. Bắc Ninh,,,
Thành phố Bắc Ninh,"0,12×g",Thành phố Từ Sơn,"0,08×g"
Huyện Gia Bình,"0,14×g",Huyện Thuận Thành,"0,10×g"
Huyện Lương Tài,"0,12×g",Huyện Tiên Du,"0,10×g"
Huyện Quế Võ,"0,12×g",Huyện Yên Phong,"0,10×g"
12. Bến Tre,,,
Thành phố Bến Tre,"0,02×g",Huyện Giồng Trôm,"0,02×g"
Huyện Ba Tri,"0,02×g",Huyện Mỏ Cày Bắc,"0,02×g"
Huyện Bình Đại,"0,02×g",Huyện Mỏ Cày Nam,"0,02×g"
Huyện Châu Thành,"0,02×g",Huyện Thạnh Phú,"0,02×g"
Huyện Chợ Lách,"0,02×g",,
13. Bình Dương,,,
Thành phố Thủ Dầu Một,"0,04×g",Huyện Bàu Bàng,"0,04×g"
Thị xã Bến Cát,"0,04×g",Huyện Bắc Tân Uyên,"0,02×g"
Thị xã Dĩ An,"0,04×g",Huyện Dầu Tiếng,"0,04×g"
Thị xã Tân Uyên,"0,02×g",Huyện Phú Giáo,"0,04×g"
Thị xã Thuận An,"0,06×g",,
14. Bình Định,,,
Thành phố Quy Nhơn,"0,10×g",Huyện Phù Mỹ,"0,10×g"
Thị xã An Nhơn,"0,10×g",Huyện Tây Sơn,"0,10×g"
Huyện An Lão,"0,10×g",Huyện Tuy Phước,"0,10×g"
Huyện Hoài Ân,"0,10×g",Huyện Vân Canh,"0,10×g"
Huyện Hoài Nhơn,"0,10×g",Huyện Vĩnh Thạnh,"0,10×g"
Huyện Phù Cát,"0,10×g",,
15. Bình Phước,,,
Thành phố Đồng Xoài,"0,02×g",Huyện Bù Đăng,"0,02×g"
Thị xã Bình Long,"0,02×g",Huyện Bù Đốp,"0,02×g"
Thị xã Phước Long,"0,02×g",Huyện Bù Gia Mập,"0,02×g"
Huyện Chơn Thành,"0,02×g",Huyện Hớn Quản,"0,02×g"
Huyện Đồng Phú,"0,04×g",Huyện Lộc Ninh,"0,02×g"
16. Bình Thuận,,,
Thành phố Phan Thiết,"0,04×g",Huyện Hàm Thuận Nam,"0,02×g"
Thị xã La Gi,"0,04×g",Huyện Hàm Thuận Bắc,"0,02×g"
Huyện Bắc Bình,"0,02×g",Huyện Phú Quý,"0,06×g"
Huyện Đức Linh,"0,02×g",Huyện Tánh Linh,"0,02×g"
Huyện Hàm Tân,"0,02×g",Huyện Tuy Phong,"0,04×g"
17. Cà Mau,,,
Thành phố Cà Mau,"0,02×g",Huyện Phú Tân,"0,02×g"
Huyện Cái Nước,"0,02×g",Huyện U Minh,"0,02×g"
Huyện Đầm Dơi,"0,02×g",Huyện Trần Văn Thời,"0,02×g"
Huyện Năm Căn,"0,02×g",Huyện Thới Bình,"0,02×g"
Huyện Ngọc Hiển,"0,04×g",,
18. Cao Bằng,,,
Thành phố Cao Bằng,"0,04×g",Huyện Phục Hòa,"0,04×g"
Huyện Bảo Lạc,"0,04×g",Huyện Quảng Uyên,"0,04×g"
Huyện Bảo Lâm,"0,06×g",Huyện Thạch An,"0,04×g"
Huyện Hạ Lang,"0,02×g",Huyện Thông Nông,"0,04×g"
Huyện Hà Quảng,"0,06×g",Huyện Trà Lĩnh,"0,04×g"
Huyện Hòa An,"0,04×g",Huyện Trùng Khánh,"0,06×g"
Huyện Nguyên Bình,"0,04×g",,
19. Đăk Lăk,,,
Thành phố Buôn Ma Thuột,"0,04×g",Huyện Cư Kuin,"0,04×g"
Thị xã Buôn Hồ,"0,04×g",Huyện Cư M'gar,"0,04×g"
Huyện Buôn Đôn,"0,02×g",Huyện Ea H'leo,"0,04×g"
Huyện Ea Kar,"0,04×g",Huyện Krông Năng,"0,04×g"
Huyện Ea Súp,"0,04×g",Huyện Krông Pắc,"0,04×g"
Huyện Krông A Na,"0,02×g",Huyện Lắk,"0,04×g"
Huyện Krông Bông,"0,04×g",Huyện M'Đrắk,"0,06×g"
Huyện Krông Búk,"0,04×g",,
20. Đăk Nông,,,
Thành phố Gia Nghĩa,"0,04×g",Huyện Đắk Song,"0,02×g"
Huyện Cư Jút,"0,02×g",Huyện Đắk Glong,"0,04×g"
Huyện Đắk Mil,"0,02×g",Huyện Krông Nô,"0,02×g"
Huyện Đắk R'Lấp,"0,02×g",Huyện Tuy Đức,"0,02×g"
21. Điện Biên,,,
Thành phố Điện Biên Phủ,"0,18×g",Huyện Mường Chà,"0,20×g"
Thị xã Mường Lay,"0,20×g",Huyện Mường Nhé,"0,16×g"
Huyện Điện Biên,"0,14×g",Huyện Nậm Pồ,"0,16×g"
Huyện Điện Biên Đông,"0,14×g",Huyện Tuần Giáo,"0,20×g"
Huyện Mường Ảng,"0,14×g",Huyện Tủa Chùa,"0,20×g"
22. Đồng Nai,,,
Thành phố Biên Hòa,"0,04×g",Huyện Tân Phú,"0,02×g"
Thị xã Long Khánh,"0,02×g",Huyện Thống Nhất,"0,02×g"
Huyện Cẩm Mỹ,"0,02×g",Huyện Trảng Bom,"0,02×g"
Huyện Định Quán,"0,02×g",Huyện Vĩnh Cửu,"0,02×g"
Huyện Long Thành,"0,04×g",Huyện Xuân Lộc,"0,02×g"
Huyện Nhơn Trạch,"0,04×g",,
23. Đồng Tháp,,,
Thành phố Cao Lãnh,"0,02×g",Thị xã Hồng Ngự,"0,02×g"
Thành phố Sa Đéc,"0,04×g",Huyện Cao Lãnh,"0,02×g"
Huyện Châu Thành,"0,02×g",Huyện Tam Nông,"0,02×g"
Huyện Hồng Ngự,"0,04×g",Huyện Tân Hồng,"0,02×g"
Huyện Lai Vung,"0,04×g",Huyện Thanh Bình,"0,02×g"
Huyện Lấp Vò,"0,04×g",Huyện Tháp Mười,"0,02×g"
24. Gia Lai,,,
Thành phố Pleiku,"0,04×g",Huyện Đắk Đoa,"0,04×g"
Thị xã An Khê,"0,08×g",Huyện Krông Pa,"0,08×g"
Thị xã Ayun Pa,"0,06×g",Huyện Kông Chro,"0,08×g"
Huyện Chư Sê,"0,04×g",Huyện KBang,"0,08×g"
Huyện Chư Pưh,"0,06×g",Huyện Ia Grai,"0,04×g"
Huyện Chư Prông,"0,04×g",Huyện Ia Pa,"0,06×g"
Huyện Chư Păh,"0,06×g",Huyện Mang Yang,"0,06×g"
Huyện Đắk Pơ,"0,08×g",Huyện Phú Thiện,"0,06×g"
Huyện Đức Cơ,"0,06×g",,
25. Hà Giang,,,
Thành phố Hà Giang,"0,04×g",Huyện Quang Bình,"0,06×g"
Huyện Bắc Mê,"0,04×g",Huyện Quản Bạ,"0,04×g"
Huyện Bắc Quang,"0,04×g",Huyện Vị Xuyên,"0,04×g"
Huyện Đồng Văn,"0,04×g",Huyện Xín Mần,"0,04×g"
Huyện Hoàng Su Phì,"0,04×g",Huyện Yên Minh,"0,06×g"
Huyện Mèo Vạc,"0,04×g",,
26. Hà Nam,,,
Thành phố Phủ Lý,"0,14×g",Huyện Kim Bảng,"0,14×g"
Thị xã Duy Tiên,"0,14×g",Huyện Lý Nhân,"0,14×g"
Huyện Bình Lục,"0,14×g",Huyện Thanh Liêm,"0,14×g"
27. Hà Tĩnh,,,
Thành phố Hà Tĩnh,"0,12×g",Huyện Hương Sơn,"0,10×g"
Thị xã Hồng Lĩnh,"0,12×g",Huyện Hương Khê,"0,08×g"
Thị xã Kỳ Anh,"0,10×g",Huyện Lộc Hà,"0,12×g"
Huyện Can Lộc,"0,12×g",Huyện Nghi Xuân,"0,12×g"
Huyện Cẩm Xuyên,"0,12×g",Huyện Thạch Hà,"0,12×g"
Huyện Đức Thọ,"0,12×g",Huyện Vũ Quang,"0,10×g"
28. Hải Dương,,,
Thành phố Hải Dương,"0,14×g",Huyện Kim Thành,"0,14×g"
Thành phố Chí Linh,"0,12×g",Huyện Ninh Giang,"0,06×g"
Thị xã Kinh Môn,"0,12×g",Huyện Nam Sách,"0,14×g"
Huyện Bình Giang,"0,06×g",Huyện Thanh Hà,"0,14×g"
Huyện Cẩm Giàng,"0,10×g",Huyện Thanh Miện,"0,06×g"
Huyện Gia Lộc,"0,10×g",Huyện Tứ Kỳ,"0,12×g"
29. Hậu Giang,,,
Thành phố Vị Thanh,"0,02×g",Huyện Long Mỹ,"0,02×g"
Thị xã Ngã Bảy,"0,02×g",Huyện Phụng Hiệp,"0,02×g"
Huyện Châu Thành,"0,04×g",Huyện Vị Thủy,"0,02×g"
Huyện Châu Thành A,"0,02×g",,
30. Hòa Bình,,,
Thành phố Hòa Bình,"0,08×g",Huyện Lạc Thủy,"0,08×g"
Huyện Cao Phong,"0,08×g",Huyện Lương Sơn,"0,08×g"
Huyện Đà Bắc,"0,08×g",Huyện Mai Châu,"0,16×g"
Huyện Kim Bôi,"0,06×g",Huyện Tân Lạc,"0,12×g"
Huyện Lạc Sơn,"0,16×g",Huyện Yên Thủy,"0,14×g"
31. Hưng Yên,,,
Thành phố Hưng Yên,"0,14×g",Huyện Phù Cừ,"0,08×g"
Huyện Ân Thi,"0,08×g",Huyện Tiên Lữ,"0,12×g"
Huyện Kim Động,"0,12×g",Huyện Văn Giang,"0,08×g"
Huyện Khoái Châu,"0,12×g",Huyện Văn Lâm,"0,08×g"
Huyện Mỹ Hào,"0,08×g",Huyện Yên Mỹ,"0,08×g"
32. Khánh Hòa,,,
Thành phố Nha Trang,"0,04×g",Huyện Khánh Sơn,"0,04×g"
Thành phố Cam Ranh,"0,04×g",Huyện Khánh Vĩnh,"0,04×g"
Thị xã Ninh Hòa,"0,04×g",Huyện Trường Sa (quần đảo Trường Sa),"0,02×g"
Huyện Cam Lâm,"0,04×g",Huyện Vạn Ninh,"0,04×g"
Huyện Diên Khánh,"0,04×g",,
33. Kiên Giang,,,
Thành phố Rạch Giá,"0,02×g",Huyện Giang Thành,"0,02×g"
Thành phố Phú Quốc,"0,02×g",Huyện Gò Quao,"0,02×g"
Thị xã Hà Tiên,"0,02×g",Huyện Hòn Đất,"0,02×g"
Huyện An Biên,"0,02×g",Huyện Kiên Hải,"0,02×g"
Huyện An Minh,"0,02×g",Huyện Kiên Lương,"0,02×g"
Huyện Châu Thành,"0,02×g",Huyện Tân Hiệp,"0,02×g"
Huyện Giồng Riềng,"0,02×g",Huyện Vĩnh Thuận,"0,02×g"
34. Kon Tum,,,
Thành phố Kon Tum,"0,06×g",Huyện Kon Plông,"0,08×g"
Huyện Đắk Hà,"0,06×g",Huyện Ngọc Hồi,"0,08×g"
Huyện Đắk Tô,"0,08×g",Huyện Sa Thầy,"0,08×g"
Huyện Đắk Glei,"0,08×g",Huyện Tu Mơ Rông,"0,08×g"
Huyện Kon Rẫy,"0,08×g",Huyện Ia H’Drai,"0,10×g"
35. Lai Châu,,,
Thành phố Lai Châu,"0,12×g",Huyện Sìn Hồ,"0,18×g"
Huyện Mường Tè,"0,12×g",Huyện Tân Uyên,"0,10×g"
Huyện Nậm Nhùn,"0,16×g",Huyện Tam Đường,"0,10×g"
Huyện Phong Thổ,"0,14×g",Huyện Than Uyên,"0,10×g"
36. Lạng Sơn,,,
Thành phố Lạng Sơn,"0,04×g",Huyện Hữu Lũng,"0,08×g"
Huyện Bình Gia,"0,04×g",Huyện Lộc Bình,"0,06×g"
Huyện Bắc Sơn,"0,04×g",Huyện Tràng Định,"0,06×g"
Huyện Cao Lộc,"0,04×g",Huyện Văn Lãng,"0,06×g"
Huyện Chi Lăng,"0,04×g",Huyện Văn Quan,"0,04×g"
Huyện Đình Lập,"0,04×g",,
37. Lào Cai,,,
Thành phố Lào Cai,"0,14×g",Huyện Bát Xát,"0,12×g"
Thị xã Sa Pa,"0,08×g",Huyện Mường Khương,"0,04×g"
Huyện Bắc Hà,"0,06×g",Huyện Si Ma Cai,"0,04×g"
Huyện Bảo Yên,"0,14×g",Huyện Văn Bàn,"0,10×g"
Huyện Bảo Thắng,"0,14×g",,
38. Lâm Đồng,,,
Thành phố Đà Lạt,"0,02×g",Huyện Đơn Dương,"0,04×g"
Thành phố Bảo Lộc,"0,02×g",Huyện Đức Trọng,"0,04×g"
Huyện Bảo Lâm,"0,02×g",Huyện Đạ Huoai,"0,02×g"
Huyện Cát Tiên,"0,04×g",Huyện Đạ Tẻh,"0,02×g"
Huyện Di Linh,"0,02×g",Huyện Lâm Hà,"0,02×g"
Huyện Đam Rông,"0,02×g",Huyện Lạc Dương,"0,02×g"
39. Long An,,,
Thành phố Tân An,"0,02×g",Huyện Mộc Hóa,"0,02×g"
Thị xã Kiến Tường,"0,02×g",Huyện Tân Hưng,"0,02×g"
Huyện Bến Lức,"0,04×g",Huyện Tân Thạnh,"0,02×g"
Huyện Cần Đước,"0,04×g",Huyện Tân Trụ,"0,04×g"
Huyện Cần Giuộc,"0,04×g",Huyện Thạnh Hóa,"0,02×g"
Huyện Châu Thành,"0,02×g",Huyện Thủ Thừa,"0,04×g"
Huyện Đức Hòa,"0,04×g",Huyện Vĩnh Hưng,"0,02×g"
Huyện Đức Huệ,"0,04×g",,
40. Nam Định,,,
Thành phố Nam Định,"0,14×g",Huyện Nghĩa Hưng,"0,14×g"
Huyện Giao Thủy,"0,12×g",Huyện Trực Ninh,"0,14×g"
Huyện Hải Hậu,"0,14×g",Huyện Vụ Bản,"0,14×g"
Huyện Mỹ Lộc,"0,14×g",Huyện Xuân Trường,"0,14×g"
Huyện Nam Trực,"0,14×g",Huyện Ý Yên,"0,12×g"
41. Nghệ An,,,
Thành phố Vinh,"0,12×g",Huyện Nam Đàn,"0,12×g"
Thị xã Cửa Lò,"0,12×g",Huyện Nghĩa Đàn,"0,10×g"
Thị xã Hoàng Mai,"0,10×g",Huyện Quế Phong,"0,08×g"
Thị xã Thái Hòa,"0,10×g",Huyện Quỳ Hợp,"0,08×g"
