Địa danh,Phổ gia tốc chu kỳ ngắn Ss,Phổ gia tốc chu kỳ dài S1,Địa danh,Phổ gia tốc chu kỳ ngắn Ss,Phổ gia tốc chu kỳ dài S1
(1),(2),(3),(4),(5),(6)
1. Thành phố Hà Nội,,,,,
Quận Ba Đình,"0,36×g","0,14×g",Huyện Đan Phượng,"0,39×g","0,17×g"
Quận Cầu Giấy,"0,37×g","0,15×g",Huyện Đông Anh,"0,30×g","0,12×g"
Quận Đống Đa,"0,36×g","0,16×g",Huyện Gia Lâm,"0,30×g","0,12×g"
Quận Hà Đông,"0,39×g","0,17×g",Huyện Hoài Đức,"0,39×g","0,17×g"
Quận Hai Bà Trưng,"0,35×g","0,16×g",Huyện Mê Linh,"0,30×g","0,12×g"
Quận Hoàn Kiếm,"0,32×g","0,15×g",Huyện Mỹ Đức,"0,37×g","0,15×g"
Quận Hoàng Mai,"0,37×g","0,14×g",Huyện Phúc Thọ,"0,40×g","0,17×g"
Quận Long Biên,"0,30×g","0,12×g",Huyện Phú Xuyên,"0,40×g","0,19×g"
Quận Tây Hồ,"0,32×g","0,15×g",Huyện Quốc Oai,"0,40×g","0,17×g"
Quận Thanh Xuân,"0,38×g","0,17×g",Huyện Sóc Sơn,"0,38×g","0,15×g"
Quận Bắc Từ Liêm,"0,38×g","0,19×g",Huyện Thạch Thất,"0,40×g","0,18×g"
Quận Nam Từ Liêm,"0,38×g","0,18×g",Huyện Thanh Oai,"0,40×g","0,18×g"
Thị xã Sơn Tây,"0,40×g","0,17×g",Huyện Thanh Trì,"0,38×g","0,17×g"
Huyện Ba Vì,"0,40×g","0,19×g",Huyện Thường Tín,"0,39×g","0,19×g"
Huyện Chương Mỹ,"0,40×g","0,17×g",Huyện Ứng Hòa,"0,39×g","0,18×g"
2. Thành phố Hồ Chí Minh,,,,,
Thành phố Thủ Đức,"0,23×g","0,08×g",Quận 11,"0,23×g","0,08×g"
Quận 1,"0,23×g","0,08×g",Quận 12,"0,23×g","0,08×g"
Quận 3,"0,23×g","0,08×g",Quận Bình Thạnh,"0,23×g","0,08×g"
Quận 4,"0,23×g","0,08×g",Quận Bình Tân,"0,23×g","0,08×g"
Quận 5,"0,23×g","0,08×g",Quận Gò Vấp,"0,23×g","0,08×g"
Quận 6,"0,23×g","0,08×g",Quận Phú Nhuận,"0,23×g","0,08×g"
Quận 7,"0,23×g","0,08×g",Quận Tân Bình,"0,23×g","0,08×g"
Quận 8,"0,23×g","0,08×g",Quận Tân Phú,"0,23×g","0,08×g"
Quận 10,"0,23×g","0,08×g",Huyện Bình Chánh,"0,23×g","0,08×g"
Huyện Cần Giờ,"0,23×g","0,08×g",Huyện Hóc Môn,"0,23×g","0,08×g"
Huyện Củ Chi,"0,23×g","0,08×g",Huyện Nhà Bè,"0,23×g","0,08×g"
3. Thành phố Hải Phòng,,,,,
Quận Hồng Bàng,"0,53×g","0,22×g",Huyện An Lão,"0,53×g","0,21×g"
Quận Dương Kinh,"0,45×g","0,19×g",Huyện Bạch Long Vĩ,"0,15×g","0,06×g"
Quận Đồ Sơn,"0,38×g","0,15×g",Huyện Cát Hải,"0,15×g","0,06×g"
Quận Hải An,"0,53×g","0,20×g",Huyện Kiến Thụy,"0,45×g","0,18×g"
Quận Kiến An,"0,53×g","0,22×g",Huyện Thủy Nguyên,"0,45×g","0,17×g"
Quận Lê Chân,"0,53×g","0,20×g",Huyện Tiên Lãng,"0,38×g","0,15×g"
Quận Ngô Quyền,"0,53×g","0,20×g",Huyện Vĩnh Bảo,"0,30×g","0,12×g"
Huyện An Dương,"0,53×g","0,20×g",,,
4. Thành phố Đà Nẵng,,,,,
Quận Cẩm Lệ,"0,14×g","0,06×g",Quận Sơn Trà,"0,30×g","0,12×g"
Quận Hải Châu,"0,30×g","0,12×g",Quận Thanh Khê,"0,30×g","0,12×g"
Quận Liên Chiểu,"0,23×g","0,09×g",Huyện Hòa Vang,"0,15×g","0,06×g"
Quận Ngũ Hành Sơn,"0,23×g","0,09×g",Huyện Hoàng Sa (quần đảo Hoàng Sa),"0,15×g","0,06×g"
5. Thành phố Cần Thơ,,,,,
Quận Bình Thủy,"0,13×g","0,06×g",Huyện Cờ Đỏ,"0,08×g","0,03×g"
Quận Cái Răng,"0,15×g","0,06×g",Huyện Phong Điền,"0,08×g","0,03×g"
Quận Ninh Kiều,"0,12×g","0,06×g",Huyện Thới Lai,"0,08×g","0,03×g"
Quận Ô Môn,"0,15×g","0,06×g",Huyện Vĩnh Thạnh,"0,08×g","0,03×g"
Quận Thốt Nốt,"0,13×g","0,06×g",,,
6. An Giang,,,,,
Thành phố Long Xuyên,"0,13×g","0,06×g",Huyện An Phú,"0,15×g","0,06×g"
Thành phố Châu Đốc,"0,13×g","0,06×g",Huyện Châu Phú,"0,13×g","0,06×g"
Thị xã Tân Châu,"0,15×g","0,06×g",Huyện Châu Thành,"0,13×g","0,06×g"
Huyện Chợ Mới,"0,15×g","0,06×g",Huyện Tri Tôn,"0,08×g","0,03×g"
Huyện Phú Tân,"0,13×g","0,06×g",Huyện Tịnh Biên,"0,15×g","0,06×g"
Huyện Thoại Sơn,"0,08×g","0,03×g",,,
7. Bà Rịa - Vũng Tàu,,,,,
Thành phố Vũng Tàu,"0,15×g","0,06×g",Huyện Đất Đỏ,"0,15×g","0,06×g"
Thành phố Bà Rịa,"0,15×g","0,06×g",Huyện Long Điền,"0,15×g","0,06×g"
Huyện Châu Đức,"0,08×g","0,03×g",Huyện Tân Thành,"0,15×g","0,06×g"
Huyện Côn Đảo,"0,15×g","0,06×g",Huyện Xuyên Mộc,"0,06×g","0,03×g"
8. Bạc Liêu,,,,,
Thành phố Bạc Liêu,"0,08×g","0,03×g",Huyện Hồng Dân,"0,08×g","0,03×g"
Huyện Đông Hải,"0,08×g","0,03×g",Huyện Phước Long,"0,08×g","0,03×g"
Huyện Giá Rai,"0,08×g","0,03×g",Huyện Vĩnh Lợi,"0,08×g","0,03×g"
Huyện Hòa Bình,"0,08×g","0,03×g",,,
9. Bắc Giang,,,,,
Thành phố Bắc Giang,"0,38×g","0,14×g",Huyện Sơn Động,"0,12×g","0,06×g"
Huyện Hiệp Hòa,"0,30×g","0,11×g",Huyện Tân Yên,"0,23×g","0,09×g"
Huyện Lạng Giang,"0,30×g","0,12×g",Huyện Việt Yên,"0,45×g","0,18×g"
Huyện Lục Nam,"0,38×g","0,16×g",Huyện Yên Dũng,"0,38×g","0,15×g"
Huyện Lục Ngạn,"0,23×g","0,09×g",Huyện Yên Thế,"0,23×g","0,09×g"
10. Bắc Kạn,,,,,
Thành phố Bắc Kạn,"0,30×g","0,12×g",Huyện Chợ Mới,"0,19×g","0,09×g"
Huyện Ba Bể,"0,23×g","0,10×g",Huyện Na Rì,"0,15×g","0,06×g"
Huyện Bạch Thông,"0,30×g","0,13×g",Huyện Ngân Sơn,"0,15×g","0,06×g"
Huyện Chợ Đồn,"0,15×g","0,06×g",Huyện Pác Nặm,"0,19×g","0,09×g"
11. Bắc Ninh,,,,,
Thành phố Bắc Ninh,"0,45×g","0,18×g",Thị xã Từ Sơn,"0,30×g","0,12×g"
Huyện Gia Bình,"0,53×g","0,21×g",Huyện Thuận Thành,"0,38×g","0,15×g"
Huyện Lương Tài,"0,45×g","0,19×g",Huyện Tiên Du,"0,38×g","0,14×g"
Huyện Quế Võ,"0,45×g","0,17×g",Huyện Yên Phong,"0,38×g","0,14×g"
12. Bến Tre,,,,,
Thành phố Bến Tre,"0,08×g","0,03×g",Huyện Giồng Trôm,"0,08×g","0,03×g"
Huyện Ba Tri,"0,08×g","0,03×g",Huyện Mỏ Cày Bắc,"0,08×g","0,03×g"
Huyện Bình Đại,"0,08×g","0,03×g",Huyện Mỏ Cày Nam,"0,08×g","0,03×g"
Huyện Châu Thành,"0,08×g","0,03×g",Huyện Thạnh Phú,"0,08×g","0,03×g"
Huyện Chợ Lách,"0,08×g","0,03×g",,,
13. Bình Dương,,,,,
Thành phố Thủ Dầu Một,"0,15×g","0,06×g",Huyện Bàu Bàng,"0,13×g","0,06×g"
Thị xã Bến Cát,"0,12×g","0,06×g",Huyện Bắc Tân Uyên,"0,08×g","0,03×g"
Thị xã Dĩ An,"0,13×g","0,06×g",Huyện Dầu Tiếng,"0,13×g","0,06×g"
Thị xã Tân Uyên,"0,08×g","0,03×g",Huyện Phú Giáo,"0,13×g","0,06×g"
Thị xã Thuận An,"0,23×g","0,09×g",,,
14. Bình Định,,,,,
Thành phố Quy Nhơn,"0,19×g","0,09×g",Huyện Phù Mỹ,"0,20×g","0,09×g"
Thị xã An Nhơn,"0,18×g","0,09×g",Huyện Tây Sơn,"0,20×g","0,09×g"
Huyện An Lão,"0,23×g","0,08×g",Huyện Tuy Phước,"0,23×g","0,09×g"
Huyện Hoài Ân,"0,19×g","0,09×g",Huyện Vân Canh,"0,23×g","0,10×g"
Huyện Hoài Nhơn,"0,19×g","0,09×g",Huyện Vĩnh Thạnh,"0,21×g","0,09×g"
Huyện Phù Cát,"0,19×g","0,09×g",,,
