Trạm,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,"0,9","7,7","8,0","12,2","15,8","16,8","20,6","19,3","16,0","10,3","8,2","0,8","0,8"
2. Sìn Hồ,"-4,5","-0,4","-1,0","4,3","8,4","11,0","12,9","12,4","8,9","2,1","-1,0","-4,2","-4,5"
3. Tam Đường,"0,8","3,2","2,9","7,9","11,9","15,0","16,9","17,0","12,7","7,2","4,0","-0,4","-0,4"
4. Than Uyên,"-2,8","3,0","4,3","9,5","12,5","15,1","17,7","18,0","13,1","6,4","1,4","-1,5","-2,8"
5. Lai Châu,"3,4","7,1","8,1","12,9","16,1","18,2","20,1","19,2","16,4","10,5","7,5","3,6","3,4"
6. Tuần Giáo,"-0,6","2,7","4,1","10,3","13,9","14,3","19,0","17,1","11,5","7,7","3,6","-0,4","-0,6"
7. Pha Đin,"-0,4","0,1","-0,1","5,9","11,0","13,1","14,0","15,0","10,9","8,3","4,2","-1,2","-1,2"
8. Điện Biên,"-1,3","4,8","5,3","11,6","14,8","17,4","18,7","10,7","14,2","7,7","4,0","0,4","-1,3"
9. Quỳnh Nhai,"0,9","5,4","6,5","12,8","16,6","18,6","20,9","20,6","16,3","11,8","7,4","3,5","0,9"
10. Sông Mã,"-0,8","2,9","5,7","9,8","15,3","2,3","18,6","19,7","14,6","8,4","4,4","0,3","-0,8"
11. Cò Nòi,"-4,7","1,9","3,4","8,5","12,9","13,6","16,7","16,2","11,0","5,4","0,5","-4,5","-4,7"
12. Yên Châu,"-1,5","3,5","5,3","9,2","15,7","16,0","18,3","20,3","14,9","8,8","3,7","-0,4","-1,5"
13. Bắc Yên,"1,7","3,9","4,7","9,9","13,6","10,5","18,5","19,1","14,6","11,0","5,2","2,6","1,7"
14. Phù Yên,"0,5","3,0","4,3","10,3","15,7","16,2","19,6","15,6","14,7","8,9","3,4","-0,9","-0,9"
15. Mộc Châu,"-0,9","0,4","2,2","7,3","11,4","13,8","15,2","15,8","11,7","8,3","3,3","-1,5","-1,5"
16. Sơn La,"-0,5","3,9","4,8","8,4","13,7","15,2","17,2","17,9","13,4","7,2","3,6","-0,2","-0,5"
17. Kim Bôi,"2,6","4,5","6,7","12,0","15,8","17,3","19,2","20,3","15,9","10,7","7,0","1,4","1,4"
18. Mai Châu,"1,9","5,6","1,7","2,4","16,8","16,9","18,4","19,2","2,3","10,6","8,3","3,0","1,7"
19. Chi Nê,"2,5","5,4","6,8","12,4","16,7","19,8","21,0","22,2","17,2","11,7","6,8","2,3","2,3"
20. Lạc Sơn,"0,7","3,5","5,9","11,6","15,8","18,1","19,3","21,6","16,3","10,4","4,1","0,1","0,1"
21. Hoà Bình,"1,9","5,0","7,2","12,5","10,2","18,6","19,6","22,1","16,6","11,1","6,4","2,0","1,9"
22. Hoàng Su Phì,"0,2","2,9","3,7","9,5","13,7","15,7","17,7","17,8","13,2","7,9","4,4","-0,1","-0,1"
23. Bắc Mê,"0,3","1,4","4,2","10,0","13,9","15,6","19,1","20,0","13,2","8,7","4,6","-0,1","-0,1"
24. Bắc Quang,"0,3","4,9","6,0","11,5","16,1","17,6","19,4","20,1","15,0","9,9","6,1","0,9","0,3"
25. Hà Giang,"1,5","4,9","5,4","11,7","15,5","17,3","20,1","20,3","15,8","9,8","6,5","2,0","1,5"
26. Phố Ràng,"2,4","4,3","5,5","12,9","15,1","18,2","22,0","20,5","16,4","1,3","7,6","2,6","1,3"
