Giờ,Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
Trạm Ba Vì,,,,,,,,,,,,
1,93,92,90,93,94,93,92,91,,,,
2,93,92,91,94,95,93,92,,,,,
3,94,93,91,94,95,94,93,92,,,,
4,94,93,94,92,95,94,93,92,,,,
5,94,93,94,92,95,96,95,94,93,92,,
6,94,93,95,96,95,94,93,92,,,,
7,94,92,95,94,93,92,,,,,,
8,93,92,89,87,91,90,,,,,,
9,90,89,90,88,84,82,86,87,84,,,
10,84,86,83,79,77,82,83,78,79,77,,
11,80,79,82,79,75,74,78,79,73,74,72,
12,76,79,76,72,71,76,75,70,68,,,
13,74,73,76,74,70,68,74,73,67,68,66,
14,72,75,73,68,67,73,72,66,64,,,
15,72,71,75,73,68,66,72,73,72,66,64,
16,73,72,76,74,69,68,73,74,73,69,68,65
17,75,78,77,71,76,77,74,75,70,,,
18,80,79,81,80,76,75,79,81,83,81,82,78
19,85,84,85,81,85,87,88,86,87,84,,
20,88,87,85,88,90,89,87,,,,,
21,89,88,89,88,87,90,91,90,88,,,
22,90,88,91,92,91,89,,,,,,
23,91,90,91,89,88,92,93,92,90,,,
24,92,91,90,89,92,94,93,92,91,,,
Trạm Bắc Giang,,,,,,,,,,,,
1,86,89,90,92,91,88,87,84,,,,
2,87,86,90,91,90,91,92,89,87,84,,
3,88,87,90,91,93,90,88,85,,,,
4,87,90,91,92,93,90,88,85,,,,
5,88,87,91,92,93,90,88,85,,,,
6,88,87,91,92,93,94,93,91,88,86,,
7,88,87,91,90,91,93,90,88,86,,,
8,87,86,89,88,85,86,89,88,84,82,,
9,83,87,85,81,80,82,84,83,77,78,76,
10,78,83,81,78,76,78,80,78,70,72,70,
11,74,75,80,78,74,73,75,77,74,66,68,66
12,71,72,78,76,72,71,72,74,72,63,65,63
13,69,76,75,70,69,71,73,70,61,62,61,
14,67,68,75,74,69,67,70,72,70,61,60,
15,67,75,74,68,67,70,72,70,61,59,,
16,68,76,75,69,68,70,73,71,62,63,60,
17,70,78,76,71,70,72,75,74,66,67,63,
18,74,73,80,79,75,74,75,78,71,72,68,
19,77,83,80,79,80,83,77,73,,,,
20,80,79,85,84,83,84,86,85,80,77,,
21,82,81,86,87,86,88,87,82,79,,,
22,83,87,88,87,89,88,84,83,80,,,
23,85,84,87,88,90,89,86,85,82,,,
24,86,85,88,89,91,90,87,86,83,,,
Trạm Bắc Kạn,,,,,,,,,,,,
1,82,87,90,92,94,92,90,89,,,,
2,89,88,91,93,95,92,91,89,,,,
3,90,89,91,92,94,95,92,91,89,,,
4,90,89,92,93,94,95,93,91,89,,,
5,90,89,92,93,95,96,95,93,91,89,,
6,90,92,93,94,95,96,95,93,91,89,,
7,90,92,93,94,95,93,91,89,,,,
8,89,90,87,89,91,92,91,88,89,87,,
9,86,85,86,85,81,83,84,83,79,82,81,
10,78,80,79,75,77,78,77,75,70,73,72,
11,72,75,71,73,74,72,70,64,67,65,,
12,67,68,72,68,70,71,69,67,61,64,61,
13,65,70,65,68,70,68,66,59,62,59,,
14,64,63,69,68,64,67,69,67,65,59,61,58
15,63,69,68,64,67,70,68,66,59,61,58,
16,64,70,69,64,68,71,70,67,61,64,60,
17,67,66,72,71,66,70,74,73,71,67,69,64
18,72,71,75,70,74,78,79,76,77,72,,
19,78,76,79,80,76,80,84,85,86,82,78,
20,82,81,83,81,85,88,89,86,85,82,,
21,84,83,85,84,88,91,88,87,85,,,
22,86,85,86,87,86,90,92,93,92,90,88,87
23,87,86,88,91,93,91,89,88,,,,
24,88,87,89,90,89,92,94,92,90,88,,
Trạm Buôn Ma Thuật,,,,,,,,,,,,
1,87,91,93,94,93,94,93,92,89,,,
2,88,89,92,93,94,93,95,94,92,89,,
3,89,92,94,95,94,93,90,,,,,
4,89,90,93,94,95,94,95,94,93,90,,
5,89,90,91,93,94,95,94,96,94,93,91,
6,90,91,92,94,95,94,96,95,93,91,,
7,89,90,89,88,90,92,94,95,94,92,90,
8,82,81,78,76,81,83,86,88,85,84,83,
9,74,71,69,75,79,82,81,83,79,77,,
10,68,64,62,63,71,75,77,76,79,75,73,
11,64,59,57,58,67,72,74,73,76,71,72,70
12,61,54,53,54,64,71,73,71,74,69,70,67
13,58,51,50,51,62,70,72,70,73,68,69,66
14,57,50,48,49,62,70,72,70,73,68,69,66
15,58,49,47,49,62,71,72,71,74,71,70,67
16,60,51,48,51,65,72,74,73,77,73,70,
17,64,54,52,56,70,76,77,76,81,78,77,74
18,71,62,59,63,76,80,82,81,86,83,80,
19,78,70,67,70,82,86,87,86,90,88,86,84
20,81,76,73,76,85,88,90,89,92,89,88,86
21,83,80,77,79,87,90,91,93,90,89,87,
22,85,83,81,82,88,91,92,94,91,90,88,
23,85,83,84,90,92,93,94,92,91,88,,
24,86,85,86,91,92,93,94,93,91,89,,
Trạm Cà Mau,,,,,,,,,,,,
1,85,84,85,88,90,91,92,90,86,,,
2,86,89,91,92,90,87,,,,,,
3,87,86,87,90,91,92,93,91,87,,,
4,87,88,90,92,93,91,87,,,,,
5,88,87,89,91,92,93,92,88,,,,
6,88,89,91,93,94,92,88,,,,,
7,88,89,91,92,93,91,88,,,,,
8,83,81,80,78,81,83,85,86,85,84,82,
9,76,74,72,71,75,78,80,79,81,79,78,76
10,70,68,66,70,73,76,74,77,75,74,71,
11,66,64,63,62,67,71,74,72,74,73,71,68
12,64,61,60,65,70,73,71,73,72,70,66,
13,62,60,59,66,70,72,70,73,72,70,65,
14,62,60,59,60,67,70,72,71,74,73,70,65
15,63,60,59,62,69,72,74,73,75,72,67,
16,65,62,61,64,71,75,74,77,74,69,,
17,68,64,67,74,77,78,77,79,76,71,,
18,72,69,71,77,80,81,80,82,80,75,,
19,76,74,76,81,83,84,85,83,78,,,
20,78,77,78,83,85,86,87,84,80,,,
21,80,79,80,84,86,87,88,85,81,,,
22,82,81,86,87,88,89,87,83,,,,
23,84,82,83,87,88,89,90,88,84,,,
24,85,84,83,84,88,89,90,91,89,85,,
Trạm Cam Ranh,,,,,,,,,,,,
1,76,78,81,83,82,79,80,84,85,83,76,
2,76,78,81,83,80,81,85,86,83,77,,
3,77,79,82,84,83,81,85,86,83,77,,
4,77,79,82,84,81,82,86,84,77,,,
5,77,80,82,85,84,82,83,86,87,84,77,
6,78,80,83,85,84,82,83,86,87,85,77,
7,77,79,81,80,78,76,78,82,84,83,77,
8,72,71,70,69,70,69,74,77,78,74,,
9,68,67,66,65,63,64,63,68,72,75,71,
10,65,63,62,61,59,63,68,73,69,,,
11,63,60,62,60,58,62,67,71,68,,,
12,62,59,62,63,60,58,63,67,71,67,,
13,61,59,60,62,63,61,60,59,64,68,71,67
14,62,60,63,65,62,61,59,65,69,72,68,
