Vĩ độ,Ngày,Yếu tố,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h
24°B,Xuân phân (21/3),H,"0,0","12,9","26,5","39,6","51,7","61,5","66,0","62,3","52,9","40,9","27,9","14,4","0,7"
24°B,Xuân phân (21/3),A,"-89,7","-84,1","-77,2","-68,4","-55,7","-34,8","-2,0","31,9","53,9","67,3","76,4","83,4","89,7"
24°B,Hạ Chí (22/6),H,"10,4","23,4","36,7","50,1","63,7","77,4","88,7","75,1","61,4","47,8","34,4","21,2","8,2"
24°B,Hạ Chí (22/6),A,"-111,2","-106,4","-102,3","-98,5","-94,8","-90,5","113,4","91,3","95,4","99,1","102,9","107,2","112,1"
24°B,Thu phân (23/9),H,"0,0","11,6","25,1","38,1","50,1","59,9","64,5","61,5","52,5","40,8","28,0","14,5","0,9"
24°B,Thu phân (23/9),A,"-89,4","-83,2","-76,2","-67,4","-54,9","-34,8","-3,8","29,0","51,3","65,1","74,5","81,8","88,0"
24°B,Đông chí (22/12),H,"0,0","2,8","14,6","25,2","34,1","40,2","42,5","40,4","34,5","25,8","15,2","3,5","0,0"
24°B,Đông chí (22/12),A,"-68,5","-62,7","-55,5","-46,2","-34,1","-18,6","-0,5","17,7","33,4","45,6","55,1","62,4","68,2"
22°B,Xuân phân (21/3),H,"0,0","13,1","26,9","40,3","52,8","63,1","68,0","64,0","54,0","41,7","28,4","14,6","0,8"
22°B,Xuân phân (21/3),A,"-89,7","-84,6","-78,2","-70,0","-57,9","-37,1","-2,2","34,0","56,2","68,9","77,4","83,9","89,7"
22°B,Hạ Chí (22/6),H,"9,7","22,8","36,2","49,8","63,5","77,3","88,1","74,9","61,2","47,5","33,9","20,6","7,5"
22°B,Hạ Chí (22/6),A,"-111,5","-107,2","-103,7","-100,8","-98,8","-99,3","141,9","98,8","99,1","101,3","104,3","107,9","112,4"
22°B,Thu phân (23/9),H,"0,0","11,8","25,6","38,9","51,3","61,5","66,5","63,2","53,7","41,6","28,5","14,8","1,0"
22°B,Thu phân (23/9),A,"-89,3","-83,6","-77,1","-68,9","-56,9","-36,8","-4,1","30,9","53,4","66,7","75,6","82,3","88,1"
22°B,Đông chí (22/12),H,"0,0","3,7","15,7","26,6","35,7","42,1","44,5","42,3","36,2","27,1","16,3","4,4","0,0"
22°B,Đông chí (22/12),A,"-68,2","-62,8","-55,9","-46,9","-34,9","-19,2","-0,5","18,2","34,1","46,4","55,5","62,5","67,9"
20°B,Xuân phân (21/3),H,"0,0","13,3","27,3","40,9","53,8","64,7","70,0","65,6","55,1","42,4","28,8","14,8","0,8"
20°B,Xuân phân (21/3),A,"-89,7","-85,1","-79,2","-71,6","-60,2","-39,6","-2,4","36,5","58,5","70,6","78,5","84,5","89,7"
20°B,Hạ Chí (22/6),H,"8,9","22,2","35,7","49,4","63,1","76,8","86,3","74,5","60,8","47,1","33,4","19,9","6,7"
20°B,Hạ Chí (22/6),A,"-111,8","-108,0","-105,1","-103,1","-102,7","-107,8","161,5","105,9","102,6","103,4","105,5","108,6","112,6"
20°B,Thu phân (23/9),H,"0,0","12,1","26,0","39,6","52,3","63,1","68,5","64,9","54,9","42,4","29,0","15,1","1,0"
20°B,Thu phân (23/9),A,"-89,2","-84,0","-78,1","-70,4","-59,0","-39,2","-4,4","33,0","55,7","68,4","76,6","82,8","88,1"
20°B,Đông chí (22/12),H,"0,0","4,6","16,8","28,0","37,4","44,0","46,5","44,2","37,8","28,5","17,4","5,3","0,0"
20°B,Đông chí (22/12),A,"-67,9","-62,9","-56,4","-47,7","-35,7","-19,8","-0,5","18,8","35,0","47,1","56,0","62,6","67,7"
18°B,Xuân phân (21/3),H,"0,0","13,5","27,6","41,5","54,8","66,2","72,0","67,2","56,1","43,0","29,2","15,0","0,8"
18°B,Xuân phân (21/3),A,"-89,7","-85,5","-80,2","-73,3","-62,6","-42,5","-2,6","39,3","61,1","72,4","79,6","85,0","89,7"
18°B,Hạ Chí (22/6),H,"8,2","21,6","35,2","48,9","62,6","76,1","84,4","73,8","60,3","46,6","32,8","19,3","6,0"
18°B,Hạ Chí (22/6),A,"-112,1","-108,8","-106,5","-105,4","-106,5","-115,5","168,0","112,6","106,0","105,4","106,8","109,3","112,8"
18°B,Thu phân (23/9),H,"0,0","12,3","26,4","40,2","53,3","64,6","70,5","66,5","56,0","43,1","29,4","15,3","1,1"
18°B,Thu phân (23/9),A,"-89,2","-84,4","-79,0","-72,0","-61,3","-41,8","-4,9","35,5","58,1","70,1","77,7","83,3","88,2"
18°B,Đông chí (22/12),H,"0,0","5,6","17,9","29,3","39,0","45,9","48,5","46,1","39,4","29,9","18,6","6,2","0,0"
18°B,Đông chí (22/12),A,"-67,7","-63,1","-56,9","-48,5","-36,7","-20,5","-0,5","19,5","35,9","48,0","56,6","62,8","67,4"
16°B,Xuân phân (21/3),H,"0,0","13,6","28,0","42,1","55,6","67,7","74,0","68,7","57,1","43,6","29,5","15,2","0,8"
16°B,Xuân phân (21/3),A,"-89,8","-86,0","-81,2","-75,0","-65,2","-45,8","-2,9","42,5","63,7","74,2","80,7","85,5","89,8"
16°B,Hạ Chí (22/6),H,"7,4","20,9","34,6","48,3","62,0","75,1","82,4","73,0","59,7","46,0","32,2","18,6","5,2"
16°B,Hạ Chí (22/6),A,"-112,4","-109,5","-107,8","-107,5","-110,1","-122,3","171,1","118,7","109,3","107,5","108,0","109,9","113,0"
16°B,Thu phân (23/9),H,"0,0","12,4","26,7","40,8","54,2","66,1","72,5","68,1","57,0","43,8","29,8","15,5","1,2"
16°B,Thu phân (23/9),A,"-89,1","-84,9","-80,0","-73,7","-63,8","-44,8","-5,4","38,4","60,7","71,9","78,8","83,9","88,2"
16°B,Đông chí (22/12),H,"0,0","6,5","19,0","30,6","40,6","47,7","50,5","48,0","41,1","31,2","19,6","7,1","0,0"
16°B,Đông chí (22/12),A,"-67,4","-63,3","-57,5","-49,4","-37,7","-21,2","-0,6","20,2","36,9","48,8","57,1","63,0","67,2"
14°B,Xuân phân (21/3),H,"0,0","13,8","28,2","42,6","56,4","69,0","76,0","70,2","57,9","44,1","29,8","15,3","0,8"
14°B,Xuân phân (21/3),A,"-89,8","-86,5","-82,3","-76,8","-67,9","-49,5","-3,3","46,3","66,6","76,0","81,8","86,1","89,8"
14°B,Hạ Chí (22/6),H,"6,7","20,2","33,9","47,7","61,3","73,9","80,4","71,9","59,0","45,4","31,6","17,9","4,4"
14°B,Hạ Chí (22/6),A,"-112,6","-110,2","-109,1","-109,7","-113,6","-128,2","172,9","124,1","112,5","109,4","109,2","110,6","113,1"
14°B,Thu phân (23/9),H,"0,0","12,6","27,1","41,3","55,1","67,4","74,5","69,7","57,9","44,4","30,2","15,8","1,2"
14°B,Thu phân (23/9),A,"-89,0","-85,3","-81,0","-75,3","-66,3","-48,2","-6,1","41,7","63,5","73,8","80,0","84,4","88,2"
14°B,Đông chí (22/12),H,"0,0","7,4","20,1","31,9","42,2","49,6","52,5","49,9","42,6","32,5","20,7","8,0","0,0"
14°B,Đông chí (22/12),A,"-67,2","-63,5","-58,1","-50,3","-38,8","-22,1","-0,6","21,0","38,0","49,8","57,8","63,3","67,1"
12°B,Xuân phân (21/3),H,"0,0","13,9","28,5","43,0","57,2","70,2","78,0","71,5","58,6","44,5","30,1","15,5","0,8"
12°B,Xuân phân (21/3),A,"-89,8","-87,0","-83,4","-78,6","-70,8","-53,7","-3,9","50,6","69,6","77,9","82,9","86,6","89,8"
12°B,Hạ Chí (22/6),H,"5,9","19,5","33,3","47,0","60,4","72,6","78,4","70,7","58,2","44,7","30,9","17,2","3,6"
12°B,Hạ Chí (22/6),A,"-112,8","-110,9","-110,4","-111,7","-116,8","-133,2","174,1","128,8","115,5","111,3","110,3","111,1","113,3"
12°B,Thu phân (23/9),H,"0,0","12,8","27,4","41,8","55,8","68,7","76,5","71,1","58,8","44,9","30,5","15,9","1,3"
12°B,Thu phân (23/9),A,"-89,0","-85,8","-82,0","-77,1","-69,0","-52,0","-7,0","45,6","66,5","75,7","81,1","85,0","88,3"
12°B,Đông chí (22/12),H,"0,0","8,2","21,1","33,2","43,7","51,5","54,5","51,7","44,2","33,8","21,8","8,9","0,0"
12°B,Đông chí (22/12),A,"-67,0","-63,7","-58,7","-51,3","-39,9","-23,0","-0,6","21,9","39,2","50,8","58,4","63,5","66,9"
10°B,Xuân phân (21/3),H,"0,0","14,0","28,7","43,3","57,8","71,4","80,0","72,7","59,3","44,9","30,3","15,6","0,8"
10°B,Xuân phân (21/3),A,"-89,9","-87,5","-84,5","-80,4","-73,8","-58,5","-4,7","55,5","72,7","79,9","84,1","87,2","89,9"
10°B,Hạ Chí (22/6),H,"5,1","18,8","32,6","46,2","59,5","71,2","76,5","69,4","57,3","43,9","30,2","16,5","2,8"
10°B,Hạ Chí (22/6),A,"-113,0","-111,6","-113,6","-119,8","-137,5","175,0","133,0","118,3","113,1","111,4","111,7","113,4",
10°B,Thu phân (23/9),H,"0,0","12,9","27,6","42,2","56,5","69,9","78,5","72,5","59,5","45,3","30,8","16,1","1,3"
10°B,Thu phân (23/9),A,"-88,9","-86,2","-83,1","-78,8","-71,8","-56,3","-8,1","50,1","69,6","77,6","82,3","85,6","88,3"
10°B,Đông chí (22/12),H,"0,0","9,1","22,1","34,4","45,2","53,3","56,5","53,6","45,7","35,0","22,8","9,8","0,0"
10°B,Đông chí (22/12),A,"-66,9","-64,0","-59,4","-52,3","-41,2","-24,0","-0,7","22,9","40,5","51,9","59,1","63,8","66,8"
8°B,Xuân phân (21/3),H,"0,0","14,0","28,9","43,7","58,3","72,3","82,0","73,8","59,8","45,2","30,5","15,7","0,8"
8°B,Xuân phân (21/3),A,"-89,9","-88,0","-85,6","-82,3","-76,9","-63,8","-5,8","61,2","76,0","81,9","85,3","87,7","89,9"
8°B,Hạ Chí (22/6),H,"4,3","18,1","31,8","45,4","58,4","69,7","74,5","68,0","56,3","43,1","29,5","15,7","2,0"
8°B,Hạ Chí (22/6),A,"-113,1","-112,2","-112,7","-115,5","-122,7","-141,2","175,6","136,6","121,0","114,8","112,5","112,2","113,4"
8°B,Thu phân (23/9),H,"0,0","13,0","27,8","42,6","57,1","70,9","80,4","73,7","60,2","45,7","31,0","16,2","1,4"
8°B,Thu phân (23/9),A,"-88,8","-86,7","-84,1","-80,6","-74,7","-61,1","-9,8","55,4","72,8","79,6","83,5","86,2","88,4"
8°B,Đông chí (22/12),H,"0,0","10,0","23,2","35,6","46,7","55,1","58,5","55,4","47,2","36,2","23,8","10,7","0,0"
8°B,Đông chí (22/12),A,"-66,8","-64,3","-60,1","-53,4","-42,6","-25,2","-0,7","24,1","41,9","53,0","59,9","64,1","66,7"
