Trạm,Tháng,Năm
Trạm,1,2,3,4,5,6,7,8,9,10,11,12,Năm
1. Lai Châu,3275,4127,4500,5197,5318,4382,4430,5075,5250,4494,3715,3310,4423
2. Sơn La,3811,4444,6241,5842,6207,5563,5467,5764,5972,5313,4510,4150,5274
3. Sa Pa,2570,2798,3574,4257,3953,3360,3452,3505,3172,2617,2434,2746,3203
4. Cao Bằng,2535,2755,3242,4168,5284,5463,5727,5652,5516,4395,3599,3101,4286
5. Hà Nội,2687,2741,2871,3979,6067,6198,6299,5720,5532,4887,4017,3492,4541
6. Phủ Liễn,2659,2289,2253,3260,5115,5187,5546,4845,4825,4493,3850,3246,3964
7. Thanh Hóa,2849,2754,2987,4288,6392,6180,6505,5734,5277,4492,3788,3394,4553
8. Vinh,2191,2140,2732,4326,6091,6176,6550,5751,4715,3604,2747,2441,4122
9. Đà Nẵng,3718,4738,5304,6292,6844,6774,6904,6628,5438,4158,3281,2806,5240
10. Plêiku,6019,6679,6450,6134,6209,5009,4676,4245,4539,4917,5206,5444,5461
11. Đà Lạt,6358,6738,7058,6151,5050,5094,4953,4854,4875,4607,4821,5558,5510
12. Tân Sơn Nhất,5600,6605,6616,6220,5561,5438,5190,5361,5215,5180,4993,5161,5595
13. Cần Thơ,5737,6514,6767,6780,5437,4861,5015,4944,4582,4336,4757,5037,5397
