Tháng,Khuếch tán / tổng cộng,12h,13h,14h,15h,16h,17h,18h,19h,Giờ mặt trời mọc / Giờ mặt trời lặn
Tháng,Khuếch tán / tổng cộng,12,11,10,9,8,7,6,5,Giờ mặt trời mọc / Giờ mặt trời lặn
Trạm Lai Châu,,,,,,,,,,
1,khuếch tán,"25,1","24,0","20,9","16,0","9,9","2,9",-,6h36 / 17h24,
1,tổng cộng,"50,1","46,8","37,9","25,8","13,2","3,0",-,6h36 / 17h24,
2,khuếch tán,"27,3","26,3","23,5","18,9","12,7","5,3",-,6h21 / 17h39,
2,tổng cộng,"57,4","54,0","44,8","31,9","18,1","6,0",-,6h21 / 17h39,
3,khuếch tán,"30,7","29,5","26,1","20,9","14,4","7,1",-,6h04 / 17h56,
3,tổng cộng,"69,7","65,4","53,9","38,3","22,0","8,3",-,6h04 / 17h56,
4,khuếch tán,"34,1","32,5","28,5","22,6","15,7","8,5","1,6",-,5h45 / 18h15
4,tổng cộng,"78,5","73,7","61,1","44,2","26,6","11,6","1,6",-,5h45 / 18h15
5,khuếch tán,"36,1","34,2","29,8","23,7","16,6","9,5","3,0",-,5h29 / 18h31
5,tổng cộng,"72,3","68,0","57,8","44,0","29,0","15,1","4,2",-,5h29 / 18h31
6,khuếch tán,"36,6","34,5","30,0","23,7","16,6","9,5","3,4",-,5h20 / 18h4
6,tổng cộng,"61,4","57,5","48,8","37,1","24,4","12,9","4,0",-,5h20 / 18h4
7,khuếch tán,"37,1","34,9","30,2","23,6","16,3","9,2","3,0",-,5h24 / 18h36
7,tổng cộng,"60,8","57,1","48,8","37,6","25,3","13,7","4,3",-,5h24 / 18h36
8,khuếch tán,"31,4","29,9","26,0","20,5","14,1","7,7","1,9",-,5h38 / 18h22
8,tổng cộng,"64,6","60,9","51,7","39,1","25,4","12,8","2,9",-,5h38 / 18h22
9,khuếch tán,"33,6","32,0","27,7","21,5","14,3","7,1","0,4",-,5h56 / 18h04
9,tổng cộng,"66,0","62,5","53,1","40,0","25,4","11,8","0,6",-,5h56 / 18h04
10,khuếch tán,"29,9","28,6","24,7","19,0","12,2","5,1",-,6h15 / 17h45,
