Trạm,Cấp lượng mưa (mm),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12
1. Mường Tè,Không mưa,"26,6","23,4","24,8","18,1","12,2",6,"5,5","8,8","16,4","21,1","23,2","26,6"
1. Mường Tè,"0,2-5","2,7","3,1","3,3","5,2","7,6","7,3","7,1",8,"6,2","5,4","3,9","2,7"
1. Mường Tè,"5,1-10","0,9","1,1","2,1","2,9","4,1","3,5",3,"2,3","1,4","0,9","0,8",
1. Mường Tè,"10,1-20","0,6","1,1","2,6","3,9","5,1","5,3",4,"2,1","1,5","0,9","0,5",
1. Mường Tè,"20,1-50","0,3","0,6","1,7","3,4","5,3","6,2",5,"2,4","1,1","0,9","0,3",
1. Mường Tè,"50,1-100",0,"0,2","0,8","1,9","2,7","1,8","0,6","0,4","0,2","0,1",,
1. Mường Tè,"100,1-150",0,"0,1","0,3","0,5","0,3","0,1",0,,,,,
1. Mường Tè,"≥ 150,1",0,"0,1","0,2","0,1",0,,,,,,,
2. Sìn Hồ,Không mưa,"23,6","20,7","22,5","16,1","10,3","4,3",7,"12,4","18,3","21,2","24,5",
2. Sìn Hồ,"0,2-5","5,1","5,3","4,4","5,2","7,7","7,2","7,5","7,7","7,5","6,6","5,1","4,6"
2. Sìn Hồ,"5,1-10",1,"1,4","2,6","3,3","4,4","3,8","3,5",3,"1,9","1,3","0,7",
2. Sìn Hồ,"10,1-20","0,9","0,7","1,5","2,9","4,1","5,5","5,4","4,9","2,9","2,1","1,2","0,7"
2. Sìn Hồ,"20,1-50","0,4","0,5","1,1","2,8","4,3","6,1","6,9","5,9","3,4","1,5",1,"0,4"
2. Sìn Hồ,"50,1-100","0,1",0,"0,1","0,4","1,2","2,2","2,6","1,6","0,7","0,6","0,2","0,1"
2. Sìn Hồ,"100,1-150",0,"0,1","0,2","0,5","0,3","0,1",0,,,,,
2. Sìn Hồ,"≥ 150,1",0,"0,1",0,,,,,,,,,
3. Tam Đường,Không mưa,25,"21,5",23,"16,7","10,8","5,2","4,7","8,6","14,9","19,8","22,3","26,3"
3. Tam Đường,"0,2-5","3,7","4,4","3,6","4,8",7,"7,8","8,2",9,"6,8","6,1","4,3","3,1"
3. Tam Đường,"5,1-10","1,2","1,1","1,4","2,5",3,"3,7",4,"3,5","2,9","1,2","0,9",
3. Tam Đường,"10,1-20","0,6","0,7",2,"2,8",4,"5,3","4,7","4,3","2,5","1,9",1,"0,4"
3. Tam Đường,"20,1-50","0,5",1,"2,7","4,9","5,9","6,5","4,4","2,4","1,5",1,"0,3",
3. Tam Đường,"50,1-100",0,"0,1","0,5",1,"1,8","2,3","1,1","0,4","0,5","0,2","0,1",
