Trạm,Suất bảo đảm (%),Tháng 1,Tháng 2,Tháng 3,Tháng 4,Tháng 5,Tháng 6,Tháng 7,Tháng 8,Tháng 9,Tháng 10,Tháng 11,Tháng 12,Năm
1. Mường Tè,95,"0,6","0,0","5,2","35,1","133,3","211,2","323,5","199,5","81,0","25,4","2,0","0,0","1818,6"
1. Mường Tè,90,"1,4","1,2","8,5","47,8","141,0","242,6","384,5","215,4","110,4","32,8","5,1","0,2","1868,7"
1. Mường Tè,80,"4,3","4,0","17,5","64,8","185,2","338,6","439,3","280,9","131,9","45,3","23,4","3,0","2027,6"
1. Mường Tè,70,"10,3","10,0","19,9","87,5","209,6","401,8","490,4","358,7","161,7","60,3","31,9","8,5","2259,0"
1. Mường Tè,60,"12,0","17,0","29,5","109,7","231,3","451,5","544,9","402,5","170,0","78,8","40,5","12,2","2377,8"
1. Mường Tè,50,"23,8","22,0","42,5","124,3","241,3","466,7","591,7","432,5","190,4","93,3","51,8","16,3","2462,9"
1. Mường Tè,40,"31,0","30,0","51,7","136,7","271,9","494,8","627,2","452,6","202,0","111,5","64,7","23,7","2518,0"
1. Mường Tè,30,"42,4","36,8","64,4","151,1","299,6","523,9","701,7","485,8","231,2","136,6","79,7","35,8","2616,6"
1. Mường Tè,20,"47,8","45,3","85,4","185,5","352,2","565,6","752,3","564,8","251,1","165,2","97,6","50,1","2722,0"
1. Mường Tè,10,"61,9","52,6","101,0","206,8","402,5","662,8","869,2","665,0","287,5","196,1","149,3","79,3","2806,1"
1. Mường Tè,5,"79,4","91,6","123,9","247,2","446,4","716,0","930,4","720,9","336,5","216,2","167,4","91,4","2900,8"
2. Sìn Hồ,95,"2,7","4,4","13,7","98,2","122,8","302,5","402,3","260,8","115,8","34,6","7,6","0,4","2261,3"
2. Sìn Hồ,90,"5,1","6,8","21,0","109,4","156,8","352,2","416,1","273,2","137,1","51,1","11,6","1,2","2309,7"
2. Sìn Hồ,80,"9,2","14,3","27,5","126,7","220,8","392,0","485,4","302,7","172,5","68,4","29,0","3,5","2409,3"
2. Sìn Hồ,70,"16,6","21,7","39,5","140,5","253,2","415,3","542,0","336,4","203,7","88,2","37,1","11,8","2514,3"
2. Sìn Hồ,60,"30,6","26,9","58,8","155,7","279,5","445,3","567,9","396,2","222,4","97,0","51,1","18,3","2630,0"
