Cấp gió,Tốc độ gió,Độ cao sóng trung bình,Mức độ nguy hại
Bô-pho,m/s,km/h,m,
0,"0 - 0,2",<1,-,
1,"0,3 - 1,5",1-5,"0,1",- Gió nhẹ.
2,"1,6 - 3,3",6-11,"0,2",- Không gây nguy hại.
3,"3,4 - 5,4",12-19,"0,6",
4,"5,5 - 7,9",20 - 28,"1,0","- Cây nhỏ có lá bắt đầu lay động, ảnh hưởng đến lúa đang phơi màu."
5,"8,0 - 10,7",29 - 38,"2,0","- Biển hơi động, Thuyền đánh cá bị chao nghiêng, phải cuốn bớt buồm."
6,"10,8 - 13,8",39 - 49,"3,0","- Cây cối rung chuyển, Khó đi ngược gió."
7,"13,9 - 17,1",50 - 61,"4,0","- Biển động, Nguy hiểm đối với tàu, thuyền."
9,"17,2 - 20,7",62 - 74,"5,5","- Gió làm gãy cành cây, tốc mái nhà gây thiệt hại về nhà cửa, Không thể đi ngược gió."
9,"20,8 - 24,4",75 - 88,"7,0","- Biển động rất mạnh, Rất nguy hiểm đối với tàu, thuyền."
10,"24,5 - 28,4",89 - 102,"9,0","- Làm đổ cây cối, nhà cửa, cột điện, Gây thiệt hại rất nặng."
11,"28,5 - 32,6",103-117,"11,5",- Biển động dữ dội. Làm đắm tàu biển.
12,"32,7 - 36,9",118 - 133,"14,0","- Sức phá hoại cực kỳ lớn. - Sóng biển cực kỳ mạnh, Đánh đắm tàu biển có trọng tải lớn."
13,"37,0 - 41,4",134 - 149,"14,0","- Sức phá hoại cực kỳ lớn. - Sóng biển cực kỳ mạnh, Đánh đắm tàu biển có trọng tải lớn."
14,"41,5 - 46,1",150 - 166,"14,0","- Sức phá hoại cực kỳ lớn. - Sóng biển cực kỳ mạnh, Đánh đắm tàu biển có trọng tải lớn."
15,"46,2 - 50,9",167 - 183,"14,0","- Sức phá hoại cực kỳ lớn. - Sóng biển cực kỳ mạnh, Đánh đắm tàu biển có trọng tải lớn."
16,"51,0 - 56,0",184 - 201,"14,0","- Sức phá hoại cực kỳ lớn. - Sóng biển cực kỳ mạnh, Đánh đắm tàu biển có trọng tải lớn."
17,"56,1 - 61,2",202 - 220,"14,0","- Sức phá hoại cực kỳ lớn. - Sóng biển cực kỳ mạnh, Đánh đắm tàu biển có trọng tải lớn."
