Vùng bờ biển,Thời gian xuất hiện,Tên cơn bão/ áp thấp nhiệt đới,Cấp bão
Quảng Ninh - Thanh Hóa,23/9/2017,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,13/10/2016,SIRICA (số 7),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,17/8/2016,DIANMU (số 3),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,24/7/2016,MIRINAE (số 1),Cấp 12: (118-133) km/h
Quảng Ninh - Thanh Hóa,20/6/2015,KUJIRA (số 1),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,12/9/2014,KALMAEGI (số 3),Cấp 9: (75 - 88) km/h
Quảng Ninh - Thanh Hóa,27/8/2014,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,12/7/2014,RAMMASUN (số 2),Cấp 9: (75 - 88) km/h
Quảng Ninh - Thanh Hóa,6/11/2013,HAIYAN (số 12),Cấp 12: (118-133) km/h
Quảng Ninh - Thanh Hóa,5/8/2013,MANGKHUT (số 6),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,29/7/2013,JEBI (số 5),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,20/6/2013,BEBINCA (số 2),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,23/10/2012,SONTINH (số 8),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,13/8/2012,KAI-TAX (số 5),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,24/9/2011,NESAT (số 5),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,25/7/2011,NOCKTEN (số 3),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,20/6/2011,HAMA (số 2),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,21/8/2010,MINDULLE (số 3),Cấp 9: (75 - 88) km/h
Quảng Ninh - Thanh Hóa,12/7/2010,CONSON (số 1),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,29/9/2009,PARMA (số 10),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,8/9/2009,MUJIGAE (số 7),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,10/7/2009,SOUDELOR,Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,4/8/2008,KAMMURI (số 4),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,11/8/2008,ÁP THẤP NHIỆT ĐỚI,Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,23/09/2007,FRANCISCO,Cấp 9: (75 - 88) km/h
Quảng Ninh - Thanh Hóa,2/7/2007,TORAJI,Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,3/7/2006,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,19/09/2005,DAMREY (số 7),Cấp 12: (118-133) km/h
Quảng Ninh - Thanh Hóa,9/8/2005,NONAME (số 3),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,28/07/2005,WASHI (số 2),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,12/11/2003,NEPARTAK (số 7),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,20/08/2003,KROVANH (số 5),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,16/07/2003,KONI (số 3),Cấp 9: (75 - 88) km/h
Quảng Ninh - Thanh Hóa,29/07/2002,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,20/08/1997,ZITA (số 2),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,5/9/1996,SALLY (số 5),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,18/08/1996,NIKI (số 4),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,13/08/1996,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,21/07/1996,FRANKIE (số 2),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,3/9/1994,JOEL (số 7),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,29/07/1994,AMY (số 6),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,25/07/1994,HARY (số 5),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,18/07/1994,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,7/7/1993,LEWIS (số 2),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,9/7/1992,ELI (số 3),Cấp 9: (75 - 88) km/h
Quảng Ninh - Thanh Hóa,24/06/1992,CHUCK (số 1),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,10/7/1991,ZEKE (số 3),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,11/9/1990,ED (số 6),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,20/07/1989,IRVING (số 6),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,6/7/1989,FAYE (số 4),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,5/6/1989,DOT (số 3),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,18/10/1988,PAT (số 8),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,16/08/1986,WAYNE (số 5),Cấp 12: (118-133) km/h
Quảng Ninh - Thanh Hóa,9/8/1986,NONAME (số 4),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,16/06/1985,NONAME (số 1),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,19/06/1984,WYNNE (số 2),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,28/09/1983,GEORGIA (số 7),Cấp 12: (118-133) km/h
Quảng Ninh - Thanh Hóa,12/7/1983,VERA (số 3),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,5/9/1982,IRVING (số 8),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,13/07/1982,WINONA (số 4),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,16/08/1981,WARREN (số 5),Cấp 9: (75 - 88) km/h
Quảng Ninh - Thanh Hóa,4/8/1981,ROY (số 4),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,12/9/1980,RUTH (số 6),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,16/08/1980,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,18/07/1980,JOE (số 4),Cấp 11: (103-117) km/h
Quảng Ninh - Thanh Hóa,24/06/1980,HERBERT (số 2),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,9/8/1979,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,28/07/1979,HOPE (số 5),Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,25/09/1978,LOLA (số 7),Cấp 8: (62 - 74) km/h
Quảng Ninh - Thanh Hóa,22/08/1978,ELAINE (số 5),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,26/06/1978,ÁP THẤP NHIỆT ĐỚI,Cấp 6: (39 - 49) km/h
Quảng Ninh - Thanh Hóa,25/09/1977,NONAME (số 9),Cấp 7: (50 - 61) km/h
Quảng Ninh - Thanh Hóa,16/07/1977,SARAH (số 2),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,16/09/1975,ALICE (số 3),Cấp 10: (89-102) km/h
Quảng Ninh - Thanh Hóa,27/08/1975,NONAME (số 4),Cấp 7: (50 - 61) km/h
