Tỉnh,TP/Huyện/ Thị xã,Trạm,Năm bắt đầu,Năm kết thúc,Tháng
Tỉnh,TP/Huyện/ Thị xã,Trạm,Năm bắt đầu,Năm kết thúc,1,2,3,4,5,6,7,8,9,10,11,12
1. An Giang,TP. Châu Đốc,Châu Đốc,1979,2007,"0,28","0,31","1,79","6,90","9,55","5,69","5,14","4,07","5,10","6,34","3,00","0,93"
2. Bà Rịa - Vũng Tàu,Côn Đảo,1979,2007,"0,00","0,14","1,45","8,34","8,52","8,28","7,10","6,66","5,69","1,28","0,24"
2. Bà Rịa - Vũng Tàu,TP. Vũng Tàu,Vũng Tàu,1979,2007,"0,00","0,34","2,34","12,14","12,31","11,21","9,03","9,86","7,83","2,00","0,21"
3. Bắc Giang,TP. Bắc Giang,Bắc Giang,1965,2007,"0,12","1,26","2,23","5,77","10,37","13,35","13,02","13,40","8,56","3,30","0,58","0,07"
4. Bắc Kạn,TP. Bắc Kạn,Bắc Kạn,1965,2007,"0,14","1,09","2,98","7,07","10,70","15,21","16,40","16,21","8,07","2,95","0,51","0,19"
5. Bình Định,TP. Quy Nhơn,Qui Nhơn,1979,2007,"0,07","0,00","0,34","2,72","9,17","6,31","5,17","5,45","10,69","6,28","1,17","0,10"
6. Bình Thuận,TP. Phan Thiết,Phan Thiết,1979,2007,"0,00","0,21","2,79","13,69","12,55","12,93","11,24","12,76","6,52","1,28","0,07"
7. Cà Mau,TP. Cà Mau,Cà Mau,1979,2007,"0,24","0,41","2,52","9,24","17,10","14,86","12,17","10,55","11,79","13,52","6,83","1,17"
8. Cần Thơ,TP. Cần Thơ,Cần Thơ,1979,2007,"0,31","0,41","1,69","5,90","14,45","10,90","9,62","8,14","11,62","13,86","6,45","1,17"
9. Cao Bằng,TP. Cao Bằng,Cao Bằng,1965,2007,"0,23","1,16","3,16","7,00","10,93","15,07","17,09","16,37","8,19","2,93","0,51","0,16"
10.Đắk Lắk,TP. Buôn Ma Thuột,Buôn Ma Thuột,1979,2007,"0,10","0,90","4,38","11,86","21,66","15,83","14,17","12,97","16,83","8,48","1,21","0,10"
11.Gia Lai,TP. Pleiku,Pleiku,1979,2007,"0,07","0,90","4,48","10,66","17,17","10,69","10,38","9,76","13,38","6,76","0,97","0,10"
12.Hà Giang,TP. Hà Giang,Hà Giang,1965,2007,"0,26","1,35","3,86","8,77","13,28","17,35","18,81","17,60","9,40","3,74","0,81","0,12"
13.Hà Nam,TP. Phủ Lý,Hà Nam,1965,2007,"0,19","0,72","1,88","6,30","13,21","15,19","15,05","10,02","4,33","0,53","0,14"
14.Hà Tĩnh,TX. Kỳ Anh,Kỳ Anh,1965,2007,"0,05","0,72","1,81","5,53","10,65","7,40","6,51","9,56","11,09","5,86","0,53","0,00"
15.Hà Tĩnh,TP. Hà Tĩnh,Hà Tĩnh,1965,2007,"0,14","1,02","2,47","7,35","13,40","9,91","9,26","12,86","11,79","7,23","0,79","0,02"
16.Hoà Bình,TP. Hòa Bình,Hoà Bình,1965,2007,"0,26","0,91","3,07","9,09","16,05","16,86","18,02","15,86","9,58","3,74","0,49","0,09"
17.Hưng Yên,TP. Hưng Yên,Hưng Yên,1965,2007,"0,19","0,53","1,86","5,60","11,53","13,70","13,44","13,72","9,44","3,65","0,91","0,12"
18.Khánh Hoà,TP. Nha Trang,Nha Trang,1979,2007,"0,07","0,00","0,48","1,62","7,07","4,10","4,48","4,00","7,48","3,76","1,45","0,07"
