"Tỉnh, thành phố trực thuộc Trung ương",TP/Huyện/Thị xã (hoặc tương đương),Sông,Thời gian bắt đầu
Bắc Giang,Yên Thế,-,27/7/2001
Bắc Kạn,Ba Bể,Năng,27/7/2002
Bắc Kạn,Ba Bể,-,31/7/2010
Bắc Kạn,Bạch Thông,Năng,2/8/2002
Bắc Kạn,Bạch Thông,Cầu,24/9/1990
Bắc Kạn,Bạch Thông,-,15/8/1996
Bắc Kạn,Bạch Thông,-,25/7-4/8/2015
Bắc Kạn,Pác Nặm,-,4/7/2009
Bắc Kạn,Pác Nặm,-,25/7-4/8/2015
Bắc Kạn,Chợ Đồn,-,1/7/1986
Bắc Kạn,Chợ Đồn,-,17/6/2002
Bắc Kạn,Chợ Đồn,Phó Đáy,5/10/2000
Bắc Kạn,Chợ Đồn,-,25/7-4/8/2015
Bắc Kạn,Na Rì,Cầu,22/9/1990
Bắc Kạn,Na Rì,Bắc Giang,22/9/1990
Bắc Kạn,Na Rì,-,13/6/2008
Bắc Kạn,Na Rì,-,25/7-4/8/2015
Bắc Kạn,Ngân Sơn,-,4/7/1997
Bắc Kạn,Ngân Sơn,-,14/8/2017
Bắc Kạn,TP. Bắc Kạn,Cầu,22/9/1990
Bắc Kạn,TP. Bắc Kạn,Cầu,5/10/2000
Bắc Kạn,TP. Bắc Kạn,-,14/5/2002
Bắc Kạn,TP. Bắc Kạn,-,5/10/2008
Bắc Kạn,TP. Bắc Kạn,-,25/8/2017
Bình Định,An Lão,An lão,3/12/1999
Bình Định,Phù Mỹ,-,15/6/1990
Bình Định,Vĩnh Thạnh,Côn,3/12/1999
Bình Dương,TX. Bến Cát,-,9/10/2000
Bình Dương,TX. Tân Uyên,-,9/10/2000
Bình Dương,Thuận An,-,9/10/2000
Bình Dương,TP. Thủ Dầu Một,-,3/6/2002
Bình Phước,Đồng Phú,-,17/8/2001
Bình Phước,TX. Phước Long,-,28/7/1997
Bình Phước,Lộc Ninh,-,22/7/2014
Bình Thuận,Bắc Bình,-,29/6/1998
Bình Thuận,Bắc Bình,La Ngà,14/6/1999
Bình Thuận,Bắc Bình,-,19/5/1996
Bình Thuận,Bắc Bình,-,15/9/1996
Bình Thuận,Bắc Bình,Lũy,6/10/2009
Bình Thuận,Bắc Bình,-,23/10/2010
Bình Thuận,Đức Linh,-,15/9/1996
Bình Thuận,Đức Linh,La Ngà,14/6/1999
Bình Thuận,Đức Linh,-,25/7/1994
Bình Thuận,Đức Linh,Dinh,21/8/2000
Bình Thuận,Hàm Tân,Dinh,29/8/1999
Bình Thuận,Hàm Tân,-,15/9/1996
Bình Thuận,Hàm Tân,Dinh,9/9/1995
Bình Thuận,Hàm Thuận Bắc,-,19/5/1996
Bình Thuận,Hàm Thuận Bắc,-,15/9/1996
Bình Thuận,Hàm Thuận Nam,-,15/9/1996
Bình Thuận,Tánh Linh,-,15/9/1996
Bình Thuận,Tánh Linh,La Ngà,14/6/1999
Bình Thuận,Tánh Linh,-,26/7/1997
Bình Thuận,Tánh Linh,La Ngà,1/7/1994
Bình Thuận,Tánh Linh,Dinh,18/8/2000
Bình Thuận,Tánh Linh,-,30/8/2002
Bình Thuận,Tánh Linh,-,9/9/2008
Bình Thuận,Tuy Phong,-,24/10/1992
Bình Thuận,Tuy Phong,-,15/9/1996
Bình Thuận,Tuy Phong,-,15/9/1996
Bình Thuận,TP. Phan Thiết,-,15/9/1996
Bình Thuận,TP. Phan Thiết,-,17/5/2004
Cao Bằng,Bảo Lạc,-,29/7/1996
Cao Bằng,Bảo Lâm,-,4/7/1997
Cao Bằng,Hạ Lang,-,7/6/2001
Cao Bằng,Hà Quảng,-,8/9/2007
Cao Bằng,Nguyên Bình,-,18/7/2004
Cao Bằng,Nguyên Bình,-,23/5/2012
Cao Bằng,Thạch An,-,3/5/2006
Cao Bằng,Trùng Khánh,-,7/6/2001
Cao Bằng,TP. Cao Bằng,-,2/6/2002
Cao Bằng,Thông Nông,-,25/7-4/8/2015
Cao Bằng,Thông Nông,-,2/8/2017
Đắk Lắk,Buôn Đôn,-,19/8/2002
Đắk Lắk,Buôn Đôn,Krông Knô,17/7/1994
Đắk Lắk,Cư M'Gar,-,18/5/1993
Đắk Lắk,Ea Kar,Krông Ana,11/6/1990
