STTSTTSTT,Tên sản phẩmTên sản phẩmTên sản phẩm,Chỉ tiêu kỹ thuậtChỉ tiêu kỹ thuậtChỉ tiêu kỹ thuật,Mức yêu cầuMức yêu cầuMức yêu cầu,Phương pháp thửPhương pháp thửPhương pháp thử,"Phương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫu","Mã hàng hóa xuất khẩu, nhập khẩu (HS)Mã hàng hóa xuất khẩu, nhập khẩuMã hàng hóa xuất khẩu, nhập khẩu (HS) (HS)"
2.3.1.2.3.1.2.3.1.,Chất bột chữa cháyChất bột chữa cháyChất bột chữa cháy,1. Thử khả năng dập cháy1. Thử khả năng dập cháy1. Thử khả năng dập cháy,6.2 TCVN 6102:2020 Loại A6.2 TCVN 6102:2020 Loại A6.2 TCVN 6102:2020 Loại A,13.3.1 TCVN 6102:202013.3.1 TCVN 6102:202013.3.1 TCVN 6102:2020,Mục 4Mục 4Mục 4TCVN 6102:2020TCVN 6102:2020TCVN 6102:2020,3813.00.003813.00.003813.00.00
2.3.1.2.3.1.2.3.1.,Chất bột chữa cháyChất bột chữa cháyChất bột chữa cháy,1. Thử khả năng dập cháy1. Thử khả năng dập cháy1. Thử khả năng dập cháy,6.3 TCVN 6102:2020 Loại B6.3 TCVN 6102:2020 Loại B6.3 TCVN 6102:2020 Loại B,13.3.2 TCVN 6102:202013.3.2 TCVN 6102:202013.3.2 TCVN 6102:2020,Mục 4Mục 4Mục 4TCVN 6102:2020TCVN 6102:2020TCVN 6102:2020,3813.00.003813.00.003813.00.00
2.3.1.2.3.1.2.3.1.,Chất bột chữa cháyChất bột chữa cháyChất bột chữa cháy,1. Thử khả năng dập cháy1. Thử khả năng dập cháy1. Thử khả năng dập cháy,6.4 TCVN 6102:2020 Loại C6.4 TCVN 6102:2020 Loại C6.4 TCVN 6102:2020 Loại C,Bất cứ loại bột nào đáp ứng được các điều kiện của mục 6.3 TCVN 6102:2020 cũng được xem như có đủ khả năng dập tắt đám cháy loại CBất cứ loại bột nào đáp ứng được các điều kiện của mục 6.3 TCVN 6102:2020 cũng được xem như có đủ khả năng dập tắt đám cháy loại CBất cứ loại bột nào đáp ứng được các điều kiện của mục 6.3 TCVN 6102:2020 cũng được xem như có đủ khả năng dập tắt đám cháy loại C,Mục 4Mục 4Mục 4TCVN 6102:2020TCVN 6102:2020TCVN 6102:2020,3813.00.003813.00.003813.00.00
2.3.1.2.3.1.2.3.1.,Chất bột chữa cháyChất bột chữa cháyChất bột chữa cháy,2. Kiểm tra tính chảy2. Kiểm tra tính chảy2. Kiểm tra tính chảy,7 TCVN 6102:20207 TCVN 6102:20207 TCVN 6102:2020,13.4 TCVN 6102:202013.4 TCVN 6102:202013.4 TCVN 6102:2020,Mục 4Mục 4Mục 4TCVN 6102:2020TCVN 6102:2020TCVN 6102:2020,3813.00.003813.00.003813.00.00
2.3.1.2.3.1.2.3.1.,Chất bột chữa cháyChất bột chữa cháyChất bột chữa cháy,3. Chống đóng bánh và vón cục3. Chống đóng bánh và vón cục3. Chống đóng bánh và vón cục,8 TCVN 6102:20208 TCVN 6102:20208 TCVN 6102:2020,13.5 TCVN 6102:202013.5 TCVN 6102:202013.5 TCVN 6102:2020,Mục 4Mục 4Mục 4TCVN 6102:2020TCVN 6102:2020TCVN 6102:2020,3813.00.003813.00.003813.00.00
2.3.1.2.3.1.2.3.1.,Chất bột chữa cháyChất bột chữa cháyChất bột chữa cháy,4. Khả năng chống thấm nước4. Khả năng chống thấm nước4. Khả năng chống thấm nước,9 TCVN 6102:20209 TCVN 6102:20209 TCVN 6102:2020,13.6 TCVN 6102:202013.6 TCVN 6102:202013.6 TCVN 6102:2020,Mục 4Mục 4Mục 4TCVN 6102:2020TCVN 6102:2020TCVN 6102:2020,3813.00.003813.00.003813.00.00
2.3.1.2.3.1.2.3.1.,Chất bột chữa cháyChất bột chữa cháyChất bột chữa cháy,5. Độ ẩm5. Độ ẩm5. Độ ẩm,10 TCVN 6102:202010 TCVN 6102:202010 TCVN 6102:2020,13.7 TCVN 6102:202013.7 TCVN 6102:202013.7 TCVN 6102:2020,Mục 4Mục 4Mục 4TCVN 6102:2020TCVN 6102:2020TCVN 6102:2020,3813.00.003813.00.003813.00.00
2.3.2.2.3.2.2.3.2.,Chất tạo bọt chữa cháyChất tạo bọt chữa cháyChất tạo bọt chữa cháy,1. Nhiệt độ đông đặc1. Nhiệt độ đông đặc1. Nhiệt độ đông đặc,5 - TCVN 7278-1:2003; Điều 5 - TCVN 7278-2: 20035 - TCVN 7278-1:2003; Điều 5 - TCVN 7278-2: 20035 - TCVN 7278-1:2003; Điều 5 - TCVN 7278-2: 2003,"Phụ lục A.2, Phụ lục B - TCVN 7278-1:2003;Phụ lục A.2, Phụ lục B - TCVN 7278-1:2003;Phụ lục A.2, Phụ lục B - TCVN 7278-1:2003;- Phụ lục A.2, Phụ lục B - TCVN 7278-2: 2003.- Phụ lục A.2, Phụ lục B - TCVN 7278-2: 2003.- Phụ lục A.2, Phụ lục B - TCVN 7278-2: 2003.",Số lượng mẫu n được tính như sau:Số lượng mẫu n được tính như sau:Số lượng mẫu n được tính như sau:n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278)n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278)n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278),3813.00.003813.00.003813.00.00
2.3.2.2.3.2.2.3.2.,Chất tạo bọt chữa cháyChất tạo bọt chữa cháyChất tạo bọt chữa cháy,2. Tỷ lệ cặn2. Tỷ lệ cặn2. Tỷ lệ cặn,6 - TCVN 7278-1:2003;6 - TCVN 7278-1:2003;6 - TCVN 7278-1:2003;6 - TCVN 7278-2: 2003.6 - TCVN 7278-2: 2003.6 - TCVN 7278-2: 2003.,"Phụ lục A.1, phụ lục C - TCVN 7278-1: 2003;Phụ lục A.1, phụ lục C - TCVN 7278-1: 2003;Phụ lục A.1, phụ lục C - TCVN 7278-1: 2003;- Phụ lục A.1, Phụ lục C - TCVN 7278-2: 2003.- Phụ lục A.1, Phụ lục C - TCVN 7278-2: 2003.- Phụ lục A.1, Phụ lục C - TCVN 7278-2: 2003.",Số lượng mẫu n được tính như sau:Số lượng mẫu n được tính như sau:Số lượng mẫu n được tính như sau:n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278)n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278)n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278),3813.00.003813.00.003813.00.00
2.3.2.2.3.2.2.3.2.,Chất tạo bọt chữa cháyChất tạo bọt chữa cháyChất tạo bọt chữa cháy,3. Độ pH3. Độ pH3. Độ pH,8 - TCVN 7278-1: 2003;8 - TCVN 7278-1: 2003;8 - TCVN 7278-1: 2003;Điều 8 - TCVN 7278-2: 2003Điều 8 - TCVN 7278-2: 2003Điều 8 - TCVN 7278-2: 2003,"6 ≤ pH ≤ 9,5 ở (20±2)°C, phụ lục A2 - TCVN 7278-1: 2003;6 ≤ pH ≤ 9,5 ở (20±2)°C, phụ lục A2 - TCVN 7278-1: 2003;6 ≤ pH ≤ 9,5 ở (20±2)°C, phụ lục A2 - TCVN 7278-1: 2003;- 6 ≤ pH ≤ 9,5 ở (20±2)°C, phụ lục A2 - TCVN 7278-2: 2003.- 6 ≤ pH ≤ 9,5 ở (20±2)°C, phụ lục A2 - TCVN 7278-2: 200- 6 ≤ pH ≤ 9,5 ở (20±2)°C, phụ lục A2 - TCVN 7278-2: 2003.3.",Số lượng mẫu n được tính như sau:Số lượng mẫu n được tính như sau:Số lượng mẫu n được tính như sau:n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278)n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278)n = 13 x nồng độ sử dụng khuyến nghị (nồng độ sử dụng khuyến nghị được ghi tại điểm c 14.1 - TCVN 7278),3813.00.003813.00.003813.00.00
