STTSTTSTT,Tên sản phẩmTên sản phẩmTên sản phẩm,Chỉ tiêu kỹ thuậtChỉ tiêu kỹ thuậtChỉ tiêu kỹ thuật,Mức yêu cầuMức yêu cầuMức yêu cầu,Phương pháp thửPhương pháp thửPhương pháp thử,"Phương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫuPhương pháp lấy mẫu, quy cách mẫu","Mã hàng hóa xuất khẩu, nhập khẩu (HS)Mã hàng hóa xuất khẩu, nhập khẩu (HS)Mã hàng hóa xuất khẩu, nhập khẩu (HS)"
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,1. Thử nghiệm chức năng1. Thử nghiệm chức năng1. Thử nghiệm chức năng,16.2.2.16.2.2.16.2.2.TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,16.2.216.2.216.2.2TCVN 7568-2:2013TCVN 7568-2:201TCVN 7568-2:20133,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,"2. Nóng ẩm, trạng thái ổn định (vận hành)2. Nóng ẩm, trạng thái ổn định (vận hành)2. Nóng ẩm, trạng thái ổn định (vận hành)",16.5.2.416.5.2.416.5.2.4TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,16.5.2.116.5.2.116.5.2.1TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,3. Va đập (vận hành) - Thử nghiệm tùy chọn (*)3. Va đập (vận hành) - Thử nghiệm tùy chọn (*)3. Va đập (vận hành) - Thử nghiệm tùy chọn (*),16.6.2.416.6.2.416.6.2.4TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,16.6.2.116.6.2.116.6.2.1TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,4. Rung hình sin (vận hành)4. Rung hình sin (vận hành)4. Rung hình sin (vận hành),16.7.2.41616.7.2.4.7.2.4TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,16.7.2.116.7.2.116.7.2.1TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,5. Biến đổi của điện áp nguồn cung cấp5. Biến đổi của điện áp nguồn cung cấp5. Biến đổi của điện áp nguồn cung cấp,16.9.2.416.9.2.416.9.2.4TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,16.9.2.116.9.2.116.9.2.1TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,6. Rung hình sin (độ bền lâu) (*)6. Rung hình sin (độ bền lâu) (*)6. Rung hình sin (độ bền lâu) (*),16.11.2.416.11.2.416.11.2.4TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,16.11.2.116.11.2.116.11.2.1TCVN 7568-2:2013TCVN 7568-2:2013TCVN 7568-2:2013,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,7. Suy hao tín hiệu tại hiện trường (***)7. Suy hao tín hiệu tại hiện trường (***)7. Suy hao tín hiệu tại hiện trường (***),4.2.14.2.14.2.1TCVN 7568-25:2023TCVN 7568-25:2023TCVN 7568-25:2023,8.2.28.2.28.2.2TCVN 7568-25:2023TCVN 7568-25:2023TCVN 7568-25:2023,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,8. Tính toàn vẹn của tín hiệu cảnh báo (***)8. Tính toàn vẹn của tín hiệu cảnh báo (***)8. Tính toàn vẹn của tín hiệu cảnh báo (***),4.2.24.2.24.2.2TCVN 7568-25:2023TCVN 7568-25:2023TCVN 7568-25:2023,8.2.38.2.38.2.3TCVN 7568-25:2023TCVN 7568-25:2023TCVN 7568-25:2023,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,9. Định danh của các thiết bị sử dụng đường truyền vô tuyến (***)9. Định danh của các thiết bị sử dụng đường truyền vô tuyến (***)9. Định danh của các thiết bị sử dụng đường truyền vô tuyến (***),4.2.34.2.34.2.3TCVN 7568-25:2023TCVTCVN 7568-25:2023N 7568-25:2023,8.2.48.2.48.2.4TCVN 7568-25:2023TCVN 7568-25:2023TCVN 7568-25:2023,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
2.4.1.2.4.1.2.4.1.,Tủ trung tâm báo cháyTủ trung tâm báo cháyTủ trung tâm báo cháy,10. Ăng ten (***)10. Ăng ten (***)10. Ăng ten (***),4.2.74.2.74.2.7TCVN 7568-25:2023TCVN 7568-25:2023TCVN 7568-25:2023,8.2.98.2.98.2.9TCVN 7568-25:2023TCVN 7568-25:2023TCVN 7568-25:2023,"Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:Mẫu được lấy ngẫu nhiên tại lố phương tiện, số lượng mẫu được lấy phụ thuộc vào số lượng phương tiện trong lô (n), cụ thể như sau:+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu n ≤ 3 thì lấy mẫu tất cả;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 3 < n ≤ 100 thì lấy 03 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu 100 < n ≤ 500 thì lấy 06 mẫu;+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.+ Nếu n > 500 thì lấy 09 mẫu.",8531.10.208531.10.208531.10.20
