Bộ phận ngăn cháy,Loại bộ phận ngăn cháy,Giới hạn chịu lửa của bộ phận ngăn cháy,Loại bộ phận chèn bịt lỗ mở của bộ phận ngăn cháy,Loại khoang đệm ngăn cháy
1. Tường ngăn cháy,1,REI 150,1,1
1. Tường ngăn cháy,2,REI 45,2,2
2. Vách ngăn cháy,1,EI 45,2,1
2. Vách ngăn cháy,2,El 15,3,2
3 Vách ngăn cháy có diện tích kính lớn hơn 25 % diện tích vách,1,EIW 45 1),2,1
3 Vách ngăn cháy có diện tích kính lớn hơn 25 % diện tích vách,2,EIW 15 1),3,2
4 Sàn ngăn cháy,1,REI 150,1,1
4 Sàn ngăn cháy,2,REI 60,2,1
4 Sàn ngăn cháy,3,REI 45,2,1
4 Sàn ngăn cháy,4,REl 15,3,2
