Các bộ phận chèn bịt lỗ mở của bộ phận ngăn cháy,Loại bộ phận chèn bịt của bộ phận ngăn cháy,Giới hạn chịu lửa
"1. Cửa đi (trừ: cửa đi có tỉ lệ diện tích kính lớn hơn 25 % diện tích cửa đi cửa kín khói), cửa nắp, van ngăn cháy 1), màn ngăn cháy",1,El 60
"1. Cửa đi (trừ: cửa đi có tỉ lệ diện tích kính lớn hơn 25 % diện tích cửa đi cửa kín khói), cửa nắp, van ngăn cháy 1), màn ngăn cháy",2,El 30
"1. Cửa đi (trừ: cửa đi có tỉ lệ diện tích kính lớn hơn 25 % diện tích cửa đi cửa kín khói), cửa nắp, van ngăn cháy 1), màn ngăn cháy",3,EI 15
2. Cửa đi có tỉ lệ diện tích kính lớn hơn 25 % diện tích cửa đi,1,EIW 60 2)
2. Cửa đi có tỉ lệ diện tích kính lớn hơn 25 % diện tích cửa đi,2,EIW 30 2)
2. Cửa đi có tỉ lệ diện tích kính lớn hơn 25 % diện tích cửa đi,3,EIW 15 2)
3. Cửa giếng thang máy (khi có yêu cầu về giới hạn chịu lửa),2,E 30
4. Cửa sổ,1,E 60
4. Cửa sổ,2,E 30
4. Cửa sổ,3,E 15
