"Dân số, x 1 000 người | Số đám cháy đồng thời | Lưu lượng nước cho chữa cháy ngoài nhà cho 1 đám cháy, L/s | Lưu lượng nước cho chữa cháy ngoài nhà cho 1 đám cháy, L/s"
--- | --- | --- | ---
"Dân số, x 1 000 người | Số đám cháy đồng thời | Xây dựng nhà không quá 2 tầng không phụ thuộc bậc chịu lửa | Xây dựng nhà từ 3 tầng trở lên không phụ thuộc bậc chịu lửa"
≤ 1 | 1 | 5 | 10
> 1 và ≤ 5 | 1 | 10 | 10
> 5 và ≤ 10 | 1 | 10 | 15
> 10 và ≤ 25 | 2 | 10 | 15
> 25 và ≤ 50 | 2 | 20 | 25
> 50 và ≤ 100 | 2 | 25 | 35
> 100 và ≤ 200 | 3 | 40 | 40
> 200 và ≤ 300 | 3 | 55 | 55
> 300 và ≤ 400 | 3 | 70 | 70
> 400 và ≤ 500 | 3 | 80 | 80
> 500 và ≤ 600 | 3 | 85 | 85
> 600 và ≤ 700 | 3 | 90 | 90
> 700 và ≤ 800 | 3 | 95 | 95
> 800 và ≤ 1 000 | 3 | 100 | 100
> 1 000 | 5 | 110 | 110
"_CHÚ THÍCH 1: Lưu lượng nước cho chữa cháy ngoài nhà trong khu dân cư phải không nhỏ hơn lưu lượng nước chữa cháy cho nhà theo Bảng 8. CHÚ THÍCH 2: Khi thực hiện cấp nước theo vùng, lưu lượng nước cho chữa cháy ngoài nhà và số đám cháy đồng thời theo từng vùng được lấy phụ thuộc vào số dân sống trong vùng. CHÚ THÍCH 3: Số đám cháy đồng thời và lưu lượng nước cho 1 đám cháy cho một vùng có số dân trên 1 triệu người thì tuân theo luận chứng của các yêu cầu kỹ thuật đặc biệt. CHÚ THÍCH 4: Đối với hệ thống các cụm đường ống nhóm (chung) số đám cháy đồng thời lấy phụ thuộc vào tổng số dân trong các cụm có kết nối với hệ thống đường ống. Lưu lượng nước để hồi phục lượng nước chữa cháy theo cụm đường ống nhóm được xác định bằng tổng lượng nước cho khu dân cư (tương ứng với số đám cháy đồng thời) tối đa để chữa cháy tuân theo quy định tại 5.1.3.3 và 5.1.3.4. CHÚ THÍCH 5: Số đám cháy tính toán đồng thời trong khu dân cư phải bao gồm cả các đám cháy của nhà sản xuất và nhà kho trong khu dân cư đó. Khi đó lưu lượng nước tính toán bao gồm cả lưu lượng nước để chữa cháy tương ứng cho các nhà đó, nhưng không nhỏ hơn giá trị trong Bảng 7._"
