Loại nhà,"Lưu lượng nước cho chữa cháy ngoài nhà không phụ thuộc bậc chịu lửa tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3 - ≤ 1","Lưu lượng nước cho chữa cháy ngoài nhà không phụ thuộc bậc chịu lửa tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3 - > 1 và ≤ 5","Lưu lượng nước cho chữa cháy ngoài nhà không phụ thuộc bậc chịu lửa tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3 - > 5 và ≤ 25","Lưu lượng nước cho chữa cháy ngoài nhà không phụ thuộc bậc chịu lửa tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3 - > 25 và ≤ 50","Lưu lượng nước cho chữa cháy ngoài nhà không phụ thuộc bậc chịu lửa tính cho 1 đám cháy, L/s, theo khối tích nhà, 1 000 m3 - > 50"
"1. Nhà nhóm F1.3, F1.4 có một hoặc nhiều đơn nguyên với số tầng:",,,,,
≤ 3,10 1),10 1),15,15,20
> 3 và ≤ 12,10,15,15,20,20
> 12 và ≤ 16,-,20,20,25,25
> 16,-,20,25,25,30
"2. Nhà nhóm F1.1, F1.2, F2, F3 và F4 với số tầng:",,,,,
≤ 3,10 1),10 1),15,20,25
>3 và ≤ 12,10,15,20,25,30
> 12 và ≤ 16,-,20,25,30,35
> 16,-,25,30,30,35
